MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
AIM/CGE,SSP1-34,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,1.6897843,1.837859,2.1495894,2.4312503,2.6657857,2.8449519,2.9727864,3.055403,3.107353,3.1425015,3.1665296
AIM/CGE,SSP1-34,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,0.021105041,0.031102416,0.060027874,0.092708301,0.11391213,0.12125377,0.11827055,0.10930065,0.095472329,0.079077653,0.067370557
AIM/CGE,SSP1-34,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,2.3467499,2.5390686,2.9363502,3.2468102,3.4425681,3.5744879,3.662086,3.7140351,3.73924,3.7475945,3.7483981
AIM/CGE,SSP1-34,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,0.15571104,0.16780423,0.19061654,0.2079516,0.21829614,0.22680985,0.23401577,0.23928405,0.24313685,0.24563397,0.24662062
AIM/CGE,SSP1-34,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.91338626,0.98926837,1.2512823,1.529772,1.7452652,1.9043985,2.0093936,2.0889336,2.1518834,2.2006799,2.2340344
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,1753.16,1812.864,1899.046,1945.0775,2051.3556,2095.2994,1926.3772,1683.4476,1515.1305,1417.1037,1347.9852
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.5053,413.64511,437.82604,462.97312,486.37622,507.56167,526.24157,541.87416,554.67104,565.17811
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,319.855,323.68957,330.84987,337.5978,345.10846,352.83325,358.47853,361.98131,364.06521,365.14164,365.33515
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Forcing,W/m2,1.8709164,2.1392831,2.6418855,3.1287558,3.5832345,3.9718126,4.1694533,4.2657703,4.3254762,4.3697589,4.4032043
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,-1.11516835,-1.05131795,-0.90584865,-0.74057204,-0.63845816,-0.51660511,-0.47015354,-0.42955178,-0.39480055,-0.36495733,-0.34008681
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,0.562304717,0.58827586,0.625002359,0.644268465,0.68787494,0.70556564,0.636470153,0.531398473,0.453951924,0.406798183,0.372534583
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,1.6897843,1.837859,2.1459796,2.450067,2.7489841,3.0129294,3.241133,3.4345802,3.5912633,3.7161958,3.8166374
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,0.021105041,0.031102416,0.061522283,0.098766937,0.14101131,0.19053921,0.2403743,0.26450398,0.25544167,0.22662725,0.19838627
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,2.3467499,2.5390686,2.9313225,3.3099611,3.7112968,4.0632345,4.2992731,4.4376579,4.525382,4.5844459,4.6279746
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,0.15571104,0.16780423,0.19019285,0.21106818,0.23405567,0.25743536,0.27435749,0.28478946,0.29097146,0.29415772,0.29473002
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.91338626,0.98931876,1.2512821,1.5418869,1.8420378,2.1330874,2.3410328,2.4853269,2.5926964,2.6797905,2.745918
AIM/CGE,SSP1-Baseline,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,1753.16,1812.864,1936.534,2072.093,2203.0407,2309.7431,2383.4074,2422.3512,2427.8428,2398.6966,2338.5466
AIM/CGE,SSP1-Baseline,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.5053,414.8058,441.14371,468.96094,496.42175,523.36237,549.50162,574.39163,598.68022,622.60467
AIM/CGE,SSP1-Baseline,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,319.855,323.68957,331.41492,339.69309,348.36814,357.12857,365.7308,373.97736,381.56668,388.25486,393.84311
AIM/CGE,SSP1-Baseline,World,Diagnostics|MAGICC6|Forcing,W/m2,1.8709164,2.1379701,2.6553514,3.2130005,3.718377,4.1816299,4.5537847,4.8987221,5.2063249,5.474702,5.6992634
AIM/CGE,SSP1-Baseline,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,-1.11516835,-1.05264876,-0.93372077,-0.77299614,-0.65998866,-0.53584593,-0.49867998,-0.46092863,-0.42727796,-0.39723007,-0.37055922
AIM/CGE,SSP1-Baseline,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,0.562304717,0.58827586,0.640710472,0.69624729,0.7481496,0.78928122,0.81711022,0.83164394,0.83368372,0.82283056,0.80021617
AIM/CGE,SSP1-Baseline,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,1.6897843,1.837859,2.1609775,2.4904723,2.817765,3.1223507,3.4052155,3.6660787,3.9031885,4.1248642,4.3345935
AIM/CGE,SSP1-Baseline,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,0.021105041,0.031102416,0.061526859,0.099028872,0.14190467,0.19206719,0.24413722,0.29317294,0.34000711,0.37790937,0.3998702
AIM/CGE,SSP1-Baseline,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,2.3467499,2.5390686,2.9614781,3.4013931,3.8422622,4.2584464,4.6426806,4.9892024,5.2969495,5.5665371,5.7949147
AIM/CGE,SSP1-Baseline,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,0.15571104,0.16780423,0.19194915,0.217507,0.24395338,0.27032324,0.29589962,0.32013376,0.34219823,0.36145913,0.37742388
AIM/CGE,SSP1-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.91338626,0.98908722,1.2522295,1.5689027,1.9000442,2.2241618,2.5059384,2.7683688,3.0116228,3.2324243,3.4222699
AIM/CGE,SSP2-19,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,1753.16,1812.864,1906.6417,1690.1271,1357.7744,1199.0138,1122.7351,1094.0856,1084.8285,1082.1022,1081.9743
AIM/CGE,SSP2-19,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.5053,415.96932,432.22939,432.77397,426.80088,417.3621,406.86093,397.13351,388.51092,380.73678
AIM/CGE,SSP2-19,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,319.855,323.68957,331.17622,336.09658,337.56664,338.58173,339.43874,340.25736,341.14365,342.0651,342.99159
AIM/CGE,SSP2-19,World,Diagnostics|MAGICC6|Forcing,W/m2,1.8709164,2.1377331,2.6533995,2.9716204,2.8315576,2.6460533,2.4398403,2.2611974,2.1118724,1.9847509,1.8719583
AIM/CGE,SSP2-19,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,-1.11516835,-1.05332668,-0.94246606,-0.63543067,-0.51915394,-0.450970175,-0.432840774,-0.419838765,-0.408387132,-0.397397944,-0.386943772
AIM/CGE,SSP2-19,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,0.562304717,0.58827586,0.628197874,0.534387877,0.377441315,0.295473154,0.25410328,0.238192947,0.233006334,0.231474505,0.231402609
AIM/CGE,SSP2-19,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,1.6897843,1.837859,2.1759698,2.3812072,2.3879466,2.3135589,2.1938611,2.0574672,1.927945,1.8104532,1.7022651
AIM/CGE,SSP2-19,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,0.021105041,0.031102416,0.052607672,0.057144857,0.048939494,0.042906208,0.039350223,0.037509574,0.036591308,0.036152268,0.03598711
AIM/CGE,SSP2-19,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,2.3467499,2.5390686,2.9561381,3.101129,2.9702675,2.8229949,2.6670488,2.5177386,2.385584,2.269164,2.1635801
AIM/CGE,SSP2-19,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,0.15571104,0.16780423,0.19120741,0.20644245,0.21097226,0.21409428,0.21672644,0.21923754,0.22195274,0.22477189,0.22760257
AIM/CGE,SSP2-19,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.91338626,0.98905314,1.248656,1.5112362,1.576674,1.5659269,1.5140051,1.4546426,1.3998691,1.3496744,1.2978727
AIM/CGE,SSP2-26,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,1753.16,1812.864,1913.2765,1789.5884,1539.0982,1404.1181,1349.751,1330.2491,1317.9173,1313.2653,1311.3905
AIM/CGE,SSP2-26,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.5053,415.90417,437.01819,446.89316,449.14211,447.76071,443.74547,437.7348,431.35291,424.95953
AIM/CGE,SSP2-26,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,319.855,323.68957,331.07016,335.78244,337.31305,339.21413,341.73417,344.12953,346.21072,348.10681,349.81333
AIM/CGE,SSP2-26,World,Diagnostics|MAGICC6|Forcing,W/m2,1.8709164,2.1377826,2.6528467,3.0246197,3.0774137,3.033799,2.9604332,2.8881463,2.7995845,2.7149077,2.6321967
AIM/CGE,SSP2-26,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,-1.11516835,-1.05327648,-0.94533765,-0.72026354,-0.57092005,-0.47863066,-0.452769415,-0.429670106,-0.413853955,-0.399547887,-0.387693723
AIM/CGE,SSP2-26,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,0.562304717,0.58827586,0.630983763,0.578204005,0.465240672,0.40042753,0.373421015,0.363597709,0.357347837,0.354982309,0.354027787
AIM/CGE,SSP2-26,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,1.6897843,1.837859,2.1751315,2.4401819,2.5597798,2.5866478,2.5701603,2.5219469,2.4489515,2.3703425,2.290417
AIM/CGE,SSP2-26,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,0.021105041,0.031102416,0.05261544,0.057195839,0.048865286,0.042769746,0.039189723,0.037341121,0.036421073,0.035976607,0.035800765
AIM/CGE,SSP2-26,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,2.3467499,2.5390686,2.9573538,3.1965628,3.216175,3.1874824,3.1520875,3.1009547,3.0280382,2.9527193,2.8769682
AIM/CGE,SSP2-26,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,0.15571104,0.16780423,0.19087775,0.20547318,0.21019157,0.21603692,0.22375987,0.23107398,0.23740786,0.2431616,0.24832654
AIM/CGE,SSP2-26,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.91338626,0.9890618,1.2489694,1.5160528,1.6615091,1.7307694,1.7547599,1.7663695,1.7615859,1.7496557,1.7270056
AIM/CGE,SSP2-34,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,1753.16,1812.864,1913.2504,1829.8008,1624.0312,1498.2161,1442.6115,1431.5046,1431.0729,1430.6935,1427.3504
AIM/CGE,SSP2-34,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.5053,415.90476,440.98803,460.30323,473.29525,481.02453,484.93936,486.64534,487.06123,486.37841
AIM/CGE,SSP2-34,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,319.855,323.68957,331.07016,336.42595,339.35279,342.47944,346.00695,349.5362,352.95547,356.12862,358.96309
AIM/CGE,SSP2-34,World,Diagnostics|MAGICC6|Forcing,W/m2,1.8709164,2.1377826,2.6544704,3.0565471,3.2707714,3.3730919,3.4101766,3.4372483,3.453712,3.4572067,3.4494826
