MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM4,SSP2-45,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,,2.5390686,2.9313088,3.3420695,3.7175922,3.968236,4.1073486,4.1613241,4.1845875,4.2172276,4.2500805
GCAM4,SSP2-45,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,,0.16780423,0.1905755,0.21448698,0.23857063,0.26047444,0.28272179,0.30455733,0.32585991,0.34649241,0.36583509
GCAM4,SSP2-45,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.98871593,1.2255087,1.4771007,1.7596001,1.9963469,2.1711598,2.2975368,2.3833709,2.4527011,2.5114408
GCAM4,SSP2-60,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,,1812.864,1884.1108,1967.1556,2072.3512,2152.2338,2208.7835,2225.6627,2215.7666,2180.5212,2117.8516
GCAM4,SSP2-60,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,,390.5053,415.16512,443.58033,476.22102,510.90276,546.05535,580.72149,613.13463,641.10577,662.37513
GCAM4,SSP2-60,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,,323.68957,330.97293,338.70951,347.57922,356.93404,366.22658,375.07199,383.44215,391.27935,398.34414
GCAM4,SSP2-60,World,Diagnostics|MAGICC6|Forcing,W/m2,,2.135855,2.5814469,3.0198647,3.4756432,3.900828,4.2744662,4.6397061,4.9903173,5.2786355,5.4862006
GCAM4,SSP2-60,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,,-1.05519339,-0.99266432,-0.94644137,-0.87783089,-0.7933448,-0.77285247,-0.72975832,-0.65535246,-0.58398549,-0.51641903
GCAM4,SSP2-60,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,,0.58827586,0.618699961,0.653425998,0.69635126,0.72820506,0.75038907,0.75695397,0.75310814,0.73933892,0.71457063
GCAM4,SSP2-60,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,,1.837859,2.1656119,2.5199545,2.8999918,3.2762504,3.6324048,3.9618499,4.2525561,4.4913261,4.6660156
GCAM4,SSP2-60,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,,0.031102416,0.046868775,0.049759258,0.047295018,0.042561242,0.038871702,0.037799784,0.037955841,0.038724927,0.039848684
GCAM4,SSP2-60,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,,2.5390686,2.9313088,3.3420695,3.7833226,4.2101872,4.6091892,4.9691252,5.280995,5.5312921,5.7060725
GCAM4,SSP2-60,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,,0.16780423,0.1905755,0.21448698,0.24156223,0.26974129,0.29736435,0.32333009,0.34761644,0.37011397,0.39019937
GCAM4,SSP2-60,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.98871593,1.2255087,1.4767073,1.7640697,2.0529586,2.3188843,2.5791902,2.8370072,3.0695603,3.2582529
GCAM4,SSP2-Baseline,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,,1812.864,1909.9221,2032.5695,2203.1191,2373.1768,2517.5081,2632.8297,2722.3268,2780.7656,2802.454
GCAM4,SSP2-Baseline,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,,390.5053,415.90901,446.52633,483.51985,525.79169,573.20815,625.79969,682.14646,741.79839,805.42852
GCAM4,SSP2-Baseline,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,,323.68957,331.39717,340.02777,349.95354,361.07792,373.29687,386.38164,400.04419,413.89882,427.5703
GCAM4,SSP2-Baseline,World,Diagnostics|MAGICC6|Forcing,W/m2,,2.1351683,2.5953319,3.0811597,3.6080922,4.1447244,4.6607374,5.2051549,5.764208,6.2951084,6.7993208
GCAM4,SSP2-Baseline,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,,-1.05602277,-1.00986332,-0.96513832,-0.90862633,-0.83052496,-0.82070257,-0.79509854,-0.74431069,-0.70293859,-0.66955885
GCAM4,SSP2-Baseline,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,,0.58827586,0.629575896,0.680252791,0.74818019,0.81327198,0.86665885,0.90819368,0.93978628,0.96012748,0.96762067
GCAM4,SSP2-Baseline,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,,1.837859,2.1751937,2.5553845,2.9814033,3.4300025,3.892149,4.3619901,4.8234421,5.2721503,5.7126365
GCAM4,SSP2-Baseline,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,,0.031102416,0.047981708,0.051499671,0.049174521,0.04557913,0.043389318,0.044041899,0.046150857,0.049074726,0.052468919
GCAM4,SSP2-Baseline,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,,2.5390686,2.9525979,3.4061637,3.9179933,4.451842,4.9933446,5.5371743,6.0665819,6.5743366,7.0622392
GCAM4,SSP2-Baseline,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,,0.16780423,0.19189399,0.21853357,0.24875031,0.28210391,0.31814431,0.35608163,0.39500565,0.43379517,0.47143256
GCAM4,SSP2-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.98859426,1.2275782,1.4975509,1.8142376,2.1548093,2.4909631,2.8433169,3.2127886,3.5769072,3.9244908
GCAM4,SSP3-Baseline,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,,1812.864,1923.9662,2074.9385,2269.9251,2455.2904,2633.0635,2821.4941,3028.4386,3233.0608,3413.1664
GCAM4,SSP3-Baseline,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,,390.5053,417.40119,451.28751,491.33956,536.01753,585.56372,640.96511,702.15225,769.08204,843.33829
GCAM4,SSP3-Baseline,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,,323.68957,331.53837,340.50787,350.81607,362.36285,375.18364,389.42431,405.37002,423.05239,442.38012
GCAM4,SSP3-Baseline,World,Diagnostics|MAGICC6|Forcing,W/m2,,2.134084,2.6100301,3.1357171,3.6951682,4.2362653,4.7758286,5.3470121,5.9597636,6.5670659,7.1759197
GCAM4,SSP3-Baseline,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,,-1.05763413,-1.04457613,-1.03233872,-1.01161456,-0.9813523,-0.97266035,-0.96254375,-0.92782221,-0.89859303,-0.87575204
GCAM4,SSP3-Baseline,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,,0.58827586,0.635461899,0.69739277,0.77404869,0.84384331,0.90827693,0.97417428,1.0439845,1.11063086,1.16750983
GCAM4,SSP3-Baseline,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,,1.837859,2.1943624,2.6121535,3.0672724,3.5330991,4.0062947,4.4901517,4.9781579,5.4654798,5.9588132
GCAM4,SSP3-Baseline,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,,0.031102416,0.047996452,0.051532067,0.049023755,0.044972315,0.042141677,0.042051343,0.043366783,0.045507924,0.048194159
GCAM4,SSP3-Baseline,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,,2.5390686,2.9772399,3.4790525,4.028371,4.5842095,5.1472238,5.7282981,6.3222833,6.9175846,7.5145063
GCAM4,SSP3-Baseline,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,,0.16780423,0.19233262,0.22000535,0.25135544,0.28592266,0.32365584,0.36480967,0.40999594,0.45906314,0.51152268
GCAM4,SSP3-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.9884114,1.2278557,1.5100531,1.8389188,2.1780163,2.5215065,2.8853224,3.2780294,3.6814098,4.0840593
GCAM4,SSP4-26,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,,1812.864,1921.0355,1940.8831,1926.9567,1947.835,1963.5882,1964.0909,1937.0447,1889.8959,1841.6365
GCAM4,SSP4-26,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,,390.5053,415.24534,433.12255,440.35084,444.12308,445.20657,442.356,433.2123,417.61454,397.15942
GCAM4,SSP4-26,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,,323.68957,331.16247,338.29319,345.23687,352.66659,360.51557,368.70911,376.95326,384.75886,391.96667
GCAM4,SSP4-26,World,Diagnostics|MAGICC6|Forcing,W/m2,,2.1356159,2.615401,3.0444584,3.2042587,3.2552429,3.2670495,3.2365661,3.1431472,2.944663,2.6643412
GCAM4,SSP4-26,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,,-1.05572108,-0.99487553,-0.76506706,-0.64860457,-0.600574774,-0.56656644,-0.535451311,-0.469917137,-0.42729321,-0.40271186
GCAM4,SSP4-26,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,,0.58827586,0.634235452,0.642522695,0.636712376,0.645415119,0.651949891,0.652157978,0.640923383,0.621144228,0.600634985
GCAM4,SSP4-26,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,,1.837859,2.166646,2.392256,2.4808438,2.5264995,2.5395414,2.5051609,2.393365,2.1970976,1.9282942
GCAM4,SSP4-26,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,,0.031102416,0.046949507,0.049386534,0.046121421,0.040973156,0.036664559,0.035043755,0.03480783,0.035394828,0.036578624
GCAM4,SSP4-26,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,,2.5390686,2.9462626,3.20342,3.3050266,3.3754433,3.4132463,3.4016756,3.3041914,3.1142421,2.8497936
GCAM4,SSP4-26,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,,0.16780423,0.19116465,0.21320735,0.23444645,0.25693368,0.28043044,0.30468363,0.32881241,0.35141237,0.37207606
GCAM4,SSP4-26,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.98868009,1.2326844,1.507354,1.6867304,1.7943009,1.8650451,1.9096378,1.9284775,1.8927146,1.7993968
GCAM4,SSP4-34,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,,1812.864,1921.0355,1959.573,1970.2243,1997.5246,2016.2211,2027.3301,2017.8512,1984.0889,1935.6978
GCAM4,SSP4-34,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,,390.5053,415.24534,438.41174,455.54309,466.39101,472.57805,476.0988,475.60303,468.54951,454.8193
GCAM4,SSP4-34,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,,323.68957,331.16247,338.47259,345.72203,353.27912,361.08338,369.12603,377.4044,385.73505,393.68536
GCAM4,SSP4-34,World,Diagnostics|MAGICC6|Forcing,W/m2,,2.1356159,2.6093015,3.0125518,3.3162838,3.5089181,3.5997318,3.6470626,3.6486098,3.582218,3.4254182
GCAM4,SSP4-34,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,,-1.05572108,-1.0011512,-0.89438569,-0.76188322,-0.64169373,-0.586797,-0.562308512,-0.530319515,-0.47847871,-0.43667457
GCAM4,SSP4-34,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,,0.58827586,0.63423544,0.650286878,0.654694623,0.665936644,0.673590242,0.678120564,0.674255811,0.660413865,0.640361801
GCAM4,SSP4-34,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,,1.837859,2.166646,2.4572223,2.6623893,2.7883529,2.8588899,2.8986179,2.8930415,2.8130672,2.6538784
GCAM4,SSP4-34,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,,0.031102416,0.046949507,0.04937627,0.04610862,0.040957853,0.03668317,0.035065887,0.034802622,0.035310046,0.036318169
GCAM4,SSP4-34,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,,2.5390686,2.9462626,3.2755491,3.5033709,3.6566253,3.7527577,3.8185219,3.8336012,3.7664276,3.6138987
GCAM4,SSP4-34,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,,0.16780423,0.19116465,0.21375885,0.2359223,0.25877684,0.28212013,0.30591039,0.33012504,0.35422237,0.37697481
GCAM4,SSP4-34,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.98868009,1.2315853,1.4839018,1.7127025,1.895201,2.0198212,2.1101049,2.17456,2.2067423,2.1860477
GCAM4,SSP4-45,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,,1812.864,1921.0355,1974.5494,2005.8471,2043.4404,2063.2836,2071.4407,2073.7589,2080.4615,2089.3167
GCAM4,SSP4-45,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,,390.5053,415.24534,440.51921,463.4998,481.64142,493.56411,500.91899,505.1717,508.5128,511.88241
GCAM4,SSP4-45,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,,323.68957,331.16247,338.64818,346.25932,354.10516,362.05714,370.07464,378.27386,386.62144,394.97277
GCAM4,SSP4-45,World,Diagnostics|MAGICC6|Forcing,W/m2,,2.1356159,2.6076014,3.0152674,3.3614637,3.6404536,3.8270702,3.9359737,4.0194903,4.0663596,4.1102321
GCAM4,SSP4-45,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,,-1.05572108,-1.00299078,-0.93425634,-0.84462572,-0.72238497,-0.62644147,-0.57313455,-0.50505292,-0.48971793,-0.48657429
GCAM4,SSP4-45,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,,0.58827586,0.63423544,0.656480991,0.669348052,0.68466786,0.69269596,0.69598459,0.696918,0.69961374,0.70316839
GCAM4,SSP4-45,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,,1.837859,2.166646,2.48289,2.7550696,2.9605693,3.0914507,3.1706214,3.2158705,3.2511536,3.2865037
GCAM4,SSP4-45,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,,0.031102416,0.046949507,0.049463165,0.046300702,0.041177907,0.036927987,0.035329151,0.035032443,0.035451128,0.036295615
GCAM4,SSP4-45,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,,2.5390686,2.9462626,3.3071257,3.6103727,3.847518,4.0047501,4.1088104,4.1785123,4.240631,4.303723
GCAM4,SSP4-45,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,,0.16780423,0.19116465,0.2142985,0.23755554,0.26125991,0.28501473,0.30869897,0.33265255,0.35677076,0.38063718
GCAM4,SSP4-45,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.98868009,1.2312779,1.4808639,1.7222193,1.9412544,2.1174077,2.250108,2.3652297,2.4506909,2.516387
GCAM4,SSP4-60,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,,1812.864,1921.0355,2038.1319,2159.8993,2245.0155,2293.1985,2314.9256,2307.7291,2280.9847,2249.8127
GCAM4,SSP4-60,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,,390.5053,415.24534,443.71888,475.63715,508.4056,540.52939,571.12518,597.51086,617.5458,631.47408
GCAM4,SSP4-60,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,,323.68957,331.16247,339.5447,349.23327,359.19614,369.02267,378.45966,387.34773,395.72455,403.76233
GCAM4,SSP4-60,World,Diagnostics|MAGICC6|Forcing,W/m2,,2.1356159,2.6060711,3.0632257,3.5228974,3.9280561,4.2878974,4.6253736,4.9340608,5.1520486,5.293856
GCAM4,SSP4-60,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,,-1.05572108,-1.00486466,-0.97452019,-0.9291195,-0.87019054,-0.82257045,-0.7646192,-0.6671461,-0.59421093,-0.54641986
GCAM4,SSP4-60,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,,0.58827586,0.63423544,0.682513396,0.73122955,0.76444957,0.78296854,0.79125384,0.78851403,0.77829328,0.76630244
GCAM4,SSP4-60,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,,1.837859,2.166646,2.5216261,2.8934255,3.2500252,3.5779637,3.8726636,4.1143996,4.2909258,4.4103039
GCAM4,SSP4-60,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,,0.031102416,0.046949507,0.050001035,0.0474925,0.042702241,0.038864681,0.037666533,0.037704816,0.038337196,0.039267235
GCAM4,SSP4-60,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,,2.5390686,2.9462626,3.3713524,3.8117033,4.2217622,4.5907585,4.9189094,5.1840123,5.3763741,5.5091681
GCAM4,SSP4-60,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,,0.16780423,0.19116465,0.21705164,0.24657238,0.27649887,0.30560632,0.33319229,0.35885665,0.38277302,0.40548144
GCAM4,SSP4-60,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.98868009,1.2309999,1.490755,1.7773425,2.0538107,2.3115525,2.5602906,2.8022068,3.0043061,3.1565244
GCAM4,SSP4-Baseline,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,1753.16,1812.864,1945.3214,2117.3006,2304.9877,2451.9605,2554.2688,2632.6258,2671.1092,2675.7386,2668.3646
GCAM4,SSP4-Baseline,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.5053,415.99596,446.62588,482.37497,520.96006,561.3776,602.93134,643.13175,681.19938,718.37271
GCAM4,SSP4-Baseline,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,319.855,323.68957,331.53214,340.42382,350.4322,361.25518,372.62274,384.30634,396.20072,408.17059,420.18297
GCAM4,SSP4-Baseline,World,Diagnostics|MAGICC6|Forcing,W/m2,1.8709164,2.1349482,2.6335814,3.1826633,3.7566551,4.2864857,4.7765806,5.2539404,5.7062872,6.0833805,6.4254881
GCAM4,SSP4-Baseline,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,-1.11516835,-1.05654196,-1.02161439,-0.99157051,-0.95200975,-0.89686631,-0.85873925,-0.81057777,-0.72685405,-0.67222149,-0.62586414
GCAM4,SSP4-Baseline,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,0.562304717,0.58827586,0.644369927,0.7143512,0.78746914,0.84261388,0.88000309,0.90812109,0.92177298,0.92340841,0.92080272
GCAM4,SSP4-Baseline,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,1.6897843,1.837859,2.1763125,2.5565777,2.9687148,3.3805907,3.7805239,4.1627364,4.5082137,4.8160058,5.1003974
GCAM4,SSP4-Baseline,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,0.021105041,0.031102416,0.061810064,0.10474975,0.15074506,0.19066452,0.22535944,0.25526952,0.2800926,0.29972671,0.31499161
GCAM4,SSP4-Baseline,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,2.3467499,2.5390686,2.9805814,3.490897,4.0418168,4.5730538,5.0730902,5.5431132,5.959064,6.3215976,6.6523674
GCAM4,SSP4-Baseline,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,0.15571104,0.16780423,0.19231328,0.21974776,0.25019644,0.28263112,0.31617167,0.35010854,0.38412475,0.41783852,0.45117229
GCAM4,SSP4-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.91338626,0.98856212,1.2372126,1.5328748,1.8738929,2.2163061,2.5461508,2.8745099,3.2009946,3.4942134,3.7582885
GCAM4,SSP5-19,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,,1812.864,1875.7775,1819.3857,1721.7847,1657.6381,1615.8773,1579.1746,1536.3769,1484.8727,1425.3417
GCAM4,SSP5-19,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,,390.5053,416.15541,440.40725,446.58638,433.47852,418.0971,406.33755,395.67372,382.63268,364.927
GCAM4,SSP5-19,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,,323.68957,330.68729,336.31317,341.04266,345.61872,349.34138,351.97398,353.70032,354.47525,354.16151
GCAM4,SSP5-19,World,Diagnostics|MAGICC6|Forcing,W/m2,,2.1359602,2.5950458,3.056863,3.1917678,2.9902048,2.7666983,2.5912386,2.4207965,2.20458,1.9052704
GCAM4,SSP5-19,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,,-1.0548803,-0.97589651,-0.72926956,-0.54713719,-0.47684259,-0.43845076,-0.40811663,-0.3849592,-0.36874539,-0.35880026
GCAM4,SSP5-19,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,,0.58827586,0.615172291,0.591085987,0.548474393,0.519789826,0.500808311,0.483916792,0.463963515,0.439568768,0.41082416
GCAM4,SSP5-19,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,,1.837859,2.1783638,2.4815294,2.5561043,2.3966531,2.2032788,2.0505776,1.9082343,1.7288516,1.4752649
GCAM4,SSP5-19,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,,0.031102416,0.046939424,0.049134275,0.045720607,0.040801431,0.037172813,0.036462532,0.037248989,0.038881861,0.041072667
GCAM4,SSP5-19,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,,2.5390686,2.9402343,3.2424741,3.2918201,3.1169432,2.9150372,2.7551618,2.6017752,2.4055368,2.1286679
GCAM4,SSP5-19,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,,0.16780423,0.18968726,0.20711048,0.22164355,0.23560812,0.24689942,0.25484763,0.26004334,0.26237142,0.26142919
GCAM4,SSP5-19,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.98872871,1.2295819,1.515301,1.7129253,1.7373823,1.6911934,1.6409664,1.5879089,1.5121623,1.3897159
GCAM4,SSP5-26,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,,1812.864,1874.4799,1951.8841,1916.8229,1763.1074,1670.0261,1617.0897,1588.9639,1547.7448,1472.7568
GCAM4,SSP5-26,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,,390.5053,414.96479,445.46566,467.17096,464.75144,452.94301,443.36863,434.62992,423.49644,407.25784
GCAM4,SSP5-26,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,,323.68957,330.72103,337.90699,344.38769,348.89172,352.77515,355.63105,357.51913,358.44128,358.2274
GCAM4,SSP5-26,World,Diagnostics|MAGICC6|Forcing,W/m2,,2.1361565,2.5731636,3.0357098,3.4914783,3.4078125,3.2216334,3.0830437,2.962134,2.7958001,2.5346738
GCAM4,SSP5-26,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,,-1.05456563,-0.97864336,-0.9247856,-0.622846,-0.51111215,-0.46126925,-0.42303378,-0.39428256,-0.372806977,-0.35923252
GCAM4,SSP5-26,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,,0.58827586,0.614622275,0.647097341,0.63247083,0.566662967,0.525373245,0.50136291,0.488441603,0.469291055,0.43376724
GCAM4,SSP5-26,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,,1.837859,2.1630285,2.5426554,2.7972964,2.7695038,2.6317522,2.5173995,2.4108513,2.2719576,2.0626863
GCAM4,SSP5-26,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,,0.031102416,0.046922734,0.049995796,0.047621984,0.042526408,0.038710346,0.037899004,0.038631217,0.040183965,0.042216568
GCAM4,SSP5-26,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,,2.5390686,2.9245182,3.3571423,3.6167766,3.5414362,3.376367,3.2492968,3.1381085,2.9871823,2.7489914
GCAM4,SSP5-26,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,,0.16780423,0.18979221,0.21201958,0.23186072,0.2455388,0.25726046,0.26583898,0.27149119,0.27424626,0.2736076
GCAM4,SSP5-26,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.98876074,1.2252285,1.4811172,1.8051981,1.9188597,1.9163359,1.8978099,1.8774021,1.8358715,1.7429094
GCAM4,SSP5-34,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,,1812.864,1874.4799,1951.8841,1947.936,1837.0691,1752.8357,1685.6319,1655.1755,1603.8568,1533.3862
GCAM4,SSP5-34,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,,390.5053,414.96479,445.46566,474.46781,486.68242,486.70006,484.78581,482.30764,477.70784,468.41799
GCAM4,SSP5-34,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,,323.68957,330.72103,337.90699,344.54469,349.36704,353.58007,356.86313,359.14282,360.3566,360.43087
GCAM4,SSP5-34,World,Diagnostics|MAGICC6|Forcing,W/m2,,2.1361565,2.5731636,3.0300961,3.4904801,3.6395628,3.6159499,3.5800452,3.5498571,3.4749,3.325049
GCAM4,SSP5-34,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,,-1.05456563,-0.97864336,-0.93049583,-0.74263155,-0.58386906,-0.51383136,-0.45792557,-0.415743,-0.383385919,-0.364674451
GCAM4,SSP5-34,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,,0.58827586,0.614622275,0.647097341,0.645457121,0.598679758,0.562162424,0.532376737,0.518677401,0.495298067,0.462558597
GCAM4,SSP5-34,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,,1.837859,2.1630285,2.5426554,2.8802505,3.0162979,3.0164919,2.9953987,2.9679677,2.9166766,2.8115646
GCAM4,SSP5-34,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,,0.031102416,0.046922734,0.049995796,0.04757416,0.042524977,0.038762726,0.037899924,0.038568074,0.040078564,0.042041945
GCAM4,SSP5-34,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,,2.5390686,2.9245182,3.3571423,3.7112364,3.8169769,3.7949646,3.7574466,3.7258072,3.6596972,3.5288346
GCAM4,SSP5-34,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,,0.16780423,0.18979221,0.21201958,0.23233901,0.24697704,0.25968185,0.26952909,0.27633985,0.27995716,0.28017829
GCAM4,SSP5-34,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.98876074,1.2252285,1.4800846,1.7901279,1.9906505,2.0798716,2.1309134,2.1701201,2.1873474,2.1577932
GCAM4,SSP5-45,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,,1812.864,1874.4799,1951.8841,1970.0494,1892.402,1820.281,1746.4396,1701.5541,1658.0369,1618.001
GCAM4,SSP5-45,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,,390.5053,414.96479,445.46566,479.05412,502.59669,513.82304,519.03103,521.52246,525.16178,531.68512
GCAM4,SSP5-45,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,,323.68957,330.72103,337.90699,344.73068,349.95022,354.53052,358.14079,360.73595,362.38757,363.12724
GCAM4,SSP5-45,World,Diagnostics|MAGICC6|Forcing,W/m2,,2.1361565,2.5731636,3.0269031,3.4967564,3.7869701,3.9056747,3.9563336,3.9824404,4.0000407,4.0440905
GCAM4,SSP5-45,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,,-1.05456563,-0.97864336,-0.93379196,-0.81195756,-0.65401708,-0.56555462,-0.49392182,-0.43976492,-0.41337326,-0.39431744
GCAM4,SSP5-45,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,,0.58827586,0.614622275,0.647097341,0.654622355,0.622201885,0.591471387,0.5593531,0.539487965,0.519969925,0.501779604
GCAM4,SSP5-45,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,,1.837859,2.1630285,2.5426554,2.9317396,3.188518,3.3067572,3.3607348,3.3863656,3.4235864,3.4896621
GCAM4,SSP5-45,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,,0.031102416,0.046922734,0.049995796,0.047575642,0.042588085,0.038895183,0.038058453,0.038691913,0.040154326,0.042055257
GCAM4,SSP5-45,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,,2.5390686,2.9245182,3.3571423,3.7711097,4.0110858,4.1132184,4.1497739,4.1668294,4.193771,4.2484234
GCAM4,SSP5-45,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,,0.16780423,0.18979221,0.21201958,0.23290551,0.24874028,0.26253737,0.27334891,0.28108641,0.28599608,0.28819116
