Year,Discount_rate,GHG,Value
2048,5,CH4,108.3333333
2049,5,CH4,108.3333333
2050,5,CH4,108.3333333
2020,2.5,N2O,354.8387097
2021,2.5,N2O,370.9677419
2022,2.5,N2O,370.9677419
2023,2.5,N2O,370.9677419
2024,2.5,N2O,387.0967742
2025,2.5,N2O,387.0967742
2026,2.5,N2O,403.2258065
2027,2.5,N2O,403.2258065
2028,2.5,N2O,419.3548387
2029,2.5,N2O,419.3548387
2030,2.5,N2O,435.483871
2031,2.5,N2O,435.483871
2032,2.5,N2O,451.6129032
2033,2.5,N2O,451.6129032
2034,2.5,N2O,467.7419355
2035,2.5,N2O,467.7419355
2036,2.5,N2O,483.8709677
2037,2.5,N2O,483.8709677
2038,2.5,N2O,500
2039,2.5,N2O,500
2040,2.5,N2O,516.1290323
2041,2.5,N2O,516.1290323
2042,2.5,N2O,532.2580645
2043,2.5,N2O,532.2580645
2044,2.5,N2O,548.3870968
2045,2.5,N2O,548.3870968
2046,2.5,N2O,564.516129
2047,2.5,N2O,564.516129
2048,2.5,N2O,580.6451613
2049,2.5,N2O,580.6451613
2050,2.5,N2O,596.7741935
2020,3,N2O,357.1428571
2021,3,N2O,357.1428571
2022,3,N2O,380.952381
2023,3,N2O,380.952381
2024,3,N2O,380.952381
2025,3,N2O,404.7619048
2026,3,N2O,404.7619048
2027,3,N2O,404.7619048
2028,3,N2O,428.5714286
2029,3,N2O,428.5714286
2030,3,N2O,452.3809524
2031,3,N2O,452.3809524
2032,3,N2O,452.3809524
2033,3,N2O,476.1904762
2034,3,N2O,476.1904762
2035,3,N2O,500
2036,3,N2O,500
2037,3,N2O,500
2038,3,N2O,523.8095238
2039,3,N2O,523.8095238
2040,3,N2O,547.6190476
2041,3,N2O,547.6190476
2042,3,N2O,547.6190476
2043,3,N2O,571.4285714
2044,3,N2O,571.4285714
2045,3,N2O,595.2380952
2046,3,N2O,595.2380952
2047,3,N2O,619.047619
2048,3,N2O,619.047619
2049,3,N2O,619.047619
2050,3,N2O,642.8571429
2020,5,N2O,391.6666667
2021,5,N2O,408.3333333
2022,5,N2O,416.6666667
2023,5,N2O,433.3333333
2024,5,N2O,450
2025,5,N2O,458.3333333
2026,5,N2O,475
2027,5,N2O,491.6666667
2028,5,N2O,500
2029,5,N2O,516.6666667
2030,5,N2O,525
2031,5,N2O,541.6666667
2032,5,N2O,566.6666667
2033,5,N2O,583.3333333
2034,5,N2O,600
2035,5,N2O,616.6666667
2036,5,N2O,633.3333333
2037,5,N2O,650
2038,5,N2O,666.6666667
2039,5,N2O,683.3333333
2040,5,N2O,700
2041,5,N2O,716.6666667
2042,5,N2O,733.3333333
2043,5,N2O,758.3333333
2044,5,N2O,775
2045,5,N2O,791.6666667
2046,5,N2O,816.6666667
2047,5,N2O,833.3333333
2048,5,N2O,833.3333333
2049,5,N2O,833.3333333
2050,5,N2O,916.6666667
