Unit,LCI,Virgin Hot Rolled Stamped Steel,Virgin Cold Rolled Stamped Steel,Virgin Galvanized Stamped Steel,Recycled Steel Rod and Bar,Stainless Steel Rod and Bar,Cast Iron,Forged Iron,Virgin Wrought Hot Rolled Stamped Aluminum,Virgin Wrought Cold Rolled Stamped Aluminum,Virgin Wrought Extruded Aluminum,Recycled Wrought Cold Rolled Stamped Aluminum,Recycled Wrought Hot Rolled Stamped Aluminum,Recycled Wrought Extruded Aluminum,Virgin Cast Aluminum,Recycled Cast Aluminum,Copper Wire,Glass Production,GFRP Fabrication,CFRP Fabrication,Plastic Blow Molding (HPDE),Plastic Calendaring (PVC),Plastic Compression Molding,Plastic Extrusion (HDPE),Plastic Extrusion (PVC),Plastic Extrusion (PP),Plastic Injection Molding (HDPE),Plastic Injection Molding (PVC),Plastic Injection Molding (PP),Rubber Compression Molding,Rubber Injection Molding (PVC)
g per lb,OC,0.000757784,0.000757784,0.000757784,0.003197567,0.003197567,0.002670525,0.028329948,0.000757784,0.000757784,0.004950939,0.000757784,0.000757784,0.004950939,0.007363202,0.007363202,0.001925072,0.00132597,0.003023891,0.006521909,0.004693071,0.001830698,0.005277596,0.001412894,0.001442521,0.00191397,0.005480999,0.003454247,0.002483891,0.005277596,0.003454247
g per lb,CH4,0.073681467,0.073681467,0.073681467,0.303536893,0.303536893,1.67772424,2.643115081,0.073681467,0.073681467,0.463901434,0.073681467,0.073681467,0.463901434,0.687306524,0.687306524,0.204996648,0.121441554,0.294021459,0.702580952,0.455358138,0.178003988,0.498659406,0.137379714,0.140260352,0.186100691,0.532933045,0.335866186,0.241515759,0.498659406,0.335866186
g per lb,N2O,0.000800673,0.000800673,0.000800673,0.003844955,0.003844955,0.001674575,0.036987249,0.000800673,0.000800673,0.006380324,0.000800673,0.000800673,0.006380324,0.009591942,0.009591942,0.002432234,0.000519512,0.003195037,0.009509336,0.004991837,0.001934312,0.006493494,0.001492861,0.001524164,0.002022296,0.005791212,0.00364975,0.002624474,0.006493494,0.00364975
g per lb,CO2,41.02297808,41.02297808,41.02297808,147.8333196,147.8333196,172.5197892,1151.502248,41.02297808,41.02297808,206.0879684,41.02297808,41.02297808,206.0879684,300.4432185,300.4432185,122.6296175,92.84786722,163.6997251,396.2823303,253.460176,99.10570464,236.0148643,76.48768755,78.09151454,103.6136346,296.7164141,186.9972434,134.4665913,236.0148643,186.9972434
g per lb,"CO2 (VOC, CO, CO2)",41.07161607,41.07161607,41.07161607,148.0584556,148.0584556,176.4647587,1153.62158,41.07161607,41.07161607,206.850215,41.07161607,41.07161607,206.850215,300.9931396,300.9931396,122.765031,93.00112843,163.893812,396.7878117,253.7628698,99.22320711,236.3927408,76.57837347,78.18410201,103.7364818,297.0682093,187.2189526,134.6260186,236.3927408,187.2189526
g per lb,GHGs,43.49423836,43.49423836,43.49423836,158.1834755,158.1834755,227.2402483,1242.716653,43.49423836,43.49423836,222.458044,43.49423836,43.49423836,222.458044,324.1541998,324.1541998,129.5594724,96.78204579,173.5611404,420.3852142,268.7464509,105.0759194,253.073299,81.0953731,82.79581604,109.8554111,314.5908718,198.2621218,142.566977,253.073299,198.2621218
,Urban Emissions: grams,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb
g per lb,VOC,0.00035706,0.00035706,0.00035706,0.001316267,0.001316267,0.000922388,0.010469302,0.00035706,0.00035706,0.001862172,0.00035706,0.00035706,0.001862172,0.002729787,0.002729787,0.001515329,0.000418036,0.001424828,0.005633769,0.002222738,0.000862607,0.00211234,0.000665742,0.000679702,0.000901844,0.002582594,0.001627608,0.001170386,0.00211234,0.001627608
g per lb,CO,0.003685785,0.003685785,0.003685785,0.010032952,0.010032952,0.004181128,0.054315802,0.003685785,0.003685785,0.010407064,0.003685785,0.003685785,0.010407064,0.014370041,0.014370041,0.007577983,0.00185358,0.014707904,0.014367768,0.022707534,0.008904335,0.014815257,0.006872178,0.007016276,0.009309358,0.026659034,0.016801113,0.012081399,0.014815257,0.016801113
g per lb,NOx,0.007463915,0.007463915,0.007463915,0.017703877,0.017703877,0.009697427,0.070468213,0.007463915,0.007463915,0.014613309,0.007463915,0.007463915,0.014613309,0.018947151,0.018947151,0.015101952,0.003742951,0.029784305,0.023693815,0.045957037,0.018031763,0.024862473,0.013916533,0.014208341,0.018851957,0.053985994,0.034023167,0.02446549,0.024862473,0.034023167
g per lb,PM10,0.000869567,0.000869567,0.000869567,0.001649779,0.001649779,0.000953186,0.001967109,0.000869567,0.000869567,0.000681906,0.000869567,0.000869567,0.000681906,0.000603792,0.000603792,0.001825974,0.000443614,0.003469954,0.002403664,0.005352645,0.00210075,0.002084834,0.001621315,0.001655311,0.002196305,0.006289517,0.003963793,0.002850297,0.002084834,0.003963793
g per lb,PM2.5,0.000729324,0.000729324,0.000729324,0.001384854,0.001384854,0.000807024,0.00166724,0.000729324,0.000729324,0.000574812,0.000729324,0.000729324,0.000574812,0.000510879,0.000510879,0.001538777,0.000373868,0.002910324,0.002052245,0.004489494,0.001761944,0.001750855,0.001359831,0.001388344,0.001842088,0.005275152,0.003324517,0.002390605,0.001750855,0.003324517
g per lb,SOx,0.007175343,0.007175343,0.007175343,0.013645571,0.013645571,0.006978724,0.016718914,0.007175343,0.007175343,0.00570329,0.007175343,0.007175343,0.00570329,0.005107382,0.005107382,0.014035773,0.003352309,0.028632773,0.015025273,0.044145961,0.017334612,0.017266613,0.013378487,0.013659013,0.018123095,0.051898767,0.03270775,0.023519596,0.017266613,0.03270775
g per lb,BC,3.42E-05,3.42E-05,3.42E-05,6.67E-05,6.67E-05,4.50E-05,0.000104137,3.42E-05,3.42E-05,3.12E-05,3.42E-05,3.42E-05,3.12E-05,3.06E-05,3.06E-05,8.11E-05,2.05E-05,0.000136464,0.000141302,0.00021069,8.26E-05,8.55E-05,6.38E-05,6.51E-05,8.64E-05,0.00024735,0.000155886,0.000112095,8.55E-05,0.000155886
g per lb,OC,0.000220606,0.000220606,0.000220606,0.000419561,0.000419561,0.000260449,0.000514449,0.000220606,0.000220606,0.000175482,0.000220606,0.000220606,0.000175482,0.000157136,0.000157136,0.000444998,0.000109053,0.000880314,0.000525379,0.001357437,0.000532952,0.000530917,0.000411321,0.000419946,0.000557194,0.001595626,0.001005599,0.000723109,0.000530917,0.001005599
