Unit,LCI,Virgin Steel,Virgin High-Strength Steel,Recycled Steel,Average Steel,Stainless Steel,Cast Iron,Virgin Wrought Aluminum,Recycled Wrought Aluminum,Average Wrought Aluminum,Virgin Cast Aluminum,Recycled Cast Aluminum,Average Cast Aluminum,Virgin Lead,Recycled Lead,Average Lead,Virgin Nickel,Recycled Nickel,Average Nickel,Virgin Nickel Hydroxide,Recycled Nickel Hydroxide,Average Nickel Hydroxide,Refined Nickel,Virgin Cobalt Oxide,Virgin Cobalt Chloride,Virgin Cobalt Metal,Copper,Zinc,Virgin Magnesium,Recycled Magnesium,Average Magnesium,Sulfuric Acid,Glass,Fiber Glass,High-Density Polyethylene,Polyethylene Terephthalate,Polypropylene,Average Plastic,Glass Fiber Composite Plastic,Carbon Fiber Composite Plastic for General Use,Carbon Fiber Composite Plastic for High Pressure Vessels,Rubber,Platinum,Vanadium,Zirconium,Titanium,Chromium,Rare Earth,Manganese in Manganese Ore (MnO),Manganese,Thermal Insulation,Carbon Fiber,Carbon Paper,Nafion117 Sheet,Nafion Dry Polymer,PTFE,LiMn2O4,NMC(442): Coprecipitation,NMC(111): Coprecipitation,NMC(532): Coprecipitation,NMC(622): Coprecipitation,NMC(811): Coprecipitation,Recycled NMC(111): Coprecipitation,LMR-NMC:Solid State,LFP: Hydrothermal,LFP: Solid State,LCO: Hydrothermal,LCO: Solid State,NCA,NMP,Graphite,PVDF,LiPF6,Ethylene Carbonate,Dimethyl Carbonate,BMS,Coolant,Silicon,Silicon as anode material,Molybdenum
g per lb of material product,PM10,0.791703237,1.005463111,0.360957326,0.677986316,0.548337213,0.500198336,2.179280295,0.336166271,1.976537752,2.39041345,0.359327667,0.663990535,2.320379864,0.023699783,0.643803405,11.93544495,0.09398133,6.725200955,0,0,0,11.93544495,22.90572888,13.16765656,29.20485155,0.273001582,0.947895001,0.617327142,0.036624605,0.31478112,0.011968437,0.060982464,0.700177267,0.14829031,0.158716341,0.12376357,0.533055366,1.970313596,3.450659686,2.769855012,0.37075813,6.921770332,0,0.45437199,0,0,0.834389445,1.5310224,1.726187792,0.700177267,1.911485422,6.690198977,0.051923462,0.050833982,0.821104269,1.832560863,6.006515889,8.046892112,6.416975772,6.524351732,5.541522768,0.807882327,6.122043124,0.701924533,0.623734177,18.17974846,17.96698932,6.49070247,0.126821818,2.499265382,0.100022124,0.614175941,0.011229198,0.041339289,1.063284739,0.19963435,9.909143996,2.147548294,1.3615648
g per lb of material product,PM2.5,0.37515684,0.476449187,0.181008252,0.323901613,0.274204059,0.228725289,1.0810642,0.172167603,0.981085574,1.188253879,0.186662587,0.336901281,1.139875362,0.008213946,0.313762528,5.937747431,0.078740199,3.359784249,0,0,0,5.937747431,2.941613386,1.658145341,3.727207439,0.14531891,0.468632592,0.391996176,0.023310598,0.19991099,0.010920981,0.044213826,0.3634666,0.06059062,0.095829315,0.049369661,0.140888536,0.4439944,0.838064823,1.132978031,0.196582711,2.745445921,0,0.310514218,0,0,0.371468464,0.763570152,0.884081564,0.3634666,1.151964529,4.031875852,0.030927856,0.030278914,0.427947167,1.305794782,1.832190099,1.964701795,2.012214062,2.120440601,2.36845856,0.548065868,1.916245297,0.585724607,0.482883014,2.736750068,2.539889275,2.490250112,0.113192896,1.220488356,0.05792592,0.306068641,0.0083143,0.030935772,0.56418321,0.103347157,4.986010039,1.179553388,0.536671168
g per lb of material product,SOx,5.26501906,6.686574207,0.878366576,4.106942805,1.261840011,1.459011095,13.27224633,1.28147985,11.95326202,14.5880782,1.374421839,3.356470293,13.82994481,2.957030395,5.892717288,1326.171406,0.767112681,742.993517,0,0,0,1326.171406,44.44022439,25.18720744,58.24858037,65.67809939,1.68202724,5.953282433,0.355479292,3.036826997,9.152902741,0.577880406,1.327273114,11.55792413,5.353499194,10.57281484,7.826093338,3.41977182,14.39309232,24.78786107,6.195496131,121.8754926,0,3.958925736,0,0,11.1680376,0.548330128,15.50465266,1.327273114,27.39669059,95.88841707,0.54474388,0.533313828,13.97181232,1.221402902,178.7720743,154.9280178,223.0210712,256.7376968,332.8320225,39.10536287,95.98366499,9.150355518,18.68975761,37.6587749,36.8684451,339.4514363,0.708933525,36.12804491,1.173005803,60.41431432,0.090803565,0.327747849,12.48523023,2.792616631,141.424373,32.24636238,1.725049522
g per lb of material product,BC,0.00586127,0.007443813,0.003209357,0.005161165,0.004276912,0.003532624,0.021595623,0.005684548,0.019845405,0.024290708,0.006756927,0.009386994,0.006019348,0.000407101,0.001922408,0.05948943,0.043192049,0.052318583,0,0,0,0.05948943,0.202030559,0.11034094,0.247548739,0.041755564,0.005559781,0.066689704,0.003260862,0.033643277,0.00145188,0.006244004,0.0074849,0.00967949,0.0211709,0.009055477,0.017491393,0.017386195,0.073361658,0.127513619,0.018742122,0.173765606,0,0.045810925,0,0,0.03284008,0.001884712,0.043774329,0.0074849,0.144250522,0.504876828,0.004072387,0.003986939,0.039343591,0.148513504,0.137774353,0.153500346,0.143682483,0.147094445,0.16253382,0.101970534,0.200946361,0.106981891,0.061485197,0.251085595,0.219141269,0.174549249,0.018562712,0.01090797,0.007214194,0.029826311,0.001163732,0.00437706,0.065433665,0.007255869,0.536874066,0.141858364,0.037318799
g per lb of material product,OC,0.012775127,0.016224411,0.00749386,0.011380872,0.009995539,0.008693575,0.034486442,0.011868561,0.031998475,0.03913387,0.014209283,0.017947971,0.00579252,0.000978994,0.002278646,0.127081317,0.019243011,0.079632462,0,0,0,0.127081317,0.194771185,0.09804203,0.226020021,0.027330611,0.012908097,0.122206454,0.007554694,0.062472887,0.005554591,0.012918169,0.015050801,0.01679115,0.023143046,0.014872861,0.026229723,0.034049452,0.145803856,0.259882582,0.028268206,0.313533197,0,0.105959062,0,0,0.077363235,0.004248208,0.062398597,0.015050801,0.298265297,1.043928539,0.009451821,0.009253499,0.056740542,0.337735093,0.19566499,0.206168041,0.20500766,0.211402382,0.265824881,0.17027568,0.338774455,0.175086633,0.09451782,0.307780325,0.231301163,0.280803481,0.041103331,0.022839451,0.015986914,0.082306537,0.002594564,0.009769427,0.152498134,0.010303948,1.119989657,0.277517713,0.055820618
g per lb of material product,CH4,1.960586616,2.489945003,0.968121834,1.698575914,1.313652027,1.916341714,4.616971152,1.269099321,4.248705251,5.175241856,1.485934089,2.039330254,3.242132572,0.308155426,1.100329256,12.14257674,1.222103278,7.337568414,0,0,0,12.14257674,13.19983148,6.072309826,15.02659424,2.073874021,1.884278663,13.18896626,0.82734568,6.748561936,0.025061304,1.265145296,1.388819799,10.736115,6.705354553,10.18766775,8.311731752,4.725314393,17.17917951,28.12803288,2.685497685,68.60371842,0,11.1639494,0,0,11.69730461,0.64633638,5.826386931,1.388819799,31.39573332,109.8850666,1.077947102,1.055329149,5.384175855,2.094420799,12.72564286,13.18608714,13.67525097,14.35005391,15.93940269,9.93578546,6.285304153,4.02137945,1.886598534,15.48932005,12.86330975,17.15644506,5.224550414,4.320203235,1.806426058,7.706162065,0.425422378,1.574087309,18.97534469,1.506225331,147.6103081,33.37285765,8.60455613
g per lb of material product,N2O,0.010788563,0.013701474,0.010300944,0.010659831,0.013777403,0.00725115,0.049994955,0.016228244,0.046280617,0.05648648,0.019276038,0.024857604,0.00340698,0.001839101,0.002262428,0.287464928,0.014682849,0.167440813,0,0,0,0.287464928,0.159417489,0.073468132,0.180490181,0.02355265,0.017694167,0.159704721,0.010133772,0.081778256,0.000433006,0.015729691,0.017115711,0.042134523,0.031818597,0.037844848,0.114190419,0.050046906,0.208383561,0.358641784,0.040547046,0.70408964,0,0.141389285,0,0,0.109218141,0.005515013,0.09026369,0.017115711,0.406541029,1.422893603,0.012750872,0.012483328,0.082260737,0.017458233,0.155606493,0.159781716,0.16966444,0.179842883,0.200132058,0.106046256,0.069849925,0.046216611,0.018967655,0.17993149,0.145350174,0.213356318,0.05233729,0.031827059,0.021704467,0.073276769,0.002351755,0.009000139,0.208398954,0.01495407,1.75132169,0.45963342,0.031352648
g per lb of material product,CO2,1286.325453,1633.633325,549.169422,1091.716261,754.4604736,394.3391038,3174.202674,668.8591506,2898.614886,3527.926246,767.0728491,1181.200859,261.3920074,210.3372549,224.1220381,6461.241585,630.0408364,3895.513256,0,0,0,6461.241585,7540.670986,3473.303391,8768.656434,1235.966512,1129.622045,7504.239312,412.2139073,3809.294076,18.74911045,726.0715298,770.3923425,894.7716551,1228.783691,745.5387442,1363.408793,1923.406006,7867.943862,14091.60426,1633.379974,46996.72475,0,5398.999688,0,0,7024.657125,400.0908314,3685.146349,770.3923425,16149.43768,56523.03186,553.7350767,541.3658158,3392.343634,1402.884939,7470.242813,7673.300612,8061.347376,8477.969477,9409.444814,5561.979476,4084.966922,2144.047632,1152.587553,8570.61673,7656.371053,10018.62788,2028.40403,2040.992718,943.0308445,4655.566497,153.1435668,568.1061273,10298.23149,714.5729754,84372.97299,18353.45501,6295.856147
g per lb of material product,"CO2 (VOC, CO, CO2)",1308.453795,1661.736319,552.5546327,1108.896416,759.558094,398.1793254,3177.874554,670.377343,2902.04986,3531.564839,768.338109,1182.822119,264.5023093,210.4759479,225.0630655,6478.65748,631.8214883,3906.049643,0,0,0,6478.65748,7557.200214,3479.970006,8783.922565,1238.285798,1130.819455,7514.150582,412.8183862,3814.356508,18.8214628,727.1221469,771.5059568,900.5258488,1241.553022,753.3366164,1369.987134,1926.583245,7880.410059,14112.72097,1643.870234,47021.33959,0,5407.374927,0,0,7031.627331,400.5673692,3690.185803,771.5059568,16173.26454,56606.4259,554.5017142,542.1163674,3396.894699,1408.130938,7485.213974,7688.510317,8077.799585,8495.506743,9429.624166,5571.398278,4097.19757,2149.768984,1157.322615,8587.087629,7672.441546,10042.73379,2034.165921,2043.706223,944.3281264,4660.498029,153.5046447,569.442248,10310.98364,728.9765328,84469.52277,18376.75762,6310.879323
g per lb of material product,GHGs,1370.130362,1740.06556,584.3280378,1162.678549,802.6186665,457.5911317,3621.283271,736.0605111,3303.908767,4023.186232,843.7112484,1320.632496,362.6691363,220.2079723,258.6724866,6919.112988,672.3755415,4170.548511,0,0,0,6919.112988,7995.440793,3681.608356,9282.550291,1306.74347,1192.036769,16553.64132,11015.32421,13668.1781,19.68804858,769.244874,817.7062143,1233.774947,1451.145587,1068.995534,1649.599548,2081.605107,8451.007088,15051.60203,1735.180131,49266.0349,0,5779.761569,0,0,7411.489276,421.4189391,3888.897289,817.7062143,17222.86992,60280.04471,590.2191083,577.0843237,3580.21907,1475.589993,7908.218981,8126.435086,8533.018191,8973.666724,9960.841242,5897.574099,4304.266925,2282.657769,1218.946999,9099.449075,8096.858635,10613.96657,2204.771815,2181.74649,1004.272592,4911.101235,166.890531,619.0499041,10935.46971,778.1261212,89361.93226,19499.74621,6577.324459
,Urban Emissions: grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g per lb of material product,VOC,0.003676862,0.004669615,0.004855524,0.003988029,0.006649695,0.004450818,0.02830264,0.006016024,0.025851112,0.0314712,0.006911662,0.010595592,0.002542025,0.000151811,0.000797169,0.07063442,0.006653436,0.042482787,0,0,0,0.07063442,0.08701423,0.043500827,0.100696326,0.013320515,0.010812005,0.060973137,0.003742128,0.031155781,0.000814648,0.005276738,0.006780541,0.019730307,0.021497633,0.019735304,0.024062361,0.023655015,0.089726035,0.147025762,0.024515079,0.235665306,0,0.049070785,0,0,0.063345565,0.004875485,0.059032654,0.006780541,0.162139149,0.567487022,0.005014267,0.004909056,0.052806102,0.013040652,0.083444171,0.085625424,0.091916291,0.097948108,0.109123566,0.054609488,0.047662796,0.022649825,0.017927531,0.094989511,0.085199767,0.116115035,0.079468138,0.03733175,0.009034839,0.045937092,0.031499818,0.114305545,0.093188742,0.009635704,0.772766293,0.170337828,0.176454636
g per lb of material product,CO,0.030712827,0.03900529,0.036528848,0.032248256,0.050621991,0.014143493,0.099381819,0.028851388,0.091623471,0.110104543,0.032380998,0.04403953,0.012046297,0.000284028,0.003459841,0.318945895,0.024973374,0.189597986,0,0,0,0.318945895,0.307611293,0.143260643,0.344765902,0.05933659,0.080407769,0.39395157,0.024191313,0.201306476,0.001745474,0.028860277,0.038885356,0.09319344,0.06447765,0.076568844,0.088359532,0.107894232,0.376399254,0.661888909,0.05295044,1.02273632,0,0.301873768,0,0,0.521982589,0.026541932,0.105924789,0.038885356,0.757041821,2.649646372,0.033909319,0.033197819,0.105041638,0.044438513,0.327604739,0.33902222,0.347651663,0.361481341,0.393272124,0.278866704,0.130483141,0.065609388,0.050478719,0.369399394,0.329739503,0.417492631,0.08871465,0.069061467,0.055789902,0.346943955,0.018766765,0.068519751,0.681762024,0.017051321,5.51239827,1.076196084,0.166877356
g per lb of material product,NOx,0.06903254,0.087671326,0.074276257,0.070416881,0.103822799,0.027465589,0.262264546,0.052560262,0.239197075,0.287878378,0.0567872,0.091450877,0.029452192,0.001554982,0.009087229,0.700550341,0.039032906,0.40948267,0,0,0,0.700550341,0.627567828,0.30853107,0.847439524,0.122638835,0.172107164,0.714115112,0.043266677,0.364603077,0.010968203,0.045416905,0.069436773,0.139105509,0.106092748,0.112513403,0.133010919,0.183914395,0.606110515,1.091976586,0.081434454,6.330341436,0,0.513200364,0,0,1.129296511,0.056929023,0.157363782,0.069436773,1.257448471,4.401069649,0.063247422,0.061920337,0.163956341,0.074509894,0.673066755,0.692510809,0.723309966,0.75794842,0.839139698,0.556626983,0.280969575,0.118959509,0.150477512,0.730622815,0.685117933,0.884392012,0.125241092,0.269707982,0.103738777,0.792224079,0.030470624,0.110850531,1.357392707,0.024934039,11.38982225,2.116270291,0.314414538
g per lb of material product,PM10,0.0068232,0.008665464,0.007549653,0.007014984,0.01067624,0.00175213,0.032430754,0.004289276,0.029335191,0.035301037,0.004289524,0.008941251,0.002871208,6.39E-05,0.000821892,0.075723999,0.002462275,0.043488841,0,0,0,0.075723999,0.060461471,0.032048962,0.097909671,0.013711943,0.01877628,0.060626042,0.003576696,0.030903333,0.00070334,0.002746111,0.00553373,0.007057666,0.007158832,0.005200526,0.007145512,0.014017517,0.041607256,0.079034075,0.006444941,1.028869822,0,0.038215333,0,0,0.124200005,0.006364553,0.012679624,0.00553373,0.092010243,0.32203585,0.00563817,0.005519868,0.013886798,0.005917852,0.062564504,0.064884866,0.067351602,0.070566679,0.078305976,0.052417016,0.026810197,0.006674996,0.012697942,0.06930874,0.069549019,0.081450328,0.00579685,0.043005175,0.009289506,0.084238667,0.003248451,0.011732242,0.133966704,0.001959301,1.189341099,0.206888022,0.044351045
g per lb of material product,PM2.5,0.00516192,0.006555638,0.005670449,0.005296172,0.008018031,0.001401002,0.023747043,0.003182227,0.021484914,0.025842408,0.003180268,0.006579589,0.002208574,5.85E-05,0.000639006,0.055291631,0.001911842,0.031804524,0,0,0,0.055291631,0.045641225,0.02415753,0.072330727,0.01003854,0.014114504,0.045628412,0.002691456,0.023258258,0.000638475,0.002081628,0.004199558,0.005372316,0.005537666,0.003994679,0.005533086,0.010699787,0.032042449,0.060590331,0.005287707,0.72601806,0,0.028788748,0,0,0.093227204,0.004812448,0.010682965,0.004199558,0.070393718,0.246378014,0.004239615,0.004150658,0.011437915,0.004516421,0.047390079,0.049100847,0.051034871,0.053484714,0.059387092,0.040451126,0.020442444,0.005475944,0.010478731,0.05237893,0.052436959,0.061816628,0.004866451,0.030966837,0.007006707,0.063881755,0.002850519,0.010301054,0.100645286,0.001662256,0.892977414,0.155130485,0.036602555
