IAM,SSP_scenario,Mitigation_scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM4,SSP1,baseline,USA,Secondary Energy|Electricity|Geothermal,EJ/yr,0.0632759,0.2644607,0.4824803,0.6580881,0.788309,0.9465684,1.0869022,1.1112365,1.037347,0.9178896
GCAM4,SSP1,baseline,USA,Secondary Energy|Electricity|Hydro,EJ/yr,0.945313,0.96406,0.983963,0.998283,1.00702,1.01576,1.02449,1.03323,1.04197,1.04634
GCAM4,SSP1,baseline,USA,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,1.36527703,3.435869101,5.587743198,8.069519536,9.854658074,11.35201012,12.80840806,14.56768722,16.19607745,17.6204588
GCAM4,SSP1,baseline,USA,Secondary Energy|Electricity|Nuclear,EJ/yr,3.02015,2.6893151,2.26773028,1.62582618,0.99785637,0.60563337,0.31044527,0.3536436,0.3758146,0.3665623
GCAM4,SSP1,baseline,USA,Secondary Energy|Electricity|Oil,EJ/yr,0.144544,0.009726743,0.011966001,0.016431006,0.017215483,0.01766568,0.021942471,0.018961246,0.016827527,0.016520198
GCAM4,SSP1,baseline,USA,Secondary Energy|Electricity|Oil|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Secondary Energy|Electricity|Oil|w/o CCS,EJ/yr,0.144544,0.009726743,0.011966001,0.016431006,0.017215483,0.01766568,0.021942471,0.018961246,0.016827527,0.016520198
GCAM4,SSP1,baseline,USA,Secondary Energy|Electricity|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Secondary Energy|Electricity|Solar,EJ/yr,0.01416213,0.153353601,0.324092598,0.706801736,1.422104474,2.433223717,3.759896459,5.23749082,6.53932075,7.8456901
GCAM4,SSP1,baseline,USA,Secondary Energy|Electricity|Solar|CSP,EJ/yr,0.00316433,0.02608089,0.06192972,0.19283127,0.49290969,0.97465315,1.78776524,2.96701471,4.11667071,5.38047412
GCAM4,SSP1,baseline,USA,Secondary Energy|Electricity|Solar|PV,EJ/yr,0.0109978,0.127272711,0.262162878,0.513970466,0.929194784,1.458570567,1.972131219,2.27047611,2.42265004,2.46521598
GCAM4,SSP1,baseline,USA,Secondary Energy|Electricity|Wind,EJ/yr,0.342526,2.0539948,3.7972073,5.7063467,6.6372246,6.956458,6.9371194,7.1857299,7.5774397,7.8105391
GCAM4,SSP1,baseline,USA,Secondary Energy|Hydrogen,EJ/yr,0,0.03302753,0.118585989,0.221657681,0.3408889,0.4514775,0.57280685,0.68635499,0.78263999,0.83808127
GCAM4,SSP1,baseline,USA,Secondary Energy|Hydrogen|Biomass,EJ/yr,0,0.00127681,0.00461831,0.00914314,0.0152553,0.0195423,0.0247206,0.0310031,0.0366759,0.0403238
GCAM4,SSP1,baseline,USA,Secondary Energy|Hydrogen|Biomass|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Secondary Energy|Hydrogen|Biomass|w/o CCS,EJ/yr,0,0.00127681,0.00461831,0.00914314,0.0152553,0.0195423,0.0247206,0.0310031,0.0366759,0.0403238
GCAM4,SSP1,baseline,USA,Secondary Energy|Hydrogen|Coal,EJ/yr,0,0.00716862,0.0252787,0.0486491,0.0780848,0.101961,0.124152,0.148941,0.16637,0.170827
GCAM4,SSP1,baseline,USA,Secondary Energy|Hydrogen|Coal|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Secondary Energy|Hydrogen|Coal|w/o CCS,EJ/yr,0,0.00716862,0.0252787,0.0486491,0.0780848,0.101961,0.124152,0.148941,0.16637,0.170827
GCAM4,SSP1,baseline,USA,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,0.00347787,0.012237719,0.023262401,0.0370738,0.048676,0.06338995,0.08478289,0.10559409,0.12072147
GCAM4,SSP1,baseline,USA,Secondary Energy|Hydrogen|Gas,EJ/yr,0,0.01978726,0.07178,0.1316529,0.1963044,0.241152,0.276381,0.307192,0.33114,0.347855
GCAM4,SSP1,baseline,USA,Secondary Energy|Hydrogen|Gas|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Secondary Energy|Hydrogen|Gas|w/o CCS,EJ/yr,0,0.01978726,0.07178,0.1316529,0.1963044,0.241152,0.276381,0.307192,0.33114,0.347855
GCAM4,SSP1,baseline,USA,Secondary Energy|Hydrogen|Nuclear,EJ/yr,0,0.00131697,0.00467126,0.00895014,0.0141706,0.0401462,0.0841633,0.114436,0.14286,0.158354
GCAM4,SSP1,baseline,USA,Secondary Energy|Liquids,EJ/yr,35.1627751,35.80968884,36.32799318,36.84111887,36.89617376,37.43230336,38.00260422,38.1529816,37.75075341,36.87261023
GCAM4,SSP1,baseline,USA,Secondary Energy|Liquids|Biomass,EJ/yr,0,0.687457,1.407225,1.966375,2.374364,3.1453599,3.3725012,3.6483044,3.9438033,4.312149
GCAM4,SSP1,baseline,USA,Secondary Energy|Liquids|Biomass|1st Generation,EJ/yr,1.0622751,0.197116837,0.235035177,0.27563887,0.327348755,0.379777457,0.468472024,0.556803197,0.634899113,0.72573023
GCAM4,SSP1,baseline,USA,Secondary Energy|Liquids|Biomass|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Secondary Energy|Liquids|Biomass|w/o CCS,EJ/yr,0,0.687457,1.407225,1.966375,2.374364,3.1453599,3.3725012,3.6483044,3.9438033,4.312149
GCAM4,SSP1,baseline,USA,Secondary Energy|Liquids|Coal,EJ/yr,0,0.580008,1.985171,2.779355,3.149408,3.850896,3.692327,3.416042,3.121382,2.795083
GCAM4,SSP1,baseline,USA,Secondary Energy|Liquids|Coal|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Secondary Energy|Liquids|Coal|w/o CCS,EJ/yr,0,0.580008,1.985171,2.779355,3.149408,3.850896,3.692327,3.416042,3.121382,2.795083
GCAM4,SSP1,baseline,USA,Secondary Energy|Liquids|Fossil,EJ/yr,0,1.279975,4.723963,6.844475,7.786611,9.345356,8.777861,7.881534,7.070631,6.389811
GCAM4,SSP1,baseline,USA,Secondary Energy|Liquids|Fossil|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Secondary Energy|Liquids|Fossil|w/o CCS,EJ/yr,34.1005,34.345107,32.700562,31.81975,31.045053,30.05627,30.469304,30.531832,30.050669,29.039648
GCAM4,SSP1,baseline,USA,Secondary Energy|Liquids|Gas,EJ/yr,0,0.699967,2.738792,4.06512,4.637203,5.49446,5.085534,4.465492,3.949249,3.594728
GCAM4,SSP1,baseline,USA,Secondary Energy|Liquids|Gas|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Secondary Energy|Liquids|Gas|w/o CCS,EJ/yr,0,0.699967,2.738792,4.06512,4.637203,5.49446,5.085534,4.465492,3.949249,3.594728
GCAM4,SSP1,baseline,USA,Secondary Energy|Liquids|Oil,EJ/yr,34.1005,33.64514,29.96177,27.75463,26.40785,24.56181,25.38377,26.06634,26.10142,25.44492
GCAM4,SSP1,baseline,USA,Secondary Energy|Gases,EJ/yr,23.2528726,23.791525,25.6885,26.631125,27.114715,26.52197,25.819794,24.97412,23.348385,22.071705
GCAM4,SSP1,baseline,USA,Secondary Energy|Gases|Biomass,EJ/yr,0.222693,0.255307,0.312261,0.440106,0.63657,0.81348,0.975014,1.00515,0.805335,0.410235
GCAM4,SSP1,baseline,USA,Secondary Energy|Gases|Coal,EJ/yr,0.0605796,0.114018,0.190839,0.349019,0.635845,1.11259,1.74128,2.46767,3.04745,3.49067
GCAM4,SSP1,baseline,USA,Secondary Energy|Gases|Natural Gas,EJ/yr,22.9696,23.4222,25.1854,25.842,25.8423,24.5959,23.1035,21.5013,19.4956,18.1708
GCAM4,SSP1,baseline,USA,Final Energy,EJ/yr,66.34315734,70.99559193,75.00439911,78.14899692,79.99833253,81.91684543,83.72279382,84.77854253,84.66406186,83.48101151
GCAM4,SSP1,baseline,USA,Final Energy|Electricity,EJ/yr,13.7235704,15.61535807,17.21779407,18.68674941,20.0342181,21.18132885,22.67204163,24.2269957,25.28089589,25.79066949
GCAM4,SSP1,baseline,USA,Final Energy|Gases,EJ/yr,14.24716626,15.86861303,17.63035415,18.58259256,18.80231032,18.84990839,18.46772062,17.81662363,17.15163499,16.54809804
GCAM4,SSP1,baseline,USA,Final Energy|Heat,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Final Energy|Hydrogen,EJ/yr,0,0.03302752,0.118585851,0.221657671,0.340888727,0.451477781,0.572807116,0.686356061,0.782639277,0.83808074
GCAM4,SSP1,baseline,USA,Final Energy|Industry,EJ/yr,20.13494905,22.06441897,23.96360832,25.37322846,26.40712527,27.32251467,28.19839039,28.91414865,29.32987863,29.42203525
GCAM4,SSP1,baseline,USA,Final Energy|Industry|Electricity,EJ/yr,3.2956417,3.8934953,4.364355,4.8926863,5.4616355,5.9540873,6.6920525,7.5936206,8.3847564,9.0601439
GCAM4,SSP1,baseline,USA,Final Energy|Industry|Gases,EJ/yr,6.59419266,7.0344226,7.556578,7.6575496,7.43824325,7.21926332,6.849814,6.42508541,6.0671699,5.78250321
GCAM4,SSP1,baseline,USA,Final Energy|Industry|Heat,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Final Energy|Industry|Hydrogen,EJ/yr,0,0.01610406,0.03933586,0.07032364,0.1085503,0.126517,0.1441516,0.1556813,0.1636463,0.1608465
GCAM4,SSP1,baseline,USA,Final Energy|Industry|Liquids,EJ/yr,7.2263361,7.930486,8.677883,9.262461,9.77572,10.291258,10.74764,11.070968,11.217612,11.152891
GCAM4,SSP1,baseline,USA,Final Energy|Industry|Solids,EJ/yr,3.01877859,3.18991101,3.32545646,3.49020792,3.62297622,3.73138905,3.76473229,3.66879334,3.49669403,3.26565064
GCAM4,SSP1,baseline,USA,Final Energy|Industry|Solids|Biomass,EJ/yr,1.47476959,1.59310601,1.70002146,1.82621392,1.94646122,2.01908005,2.08303729,2.07044534,2.01222603,1.91059034
GCAM4,SSP1,baseline,USA,Final Energy|Industry|Solids|Coal,EJ/yr,1.544009,1.596805,1.625435,1.663994,1.676515,1.712309,1.681695,1.598348,1.484468,1.3550603
GCAM4,SSP1,baseline,USA,Final Energy|Liquids,EJ/yr,34.77932249,35.78486309,36.29841578,36.80190896,36.85645126,37.39250916,37.95417527,38.111794,37.71442217,36.83712216
GCAM4,SSP1,baseline,USA,Final Energy|Residential and Commercial,EJ/yr,20.1365582,22.0916333,23.6323749,24.5708783,24.9987233,25.20190965,25.17238794,24.80683316,23.97621892,22.71994639
GCAM4,SSP1,baseline,USA,Final Energy|Residential and Commercial|Electricity,EJ/yr,10.400421,11.657648,12.716296,13.574418,14.252492,14.779167,15.367531,15.819745,15.857459,15.498315
GCAM4,SSP1,baseline,USA,Final Energy|Residential and Commercial|Gases,EJ/yr,7.6232116,8.3005681,8.7910441,8.8659599,8.5770474,8.20151245,7.59378804,6.87548636,6.18460042,5.53035895
GCAM4,SSP1,baseline,USA,Final Energy|Residential and Commercial|Heat,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Final Energy|Residential and Commercial|Hydrogen,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Final Energy|Residential and Commercial|Liquids,EJ/yr,1.538606,1.629598,1.711242,1.76462,1.827696,1.910998,1.919752,1.843622,1.696384,1.489882
GCAM4,SSP1,baseline,USA,Final Energy|Residential and Commercial|Solids,EJ/yr,0.5743196,0.5038192,0.4137928,0.3658804,0.3414879,0.3102322,0.2913169,0.2679798,0.2377755,0.20139044
GCAM4,SSP1,baseline,USA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,0.5111529,0.4491881,0.370593,0.3304233,0.311836,0.2845929,0.2704262,0.2517498,0.2255,0.1923629
GCAM4,SSP1,baseline,USA,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,0.0631667,0.0546311,0.0431998,0.0354571,0.0296519,0.0256393,0.0208907,0.01623,0.0122755,0.00902754
GCAM4,SSP1,baseline,USA,Final Energy|Solids,EJ/yr,3.59309819,3.69373021,3.73924926,3.85608832,3.96446412,4.04162125,4.05604919,3.93677314,3.73446953,3.46704108
GCAM4,SSP1,baseline,USA,Final Energy|Solids|Biomass,EJ/yr,1.98592249,2.04229411,2.07061446,2.15663722,2.25829722,2.30367295,2.35346349,2.32219514,2.23772603,2.10295324
GCAM4,SSP1,baseline,USA,Final Energy|Solids|Biomass|Traditional,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Final Energy|Solids|Coal,EJ/yr,1.6071757,1.6514361,1.6686348,1.6994511,1.7061669,1.7379483,1.7025857,1.614578,1.4967435,1.36408784
GCAM4,SSP1,baseline,USA,Final Energy|Transportation,EJ/yr,26.07165009,26.83953966,27.40841589,28.20489016,28.59248396,29.39242111,30.35201549,31.05756072,31.35796431,31.33902987
GCAM4,SSP1,baseline,USA,Final Energy|Transportation|Electricity,EJ/yr,0.027507698,0.064214773,0.137143074,0.219645105,0.320090601,0.448074548,0.612458126,0.813630099,1.038680487,1.23221059
GCAM4,SSP1,baseline,USA,Final Energy|Transportation|Freight,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Final Energy|Transportation|Gases,EJ/yr,0.029762,0.533622334,1.282732047,2.059083064,2.787019669,3.429132623,4.024118581,4.51605186,4.899864673,5.235235876
GCAM4,SSP1,baseline,USA,Final Energy|Transportation|Hydrogen,EJ/yr,0,0.01692346,0.079249991,0.151334031,0.232338427,0.324960781,0.428655516,0.530674761,0.618992977,0.67723424
GCAM4,SSP1,baseline,USA,Final Energy|Transportation|Liquids,EJ/yr,26.01438039,26.22477909,25.90929078,25.77482796,25.25303526,25.19025316,25.28678327,25.197204,24.80042617,24.19434916
GCAM4,SSP1,baseline,USA,Final Energy|Transportation|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Final Energy|Transportation|Passenger,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Resource|Cumulative Extraction|Coal,EJ,105.94,490.611,965.8435,1497.212,2050.945,2619.43,3188.0805,3700.4355,4156.402,4548.598
GCAM4,SSP1,baseline,USA,Resource|Cumulative Extraction|Gas,EJ,103.6355,296.713,514.275,764.7095,1081.0545,1479.7585,1861.4645,2204.8335,2468.652,2665.3315
GCAM4,SSP1,baseline,USA,Resource|Cumulative Extraction|Oil,EJ,74.9645,370.99427,660.33196,835.594815,968.155115,1076.460815,1175.587565,1271.942115,1370.483415,1464.460565
GCAM4,SSP1,baseline,USA,Secondary Energy|Solids,EJ/yr,3.59309,3.69373,3.73925,3.85609,3.96446,4.04162,4.05604,3.93676,3.73447,3.46704
GCAM4,SSP1,baseline,USA,Secondary Energy|Solids|Biomass,EJ/yr,1.98592,2.04229,2.07061,2.15664,2.25829,2.30367,2.35346,2.32219,2.23773,2.10295
GCAM4,SSP1,baseline,USA,Secondary Energy|Solids|Coal,EJ/yr,1.60717,1.65144,1.66864,1.69945,1.70617,1.73795,1.70258,1.61457,1.49674,1.36409
GCAM4,SSP1,baseline,USA,Emissions|CO2,Mt CO2/yr,4958.388197,5445.780295,5516.126428,5700.431926,5696.538235,5936.0278,5879.995402,5701.053445,5511.720717,5179.557418
GCAM4,SSP1,baseline,USA,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,5516.372839,5814.712407,5999.14586,5967.412263,5896.295869,5926.656624,5931.461297,5773.546578,5599.084682,5300.670582
GCAM4,SSP1,baseline,USA,Emissions|CO2|Fossil Fuels and Industry|Energy Demand,Mt CO2/yr,3022.105752,3151.891678,3197.232137,3215.239408,3172.151277,3131.481832,3100.434446,3024.452155,2916.652957,2787.256343
GCAM4,SSP1,baseline,USA,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,656.7728611,703.0678872,740.5340458,753.1017218,746.5442804,737.3718905,719.0525613,685.4856271,647.3299277,605.2439161
GCAM4,SSP1,baseline,USA,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,507.2602335,547.3363936,574.0310432,576.7916937,560.9733911,541.1029165,506.8108887,463.3706317,419.5684495,376.2821952
GCAM4,SSP1,baseline,USA,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial and Industry,Mt CO2/yr,1164.033095,1250.404281,1314.565089,1329.893415,1307.517671,1278.474807,1225.86345,1148.856259,1066.898377,981.5261113
GCAM4,SSP1,baseline,USA,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,1858.072676,1901.487398,1882.66708,1885.346158,1864.63368,1853.007189,1874.571215,1875.596023,1849.754893,1805.730565
GCAM4,SSP1,baseline,USA,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,2494.267233,2662.821205,2801.913981,2752.172866,2724.145149,2795.175131,2831.026924,2749.094533,2682.431793,2513.414502
GCAM4,SSP1,baseline,USA,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,2328.36123,2396.945378,2317.904667,2134.487629,2028.701943,1974.175147,1993.708602,1906.728735,1850.987953,1714.271345
GCAM4,SSP1,baseline,USA,Emissions|CO2|Land Use,Mt CO2/yr,-557.9846419,-368.9321119,-483.0194321,-266.9803379,-199.757635,9.371175913,-51.46589466,-72.49313309,-87.36396445,-121.1131646
GCAM4,SSP1,baseline,USA,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,376.5886667,416.3463333,455.389,486.5263333,511.9106667,534.6586667,558.2793333,579.733,594.627,600.4863333
GCAM4,SSP1,baseline,USA,Emissions|CO2|Carbon Capture and Storage|Biomass,Mt CO2/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy,Mt CO2/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy|Demand|Industry,Mt CO2/yr,0,0,0,0,0,0,0,0,0,0
