"Technology","Size","Year","Data_type","Aeo_year","Unit","Value"
"HEV","Light truck",2015,"sales",2017,"vehicle",21994
"ICEV-D","Light truck",2015,"sales",2017,"vehicle",51820
"ICEV-G","Light truck",2015,"sales",2017,"vehicle",6798411
"PHEV20","Light truck",2015,"sales",2017,"vehicle",10919
"PHEV40","Light truck",2015,"sales",2017,"vehicle",8676
"BEV100","Car",2016,"sales",2018,"vehicle",32592
"BEV300","Car",2016,"sales",2018,"vehicle",20959
"CNG","Car",2016,"sales",2018,"vehicle",37367
"FCV","Car",2016,"sales",2018,"vehicle",1751
"FFV","Car",2016,"sales",2018,"vehicle",429064
"HEV","Car",2016,"sales",2018,"vehicle",276995
"ICEV-D","Car",2016,"sales",2018,"vehicle",10355
"ICEV-G","Car",2016,"sales",2018,"vehicle",8115033
"PHEV20","Car",2016,"sales",2018,"vehicle",34012
"PHEV40","Car",2016,"sales",2018,"vehicle",26582
"BEV100","Light truck",2016,"sales",2018,"vehicle",5712
"BEV300","Light truck",2016,"sales",2018,"vehicle",4915
"CNG","Light truck",2016,"sales",2018,"vehicle",64051
"FCV","Light truck",2016,"sales",2018,"vehicle",1751
"FFV","Light truck",2016,"sales",2018,"vehicle",929603
"HEV","Light truck",2016,"sales",2018,"vehicle",57829
"ICEV-D","Light truck",2016,"sales",2018,"vehicle",25555
"ICEV-G","Light truck",2016,"sales",2018,"vehicle",6145804
"PHEV20","Light truck",2016,"sales",2018,"vehicle",17880
"PHEV40","Light truck",2016,"sales",2018,"vehicle",6791
"BEV100","Car",2017,"sales",2019,"vehicle",32803
"BEV300","Car",2017,"sales",2019,"vehicle",67447
"CNG","Car",2017,"sales",2019,"vehicle",15995
"FCV","Car",2017,"sales",2019,"vehicle",1572
"FFV","Car",2017,"sales",2019,"vehicle",232732
"HEV","Car",2017,"sales",2019,"vehicle",418124
"ICEV-D","Car",2017,"sales",2019,"vehicle",2014
"ICEV-G","Car",2017,"sales",2019,"vehicle",7530805
"PHEV20","Car",2017,"sales",2019,"vehicle",22827
"PHEV40","Car",2017,"sales",2019,"vehicle",47444
"BEV100","Light truck",2017,"sales",2019,"vehicle",4057
"BEV300","Light truck",2017,"sales",2019,"vehicle",3786
"CNG","Light truck",2017,"sales",2019,"vehicle",20259
"FCV","Light truck",2017,"sales",2019,"vehicle",1352
"FFV","Light truck",2017,"sales",2019,"vehicle",689292
"HEV","Light truck",2017,"sales",2019,"vehicle",54334
"ICEV-D","Light truck",2017,"sales",2019,"vehicle",40401
"ICEV-G","Light truck",2017,"sales",2019,"vehicle",6748153
"PHEV20","Light truck",2017,"sales",2019,"vehicle",13390
"PHEV40","Light truck",2017,"sales",2019,"vehicle",7578
"BEV100","Car",2018,"sales",2019,"vehicle",14507
"BEV300","Car",2018,"sales",2019,"vehicle",180835
"CNG","Car",2018,"sales",2019,"vehicle",5974
"FCV","Car",2018,"sales",2019,"vehicle",2740
"FFV","Car",2018,"sales",2019,"vehicle",220677
"HEV","Car",2018,"sales",2019,"vehicle",497531
"ICEV-D","Car",2018,"sales",2019,"vehicle",8023
"ICEV-G","Car",2018,"sales",2019,"vehicle",7228311
"PHEV20","Car",2018,"sales",2019,"vehicle",29022
"PHEV40","Car",2018,"sales",2019,"vehicle",107649
"BEV100","Light truck",2018,"sales",2019,"vehicle",5317
"BEV300","Light truck",2018,"sales",2019,"vehicle",5603
"CNG","Light truck",2018,"sales",2019,"vehicle",10365
"FCV","Light truck",2018,"sales",2019,"vehicle",2556
"FFV","Light truck",2018,"sales",2019,"vehicle",665304
"HEV","Light truck",2018,"sales",2019,"vehicle",50706
"ICEV-D","Light truck",2018,"sales",2019,"vehicle",75857
"ICEV-G","Light truck",2018,"sales",2019,"vehicle",6543253
"PHEV20","Light truck",2018,"sales",2019,"vehicle",24567
"PHEV40","Light truck",2018,"sales",2019,"vehicle",15158
"BEV100","Car",2019,"sales",2020,"vehicle",9891
"BEV300","Car",2019,"sales",2020,"vehicle",229671
"CNG","Car",2019,"sales",2020,"vehicle",5572
"FCV","Car",2019,"sales",2020,"vehicle",1963
"FFV","Car",2019,"sales",2020,"vehicle",124260
"HEV","Car",2019,"sales",2020,"vehicle",146878
"ICEV-D","Car",2019,"sales",2020,"vehicle",2094
"ICEV-G","Car",2019,"sales",2020,"vehicle",6710053
"PHEV20","Car",2019,"sales",2020,"vehicle",29030
"PHEV40","Car",2019,"sales",2020,"vehicle",78595
"BEV100","Light truck",2019,"sales",2020,"vehicle",175
"BEV300","Light truck",2019,"sales",2020,"vehicle",49862
"CNG","Light truck",2019,"sales",2020,"vehicle",10818
"FCV","Light truck",2019,"sales",2020,"vehicle",0
"FFV","Light truck",2019,"sales",2020,"vehicle",733309
"HEV","Light truck",2019,"sales",2020,"vehicle",207843
"ICEV-D","Light truck",2019,"sales",2020,"vehicle",74946
"ICEV-G","Light truck",2019,"sales",2020,"vehicle",7254760
"PHEV20","Light truck",2019,"sales",2020,"vehicle",7157
"PHEV40","Light truck",2019,"sales",2020,"vehicle",21756
