Year,Census,Source,Value
2016,West South Central,Natural Gas,0.495222537
2016,West South Central,Nuclear,0.103639536
2016,West South Central,Other,0.015925458
2016,West South Central,Renewable,0.133856802
2017,East North Central,Coal,0.478434141
2017,East North Central,Natural Gas,0.173319052
2017,East North Central,Nuclear,0.270875132
2017,East North Central,Other,0.014121022
2017,East North Central,Renewable,0.063250653
2017,East South Central,Coal,0.345791833
2017,East South Central,Natural Gas,0.340016664
2017,East South Central,Nuclear,0.233796325
2017,East South Central,Other,0.000220806
2017,East South Central,Renewable,0.080174371
2017,Middle Atlantic,Coal,0.12234627
2017,Middle Atlantic,Natural Gas,0.355176579
2017,Middle Atlantic,Nuclear,0.392893776
2017,Middle Atlantic,Other,0.007526197
2017,Middle Atlantic,Renewable,0.122057178
2017,Mountain,Coal,0.446410072
2017,Mountain,Natural Gas,0.24303098
2017,Mountain,Nuclear,0.089284407
2017,Mountain,Other,0.003689917
2017,Mountain,Renewable,0.217584624
2017,New England,Coal,0.016536791
2017,New England,Natural Gas,0.451041788
2017,New England,Nuclear,0.309377589
2017,New England,Other,0.019807367
2017,New England,Renewable,0.203236465
2017,Pacific,Coal,0.021943999
2017,Pacific,Natural Gas,0.27415838
2017,Pacific,Nuclear,0.063920746
2017,Pacific,Other,0.02738657
2017,Pacific,Renewable,0.612590304
2017,South Atlantic,Coal,0.262841151
2017,South Atlantic,Natural Gas,0.414200394
2017,South Atlantic,Nuclear,0.25619232
2017,South Atlantic,Other,0.004844874
2017,South Atlantic,Renewable,0.061921261
2017,West North Central,Coal,0.5498044
2017,West North Central,Natural Gas,0.057525332
2017,West North Central,Nuclear,0.13291801
2017,West North Central,Other,0.003163749
2017,West North Central,Renewable,0.256588509
2017,West South Central,Coal,0.276744667
2017,West South Central,Natural Gas,0.450847264
2017,West South Central,Nuclear,0.096821322
2017,West South Central,Other,0.015368824
2017,West South Central,Renewable,0.160217923
