"Model_year","Size","Technology","Fuel_type","Value","Source","Unit"
"1996","Car","All","Gasoline","10.1741935126218","epa","L/100km"
"1996","Car","ICEV-G","Gasoline","10.0832066730649","epa","L/100km"
"1996","Car","ICEV-D","Diesel","5.98956758552321","epa","L/100km"
"1996","Light truck","All","Gasoline","13.7150532374733","epa","L/100km"
"1997","All","All","Gasoline","11.6729577570245","epa","L/100km"
"1997","Car","All","Gasoline","10.1535296024004","epa","L/100km"
"1997","Car","ICEV-G","Gasoline","10.0659968656514","epa","L/100km"
"1997","Car","ICEV-D","Diesel","6.16945320096637","epa","L/100km"
"1997","Light truck","All","Gasoline","13.9656351731757","epa","L/100km"
"1998","All","All","Gasoline","11.7042653503495","epa","L/100km"
"1998","Car","All","Gasoline","10.2183354147268","epa","L/100km"
"1998","Car","ICEV-G","Gasoline","10.0726809335944","epa","L/100km"
"1998","Car","ICEV-D","Diesel","5.568781843292","epa","L/100km"
"1998","Light truck","All","Gasoline","13.7803710116869","epa","L/100km"
"1999","All","All","Gasoline","11.9428188859537","epa","L/100km"
"1999","Car","All","Gasoline","10.3614401392008","epa","L/100km"
"1999","Car","ICEV-G","Gasoline","10.3672814827364","epa","L/100km"
"1999","Car","ICEV-D","Diesel","5.82828020883988","epa","L/100km"
"1999","Light truck","All","Gasoline","14.1505578373118","epa","L/100km"
"1999","Light truck","ICEV-G","Gasoline","14.1505528687945","epa","L/100km"
"1999","Light truck","ICEV-D","Diesel","13.2925670449547","epa","L/100km"
"2000","All","All","Gasoline","11.8981744375016","epa","L/100km"
"2000","Car","All","Gasoline","10.4472930448065","epa","L/100km"
"2000","Car","ICEV-G","Gasoline","10.4569213586246","epa","L/100km"
"2000","Car","ICEV-D","Diesel","5.28148479284657","epa","L/100km"
"2000","Light truck","All","Gasoline","13.9679075400657","epa","L/100km"
"2000","Light truck","ICEV-G","Gasoline","13.9679103886248","epa","L/100km"
"2001","All","All","Gasoline","11.9862907386651","epa","L/100km"
"2001","Car","All","Gasoline","10.3919830508036","epa","L/100km"
"2001","Car","ICEV-G","Gasoline","10.4024268065219","epa","L/100km"
"2001","Car","ICEV-D","Diesel","5.37834232365012","epa","L/100km"
"2001","Light truck","All","Gasoline","14.2447298378969","epa","L/100km"
"2001","Light truck","ICEV-G","Gasoline","14.2447278198807","epa","L/100km"
"2002","All","All","Gasoline","12.0910916228096","epa","L/100km"
"2002","Car","All","Gasoline","10.3242425857465","epa","L/100km"
"2002","Car","ICEV-G","Gasoline","10.3391395579159","epa","L/100km"
"2002","Car","ICEV-D","Diesel","5.53780432974238","epa","L/100km"
"2002","Light truck","All","Gasoline","14.272458135071","epa","L/100km"
"2002","Light truck","ICEV-G","Gasoline","14.2724576607657","epa","L/100km"
"2003","All","All","Gasoline","12.0102333184742","epa","L/100km"
"2003","Car","All","Gasoline","10.2205732174085","epa","L/100km"
"2003","Car","ICEV-G","Gasoline","10.2348039408151","epa","L/100km"
"2003","Car","ICEV-D","Diesel","5.36727021601362","epa","L/100km"
"2003","Light truck","All","Gasoline","14.0996127958063","epa","L/100km"
"2003","Light truck","ICEV-G","Gasoline","14.0996157155374","epa","L/100km"
"2004","All","All","Gasoline","12.1881656974076","epa","L/100km"
"2004","Car","All","Gasoline","10.2909028058911","epa","L/100km"
"2004","Car","ICEV-G","Gasoline","10.3003947293371","epa","L/100km"
"2004","Car","ICEV-D","Diesel","5.98382287551652","epa","L/100km"
"2004","Light truck","All","Gasoline","14.2472233882305","epa","L/100km"
"2004","Light truck","ICEV-G","Gasoline","14.2473487941724","epa","L/100km"
"2004","Light truck","ICEV-D","Diesel","11.1434657956233","epa","L/100km"
"2005","All","All","Gasoline","11.8294856115165","epa","L/100km"
"2005","Car","All","Gasoline","10.1621406975495","epa","L/100km"
"2005","Car","ICEV-G","Gasoline","10.1729958506811","epa","L/100km"
"2005","Car","ICEV-D","Diesel","6.54631648015791","epa","L/100km"
"2005","Light truck","All","Gasoline","13.919156388391","epa","L/100km"
"2005","Light truck","ICEV-G","Gasoline","13.9231421283106","epa","L/100km"
"2005","Light truck","ICEV-D","Diesel","9.29478872906095","epa","L/100km"
"2006","All","All","Gasoline","11.6828604614242","epa","L/100km"
"2006","Car","All","Gasoline","10.2159832266697","epa","L/100km"
"2006","Car","ICEV-G","Gasoline","10.2341705099596","epa","L/100km"
"2006","Car","ICEV-D","Diesel","6.20357979844929","epa","L/100km"
"2006","Light truck","All","Gasoline","13.6997000771138","epa","L/100km"
"2006","Light truck","ICEV-G","Gasoline","13.702617780597","epa","L/100km"
"2006","Light truck","ICEV-D","Diesel","9.82764159835945","epa","L/100km"
"2007","All","All","Gasoline","11.4160200024263","epa","L/100km"
"2007","Car","All","Gasoline","9.9241823509826","epa","L/100km"
"2007","Car","ICEV-G","Gasoline","9.92445660672369","epa","L/100km"
"2007","Car","ICEV-D","Diesel","8.11905627459086","epa","L/100km"
"2007","Light truck","All","Gasoline","13.556025778371","epa","L/100km"
"2007","Light truck","ICEV-G","Gasoline","13.5590503033814","epa","L/100km"
"2007","Light truck","ICEV-D","Diesel","9.91561844347031","epa","L/100km"
"2008","All","All","Gasoline","11.2176093436145","epa","L/100km"
"2008","Car","All","Gasoline","9.85040349935701","epa","L/100km"
"2008","Car","ICEV-G","Gasoline","9.85077820071075","epa","L/100km"
"2008","Car","ICEV-D","Diesel","8.0190408115283","epa","L/100km"
"2008","Light truck","All","Gasoline","13.2100991779014","epa","L/100km"
"2008","Light truck","ICEV-G","Gasoline","13.2142217304522","epa","L/100km"
"2008","Light truck","ICEV-D","Diesel","10.0243752102318","epa","L/100km"
"2009","All","All","Gasoline","10.4993317591852","epa","L/100km"
"2009","Car","All","Gasoline","9.41831992392098","epa","L/100km"
"2009","Car","ICEV-G","Gasoline","9.43466301569216","epa","L/100km"
"2009","Car","ICEV-D","Diesel","6.04284757856077","epa","L/100km"
"2009","Light truck","All","Gasoline","12.6971134490393","epa","L/100km"
"2009","Light truck","ICEV-G","Gasoline","12.7019621860636","epa","L/100km"
"2009","Light truck","ICEV-D","Diesel","9.83548460988242","epa","L/100km"
"2010","All","All","Gasoline","10.4113805703416","epa","L/100km"
"2010","Car","All","Gasoline","9.15118419308394","epa","L/100km"
"2010","Car","ICEV-G","Gasoline","9.17268735301316","epa","L/100km"
"2010","Car","ICEV-D","Diesel","5.88404785007968","epa","L/100km"
"2010","Car","AFV","Gasoline","3.90913118825244","epa","L/100km"
"2010","Light truck","All","Gasoline","12.5342798045365","epa","L/100km"
"2010","Light truck","ICEV-G","Gasoline","12.5392758981193","epa","L/100km"
"2010","Light truck","ICEV-D","Diesel","9.72304348228292","epa","L/100km"
"2011","All","All","Gasoline","10.553207605736","epa","L/100km"
"2011","Car","All","Gasoline","9.26469328268493","epa","L/100km"
"2011","Car","ICEV-G","Gasoline","9.29863159914992","epa","L/100km"
"2011","Car","ICEV-D","Diesel","6.20133275828545","epa","L/100km"
"2011","Car","AFV","Gasoline","3.27419591271398","epa","L/100km"
"2011","Light truck","All","Gasoline","12.3196766142253","epa","L/100km"
"2011","Light truck","ICEV-G","Gasoline","12.3262054639229","epa","L/100km"
"2011","Light truck","ICEV-D","Diesel","9.54375655416523","epa","L/100km"
"2011","Light truck","AFV","Gasoline","25.4986990751863","epa","L/100km"
"2012","All","All","Gasoline","9.98056348205057","epa","L/100km"
"2012","Car","All","Gasoline","8.75165746700532","epa","L/100km"
"2012","Car","ICEV-G","Gasoline","8.80335064764682","epa","L/100km"
"2012","Car","ICEV-D","Diesel","5.99987738352952","epa","L/100km"
"2012","Car","AFV","Gasoline","3.80632888119439","epa","L/100km"
"2012","Light truck","All","Gasoline","12.2019049009508","epa","L/100km"
"2012","Light truck","ICEV-G","Gasoline","12.211367712477","epa","L/100km"
"2012","Light truck","ICEV-D","Diesel","9.38772582847876","epa","L/100km"
"2012","Light truck","AFV","Gasoline","20.2190202227558","epa","L/100km"
"2013","All","All","Gasoline","9.72458367247341","epa","L/100km"
"2013","Car","All","Gasoline","8.50220239442183","epa","L/100km"
"2013","Car","ICEV-G","Gasoline","8.58333422490277","epa","L/100km"
"2013","Car","ICEV-D","Diesel","5.96181698314312","epa","L/100km"
"2013","Car","AFV","Gasoline","2.93576597206144","epa","L/100km"
"2013","Light truck","All","Gasoline","11.9060821300847","epa","L/100km"
"2013","Light truck","ICEV-G","Gasoline","11.9156281655131","epa","L/100km"
"2013","Light truck","ICEV-D","Diesel","8.76308137952938","epa","L/100km"
"2013","Light truck","AFV","Gasoline","25.7337871325877","epa","L/100km"
"2014","All","All","Gasoline","9.75559977171943","epa","L/100km"
"2014","Car","All","Gasoline","8.51440534347245","epa","L/100km"
"2014","Car","ICEV-G","Gasoline","8.59581393010997","epa","L/100km"
"2014","Car","ICEV-D","Diesel","5.98610687852782","epa","L/100km"
"2014","Car","AFV","Gasoline","3.53066289783607","epa","L/100km"
"2014","Light truck","All","Gasoline","11.5672357897269","epa","L/100km"
"2014","Light truck","ICEV-G","Gasoline","11.5800100083282","epa","L/100km"
"2014","Light truck","ICEV-D","Diesel","8.26627954773296","epa","L/100km"
"2014","Light truck","AFV","Gasoline","25.7337871325877","epa","L/100km"
"2015","All","All","Gasoline","9.54226469255649","epa","L/100km"
"2015","Car","All","Gasoline","8.32935663690397","epa","L/100km"
"2015","Car","ICEV-G","Gasoline","8.4130358551176","epa","L/100km"
"2015","Car","ICEV-D","Diesel","5.80481712716301","epa","L/100km"
"2015","Car","AFV","Gasoline","3.06286957173769","epa","L/100km"
"2015","Light truck","All","Gasoline","11.1737155784839","epa","L/100km"
"2015","Light truck","ICEV-G","Gasoline","11.1897254615892","epa","L/100km"
"2015","Light truck","ICEV-D","Diesel","8.52600129029627","epa","L/100km"
