"Technology","Size","Year","Data_type","Value","Unit"
"HEV","Car",1975,"stock",0,"vehicle"
"ICEV-D","Car",1975,"stock",0,"vehicle"
"ICEV-G","Car",1975,"stock",109933007,"vehicle"
"PHEV20","Car",1975,"stock",0,"vehicle"
"PHEV40","Car",1975,"stock",0,"vehicle"
"BEV100","Light truck",1975,"stock",0,"vehicle"
"BEV300","Light truck",1975,"stock",0,"vehicle"
"CNG","Light truck",1975,"stock",0,"vehicle"
"FCV","Light truck",1975,"stock",0,"vehicle"
"FFV","Light truck",1975,"stock",0,"vehicle"
"HEV","Light truck",1975,"stock",0,"vehicle"
"ICEV-D","Light truck",1975,"stock",0,"vehicle"
"ICEV-G","Light truck",1975,"stock",24906110,"vehicle"
"PHEV20","Light truck",1975,"stock",0,"vehicle"
"PHEV40","Light truck",1975,"stock",0,"vehicle"
"BEV100","Car",1976,"stock",0,"vehicle"
"BEV300","Car",1976,"stock",0,"vehicle"
"CNG","Car",1976,"stock",0,"vehicle"
"FCV","Car",1976,"stock",0,"vehicle"
"FFV","Car",1976,"stock",0,"vehicle"
"HEV","Car",1976,"stock",0,"vehicle"
"ICEV-D","Car",1976,"stock",0,"vehicle"
"ICEV-G","Car",1976,"stock",113224830,"vehicle"
"PHEV20","Car",1976,"stock",0,"vehicle"
"PHEV40","Car",1976,"stock",0,"vehicle"
"BEV100","Light truck",1976,"stock",0,"vehicle"
"BEV300","Light truck",1976,"stock",0,"vehicle"
"CNG","Light truck",1976,"stock",0,"vehicle"
"FCV","Light truck",1976,"stock",0,"vehicle"
"FFV","Light truck",1976,"stock",0,"vehicle"
"HEV","Light truck",1976,"stock",0,"vehicle"
"ICEV-D","Light truck",1976,"stock",0,"vehicle"
"ICEV-G","Light truck",1976,"stock",27202365,"vehicle"
"PHEV20","Light truck",1976,"stock",0,"vehicle"
"PHEV40","Light truck",1976,"stock",0,"vehicle"
"BEV100","Car",1977,"stock",0,"vehicle"
"BEV300","Car",1977,"stock",0,"vehicle"
"CNG","Car",1977,"stock",0,"vehicle"
"FCV","Car",1977,"stock",0,"vehicle"
"FFV","Car",1977,"stock",0,"vehicle"
"HEV","Car",1977,"stock",0,"vehicle"
"ICEV-D","Car",1977,"stock",0,"vehicle"
"ICEV-G","Car",1977,"stock",115211032,"vehicle"
"PHEV20","Car",1977,"stock",0,"vehicle"
"PHEV40","Car",1977,"stock",0,"vehicle"
"BEV100","Light truck",1977,"stock",0,"vehicle"
"BEV300","Light truck",1977,"stock",0,"vehicle"
"CNG","Light truck",1977,"stock",0,"vehicle"
"FCV","Light truck",1977,"stock",0,"vehicle"
"FFV","Light truck",1977,"stock",0,"vehicle"
"HEV","Light truck",1977,"stock",0,"vehicle"
"ICEV-D","Light truck",1977,"stock",0,"vehicle"
"ICEV-G","Light truck",1977,"stock",28816939,"vehicle"
"PHEV20","Light truck",1977,"stock",0,"vehicle"
"PHEV40","Light truck",1977,"stock",0,"vehicle"
"BEV100","Car",1978,"stock",0,"vehicle"
"BEV300","Car",1978,"stock",0,"vehicle"
"CNG","Car",1978,"stock",0,"vehicle"
"FCV","Car",1978,"stock",0,"vehicle"
"FFV","Car",1978,"stock",0,"vehicle"
"HEV","Car",1978,"stock",0,"vehicle"
"ICEV-D","Car",1978,"stock",0,"vehicle"
"ICEV-G","Car",1978,"stock",119273980,"vehicle"
"PHEV20","Car",1978,"stock",0,"vehicle"
"PHEV40","Car",1978,"stock",0,"vehicle"
"BEV100","Light truck",1978,"stock",0,"vehicle"
"BEV300","Light truck",1978,"stock",0,"vehicle"
"CNG","Light truck",1978,"stock",0,"vehicle"
