"Technology","Region","Aeo_case","Aeo_year","Data_type","Size","Year","Unit","Value"
"FCV","Pacific","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"FFV","Pacific","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",63249
"HEV","Pacific","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",36337
"ICEV-D","Pacific","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",15521
"ICEV-G","Pacific","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",936198
"PHEV20","Pacific","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"PHEV40","Pacific","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",1383
"BEV100","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",1436
"BEV300","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"CNG","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",2093
"FCV","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"FFV","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",83313
"HEV","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",46947
"ICEV-D","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",17370
"ICEV-G","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",1220984
"PHEV20","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"PHEV40","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",1766
"BEV100","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",10225
"BEV300","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"CNG","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",10622
"FCV","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"FFV","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",397567
"HEV","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",224128
"ICEV-D","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",85066
"ICEV-G","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",5867118
"PHEV20","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"PHEV40","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",8257
"BEV100","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",406
"BEV300","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"CNG","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",675
"FCV","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"FFV","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",23443
"HEV","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",12838
"ICEV-D","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",4709
"ICEV-G","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",351425
"PHEV20","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"PHEV40","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",502
"BEV100","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",623
"BEV300","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"CNG","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",1121
"FCV","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"FFV","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",37936
"HEV","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",20883
"ICEV-D","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",7822
"ICEV-G","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",567214
"PHEV20","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"PHEV40","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",796
"BEV100","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",133
"BEV300","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"CNG","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",6691
"FCV","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"FFV","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",219160
"HEV","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",5527
"ICEV-D","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",5947
"ICEV-G","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",745759
"PHEV20","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"PHEV40","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"BEV100","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",50
"BEV300","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"CNG","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",2526
"FCV","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"FFV","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",58430
"HEV","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",1428
"ICEV-D","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",1516
"ICEV-G","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",210525
"PHEV20","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"PHEV40","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"BEV100","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",103
