"Fuel","Year","Value","Unit","Scenario"
"gas to liquids",2075,2.03576601,"EJ","SSP4"
"oil refining",2075,30.987182,"EJ","SSP4"
"biomass liquids",2080,5.42086889,"EJ","SSP4"
"coal to liquids",2080,1.27624152,"EJ","SSP4"
"gas to liquids",2080,2.2544496,"EJ","SSP4"
"oil refining",2080,30.429055,"EJ","SSP4"
"biomass liquids",2085,5.46336692,"EJ","SSP4"
"coal to liquids",2085,1.39024046,"EJ","SSP4"
"gas to liquids",2085,2.4268183,"EJ","SSP4"
"oil refining",2085,29.713535,"EJ","SSP4"
"biomass liquids",2090,5.53407217,"EJ","SSP4"
"coal to liquids",2090,1.48496611,"EJ","SSP4"
"gas to liquids",2090,2.5768605,"EJ","SSP4"
"oil refining",2090,28.593607,"EJ","SSP4"
"biomass liquids",2095,5.54404519,"EJ","SSP4"
"coal to liquids",2095,1.57747471,"EJ","SSP4"
"gas to liquids",2095,2.7307334,"EJ","SSP4"
"oil refining",2095,28.03188,"EJ","SSP4"
"biomass liquids",2100,5.57986025,"EJ","SSP4"
"coal to liquids",2100,1.67183257,"EJ","SSP4"
"gas to liquids",2100,2.9014777,"EJ","SSP4"
"oil refining",2100,27.146036,"EJ","SSP4"
"biomass liquids",1975,0,"EJ","SSP4_26"
"coal to liquids",1975,0,"EJ","SSP4_26"
"gas to liquids",1975,0,"EJ","SSP4_26"
"oil refining",1975,23.7865,"EJ","SSP4_26"
"biomass liquids",1990,0,"EJ","SSP4_26"
"coal to liquids",1990,0,"EJ","SSP4_26"
"gas to liquids",1990,0,"EJ","SSP4_26"
"oil refining",1990,31.688,"EJ","SSP4_26"
"biomass liquids",2005,0.3378266,"EJ","SSP4_26"
"coal to liquids",2005,0,"EJ","SSP4_26"
"gas to liquids",2005,0,"EJ","SSP4_26"
"oil refining",2005,38.9652,"EJ","SSP4_26"
"biomass liquids",2010,1.0622751,"EJ","SSP4_26"
"coal to liquids",2010,0,"EJ","SSP4_26"
"gas to liquids",2010,0,"EJ","SSP4_26"
"oil refining",2010,34.1005,"EJ","SSP4_26"
"biomass liquids",2015,1.28639549,"EJ","SSP4_26"
"coal to liquids",2015,0,"EJ","SSP4_26"
"gas to liquids",2015,0,"EJ","SSP4_26"
"oil refining",2015,34.72962,"EJ","SSP4_26"
"biomass liquids",2020,1.49920255,"EJ","SSP4_26"
"coal to liquids",2020,0.002259121,"EJ","SSP4_26"
"gas to liquids",2020,0.00781636,"EJ","SSP4_26"
"oil refining",2020,35.84513,"EJ","SSP4_26"
"biomass liquids",2025,1.70263607,"EJ","SSP4_26"
"coal to liquids",2025,0.006441193,"EJ","SSP4_26"
"gas to liquids",2025,0.02376453,"EJ","SSP4_26"
"oil refining",2025,36.26778,"EJ","SSP4_26"
"biomass liquids",2030,2.08345959,"EJ","SSP4_26"
"coal to liquids",2030,0.01746684,"EJ","SSP4_26"
"gas to liquids",2030,0.06721419,"EJ","SSP4_26"
"oil refining",2030,36.21138,"EJ","SSP4_26"
"biomass liquids",2035,2.92734618,"EJ","SSP4_26"
"coal to liquids",2035,0.044314568,"EJ","SSP4_26"
"gas to liquids",2035,0.17523974,"EJ","SSP4_26"
"oil refining",2035,35.24111,"EJ","SSP4_26"
"biomass liquids",2040,4.50609682,"EJ","SSP4_26"
"coal to liquids",2040,0.09568345,"EJ","SSP4_26"
"gas to liquids",2040,0.38450699,"EJ","SSP4_26"
"oil refining",2040,33.47577,"EJ","SSP4_26"
"biomass liquids",2045,6.332360048,"EJ","SSP4_26"
"coal to liquids",2045,0.153344654,"EJ","SSP4_26"
"gas to liquids",2045,0.62641556,"EJ","SSP4_26"
"oil refining",2045,30.93727,"EJ","SSP4_26"
"biomass liquids",2050,7.801658121,"EJ","SSP4_26"
"coal to liquids",2050,0.188556454,"EJ","SSP4_26"
"gas to liquids",2050,0.7977549,"EJ","SSP4_26"
"oil refining",2050,28.291699,"EJ","SSP4_26"
"biomass liquids",2055,9.049972008,"EJ","SSP4_26"
"coal to liquids",2055,0.2036460109,"EJ","SSP4_26"
"gas to liquids",2055,0.90276818,"EJ","SSP4_26"
"oil refining",2055,26.2969608,"EJ","SSP4_26"
"biomass liquids",2060,10.620204458,"EJ","SSP4_26"
"coal to liquids",2060,0.22226720789,"EJ","SSP4_26"
"gas to liquids",2060,0.977212473,"EJ","SSP4_26"
"oil refining",2060,23.9946078,"EJ","SSP4_26"
"biomass liquids",2065,13.623244597,"EJ","SSP4_26"
"coal to liquids",2065,0.238128551823,"EJ","SSP4_26"
"gas to liquids",2065,0.992430862,"EJ","SSP4_26"
"oil refining",2065,20.5004134,"EJ","SSP4_26"
"biomass liquids",2070,21.1600421585,"EJ","SSP4_26"
"coal to liquids",2070,0.22878674591192,"EJ","SSP4_26"
"gas to liquids",2070,0.80925621,"EJ","SSP4_26"
"oil refining",2070,12.5747496,"EJ","SSP4_26"
"biomass liquids",2075,18.313436014,"EJ","SSP4_26"
"coal to liquids",2075,0.19217968772824,"EJ","SSP4_26"
"gas to liquids",2075,0.76601405,"EJ","SSP4_26"
"oil refining",2075,13.43944,"EJ","SSP4_26"
"biomass liquids",2080,16.4611669444,"EJ","SSP4_26"
"coal to liquids",2080,0.158510547329622,"EJ","SSP4_26"
"gas to liquids",2080,0.72781092,"EJ","SSP4_26"
"oil refining",2080,13.139783,"EJ","SSP4_26"
"biomass liquids",2085,15.45893563946,"EJ","SSP4_26"
"coal to liquids",2085,0.118694609268953,"EJ","SSP4_26"
"gas to liquids",2085,0.65266211,"EJ","SSP4_26"
"oil refining",2085,11.872723,"EJ","SSP4_26"
"biomass liquids",2090,14.43848266529,"EJ","SSP4_26"
"coal to liquids",2090,0.080201316,"EJ","SSP4_26"
"gas to liquids",2090,0.5574008,"EJ","SSP4_26"
"oil refining",2090,10.672139,"EJ","SSP4_26"
"biomass liquids",2095,12.9101600130987,"EJ","SSP4_26"
"coal to liquids",2095,0.0454278048,"EJ","SSP4_26"
"gas to liquids",2095,0.45289505,"EJ","SSP4_26"
"oil refining",2095,10.152537,"EJ","SSP4_26"
"biomass liquids",2100,10.9410245724559,"EJ","SSP4_26"
"coal to liquids",2100,0.01746345665,"EJ","SSP4_26"
"gas to liquids",2100,0.33794683,"EJ","SSP4_26"
"oil refining",2100,10.295396,"EJ","SSP4_26"
"biomass liquids",1975,0,"EJ","SSP5"
"coal to liquids",1975,0,"EJ","SSP5"
"gas to liquids",1975,0,"EJ","SSP5"
"oil refining",1975,23.7865,"EJ","SSP5"
"biomass liquids",1990,0,"EJ","SSP5"
"coal to liquids",1990,0,"EJ","SSP5"
"gas to liquids",1990,0,"EJ","SSP5"
"oil refining",1990,31.688,"EJ","SSP5"
"biomass liquids",2005,0.3378266,"EJ","SSP5"
"coal to liquids",2005,0,"EJ","SSP5"
"gas to liquids",2005,0,"EJ","SSP5"
"oil refining",2005,38.9652,"EJ","SSP5"
"biomass liquids",2010,1.0622751,"EJ","SSP5"
"coal to liquids",2010,0,"EJ","SSP5"
"gas to liquids",2010,0,"EJ","SSP5"
"oil refining",2010,34.1005,"EJ","SSP5"
"biomass liquids",2015,1.31230153,"EJ","SSP5"
"coal to liquids",2015,0,"EJ","SSP5"
"gas to liquids",2015,0,"EJ","SSP5"
"oil refining",2015,34.99396,"EJ","SSP5"
"biomass liquids",2020,1.54064765,"EJ","SSP5"
"coal to liquids",2020,0.00529323,"EJ","SSP5"
"gas to liquids",2020,0.0112657,"EJ","SSP5"
"oil refining",2020,36.7966,"EJ","SSP5"
"biomass liquids",2025,1.77847753,"EJ","SSP5"
"coal to liquids",2025,0.0173539,"EJ","SSP5"
"gas to liquids",2025,0.0364879,"EJ","SSP5"
"oil refining",2025,38.06706,"EJ","SSP5"
"biomass liquids",2030,2.13633369,"EJ","SSP5"
"coal to liquids",2030,0.04938764,"EJ","SSP5"
"gas to liquids",2030,0.1020891,"EJ","SSP5"
"oil refining",2030,39.29417,"EJ","SSP5"
"biomass liquids",2035,2.66688764,"EJ","SSP5"
"coal to liquids",2035,0.12414327,"EJ","SSP5"
"gas to liquids",2035,0.2497007,"EJ","SSP5"
"oil refining",2035,40.153,"EJ","SSP5"
"biomass liquids",2040,3.398111528,"EJ","SSP5"
"coal to liquids",2040,0.27041089,"EJ","SSP5"
"gas to liquids",2040,0.5265404,"EJ","SSP5"
"oil refining",2040,41.0382,"EJ","SSP5"
"biomass liquids",2045,4.078655968,"EJ","SSP5"
"coal to liquids",2045,0.45860811,"EJ","SSP5"
"gas to liquids",2045,0.86658393,"EJ","SSP5"
"oil refining",2045,41.692128,"EJ","SSP5"
"biomass liquids",2050,4.533518161,"EJ","SSP5"
"coal to liquids",2050,0.63391632,"EJ","SSP5"
"gas to liquids",2050,1.16654374,"EJ","SSP5"
"oil refining",2050,42.410016,"EJ","SSP5"
"biomass liquids",2055,4.831728663,"EJ","SSP5"
"coal to liquids",2055,0.80195833,"EJ","SSP5"
"gas to liquids",2055,1.43691062,"EJ","SSP5"
"oil refining",2055,44.080241,"EJ","SSP5"
"biomass liquids",2060,5.103257102,"EJ","SSP5"
"coal to liquids",2060,0.993716546,"EJ","SSP5"
"gas to liquids",2060,1.727781799,"EJ","SSP5"
"oil refining",2060,46.119747,"EJ","SSP5"
"biomass liquids",2065,5.261826075,"EJ","SSP5"
"coal to liquids",2065,1.189732777,"EJ","SSP5"
"gas to liquids",2065,2.0086906,"EJ","SSP5"
"oil refining",2065,48.468032,"EJ","SSP5"
"biomass liquids",2070,5.45156624,"EJ","SSP5"
"coal to liquids",2070,1.43782293,"EJ","SSP5"
"gas to liquids",2070,2.36180968,"EJ","SSP5"
"oil refining",2070,50.718592,"EJ","SSP5"
"biomass liquids",2075,5.64787832,"EJ","SSP5"
"coal to liquids",2075,1.73103843,"EJ","SSP5"
"gas to liquids",2075,2.78363545,"EJ","SSP5"
"oil refining",2075,53.028229,"EJ","SSP5"
"biomass liquids",2080,5.69270989,"EJ","SSP5"
"coal to liquids",2080,2.02967505,"EJ","SSP5"
"gas to liquids",2080,3.2011042,"EJ","SSP5"
"oil refining",2080,56.385225,"EJ","SSP5"
"biomass liquids",2085,5.86481859,"EJ","SSP5"
"coal to liquids",2085,2.29724934,"EJ","SSP5"
"gas to liquids",2085,3.5534735,"EJ","SSP5"
"oil refining",2085,58.874915,"EJ","SSP5"
"biomass liquids",2090,6.0571062,"EJ","SSP5"
"coal to liquids",2090,2.56560637,"EJ","SSP5"
"gas to liquids",2090,3.8913587,"EJ","SSP5"
"oil refining",2090,61.266689,"EJ","SSP5"
"biomass liquids",2095,6.23233423,"EJ","SSP5"
"coal to liquids",2095,2.8291649,"EJ","SSP5"
"gas to liquids",2095,4.2526233,"EJ","SSP5"
"oil refining",2095,63.382599,"EJ","SSP5"
"biomass liquids",2100,6.41679622,"EJ","SSP5"
"coal to liquids",2100,3.1130634,"EJ","SSP5"
"gas to liquids",2100,4.6743923,"EJ","SSP5"
"oil refining",2100,65.431398,"EJ","SSP5"
"biomass liquids",1975,0,"EJ","SSP5_26"
"coal to liquids",1975,0,"EJ","SSP5_26"
"gas to liquids",1975,0,"EJ","SSP5_26"
"oil refining",1975,23.7865,"EJ","SSP5_26"
"biomass liquids",1990,0,"EJ","SSP5_26"
"coal to liquids",1990,0,"EJ","SSP5_26"
"gas to liquids",1990,0,"EJ","SSP5_26"
"oil refining",1990,31.688,"EJ","SSP5_26"
"biomass liquids",2005,0.3378266,"EJ","SSP5_26"
"coal to liquids",2005,0,"EJ","SSP5_26"
"gas to liquids",2005,0,"EJ","SSP5_26"
"oil refining",2005,38.9652,"EJ","SSP5_26"
"biomass liquids",2010,1.0622751,"EJ","SSP5_26"
"coal to liquids",2010,0,"EJ","SSP5_26"
"gas to liquids",2010,0,"EJ","SSP5_26"
"oil refining",2010,34.1005,"EJ","SSP5_26"
"biomass liquids",2015,1.31230098,"EJ","SSP5_26"
"coal to liquids",2015,0,"EJ","SSP5_26"
"gas to liquids",2015,0,"EJ","SSP5_26"
"oil refining",2015,34.99391,"EJ","SSP5_26"
"biomass liquids",2020,1.57169446,"EJ","SSP5_26"
"coal to liquids",2020,0.002955006,"EJ","SSP5_26"
"gas to liquids",2020,0.0101917,"EJ","SSP5_26"
"oil refining",2020,36.62742,"EJ","SSP5_26"
"biomass liquids",2025,1.84227823,"EJ","SSP5_26"
"coal to liquids",2025,0.010431668,"EJ","SSP5_26"
"gas to liquids",2025,0.0353018,"EJ","SSP5_26"
"oil refining",2025,37.93997,"EJ","SSP5_26"
"biomass liquids",2030,2.24916465,"EJ","SSP5_26"
"coal to liquids",2030,0.030003417,"EJ","SSP5_26"
"gas to liquids",2030,0.0991762,"EJ","SSP5_26"
"oil refining",2030,39.14836,"EJ","SSP5_26"
"biomass liquids",2035,2.8938131,"EJ","SSP5_26"
"coal to liquids",2035,0.075572727,"EJ","SSP5_26"
"gas to liquids",2035,0.2420783,"EJ","SSP5_26"
"oil refining",2035,39.93492,"EJ","SSP5_26"
"biomass liquids",2040,4.69903057,"EJ","SSP5_26"
"coal to liquids",2040,0.121375619,"EJ","SSP5_26"
"gas to liquids",2040,0.44222582,"EJ","SSP5_26"
"oil refining",2040,38.52856,"EJ","SSP5_26"
"biomass liquids",2045,6.801818036,"EJ","SSP5_26"
"coal to liquids",2045,0.173884086,"EJ","SSP5_26"
"gas to liquids",2045,0.70029321,"EJ","SSP5_26"
"oil refining",2045,37.179775,"EJ","SSP5_26"
"biomass liquids",2050,8.531748835,"EJ","SSP5_26"
"coal to liquids",2050,0.212054717,"EJ","SSP5_26"
"gas to liquids",2050,0.90532006,"EJ","SSP5_26"
"oil refining",2050,35.751736,"EJ","SSP5_26"
"biomass liquids",2055,9.9472777,"EJ","SSP5_26"
"coal to liquids",2055,0.25228972076,"EJ","SSP5_26"
"gas to liquids",2055,1.06288313,"EJ","SSP5_26"
"oil refining",2055,35.0763958,"EJ","SSP5_26"
"biomass liquids",2060,11.331914076,"EJ","SSP5_26"
"coal to liquids",2060,0.295249461228,"EJ","SSP5_26"
"gas to liquids",2060,1.207434644,"EJ","SSP5_26"
"oil refining",2060,34.3920518,"EJ","SSP5_26"
"biomass liquids",2065,12.000278066,"EJ","SSP5_26"
"coal to liquids",2065,0.3308268960665,"EJ","SSP5_26"
"gas to liquids",2065,1.32802752,"EJ","SSP5_26"
"oil refining",2065,34.289603,"EJ","SSP5_26"
"biomass liquids",2070,13.977065612,"EJ","SSP5_26"
"coal to liquids",2070,0.35202233725746,"EJ","SSP5_26"
"gas to liquids",2070,1.42872226,"EJ","SSP5_26"
"oil refining",2070,32.758467,"EJ","SSP5_26"
"biomass liquids",2075,20.0219658575,"EJ","SSP5_26"
"coal to liquids",2075,0.386602871244477,"EJ","SSP5_26"
"gas to liquids",2075,1.73574389,"EJ","SSP5_26"
"oil refining",2075,26.02499,"EJ","SSP5_26"
"biomass liquids",2080,20.69454257734,"EJ","SSP5_26"
"coal to liquids",2080,0.344139543493036,"EJ","SSP5_26"
"gas to liquids",2080,1.75977047,"EJ","SSP5_26"
"oil refining",2080,24.578699,"EJ","SSP5_26"
"biomass liquids",2085,20.51280989661,"EJ","SSP5_26"
"coal to liquids",2085,0.309837198423434,"EJ","SSP5_26"
"gas to liquids",2085,1.7953533,"EJ","SSP5_26"
"oil refining",2085,22.863011,"EJ","SSP5_26"
"biomass liquids",2090,19.988950738188,"EJ","SSP5_26"
"coal to liquids",2090,0.280614316,"EJ","SSP5_26"
"gas to liquids",2090,2.0126865,"EJ","SSP5_26"
"oil refining",2090,20.948843,"EJ","SSP5_26"
"biomass liquids",2095,19.385390378573,"EJ","SSP5_26"
"coal to liquids",2095,0.250725276,"EJ","SSP5_26"
"gas to liquids",2095,2.50146322,"EJ","SSP5_26"
"oil refining",2095,18.693647,"EJ","SSP5_26"
"biomass liquids",2100,18.8990118808007,"EJ","SSP5_26"
"coal to liquids",2100,0.2222275169,"EJ","SSP5_26"
"gas to liquids",2100,3.35882327,"EJ","SSP5_26"
"oil refining",2100,15.855853,"EJ","SSP5_26"
