"Fuel","Year","Value","Unit","Scenario"
"oil refining",2010,34.1005,"EJ","SSP1_26"
"biomass liquids",2015,1.2340116,"EJ","SSP1_26"
"coal to liquids",2015,0,"EJ","SSP1_26"
"gas to liquids",2015,0,"EJ","SSP1_26"
"oil refining",2015,34.311704,"EJ","SSP1_26"
"biomass liquids",2020,1.36699368,"EJ","SSP1_26"
"coal to liquids",2020,0.001261035,"EJ","SSP1_26"
"gas to liquids",2020,0.00456663,"EJ","SSP1_26"
"oil refining",2020,34.78453,"EJ","SSP1_26"
"biomass liquids",2025,1.46383344,"EJ","SSP1_26"
"coal to liquids",2025,0.004591185,"EJ","SSP1_26"
"gas to liquids",2025,0.01570387,"EJ","SSP1_26"
"oil refining",2025,34.746512,"EJ","SSP1_26"
"biomass liquids",2030,1.69093968,"EJ","SSP1_26"
"coal to liquids",2030,0.014517932,"EJ","SSP1_26"
"gas to liquids",2030,0.05228942,"EJ","SSP1_26"
"oil refining",2030,34.266156,"EJ","SSP1_26"
"biomass liquids",2035,2.24286447,"EJ","SSP1_26"
"coal to liquids",2035,0.040869115,"EJ","SSP1_26"
"gas to liquids",2035,0.16014546,"EJ","SSP1_26"
"oil refining",2035,33.181621,"EJ","SSP1_26"
"biomass liquids",2040,3.25687557,"EJ","SSP1_26"
"coal to liquids",2040,0.091175405,"EJ","SSP1_26"
"gas to liquids",2040,0.39301454,"EJ","SSP1_26"
"oil refining",2040,31.902212,"EJ","SSP1_26"
"biomass liquids",2045,4.31881902,"EJ","SSP1_26"
"coal to liquids",2045,0.142993074,"EJ","SSP1_26"
"gas to liquids",2045,0.67679825,"EJ","SSP1_26"
"oil refining",2045,30.275871,"EJ","SSP1_26"
"biomass liquids",2050,5.021109388,"EJ","SSP1_26"
"coal to liquids",2050,0.1737599112,"EJ","SSP1_26"
"gas to liquids",2050,0.89203184,"EJ","SSP1_26"
"oil refining",2050,28.708467,"EJ","SSP1_26"
"biomass liquids",2055,5.461402872,"EJ","SSP1_26"
"coal to liquids",2055,0.1859605421,"EJ","SSP1_26"
"gas to liquids",2055,1.041514684,"EJ","SSP1_26"
"oil refining",2055,27.9222107,"EJ","SSP1_26"
"biomass liquids",2060,5.900952847,"EJ","SSP1_26"
"coal to liquids",2060,0.18209211064,"EJ","SSP1_26"
"gas to liquids",2060,1.181948287,"EJ","SSP1_26"
"oil refining",2060,27.2339076,"EJ","SSP1_26"
"biomass liquids",2065,6.27020139,"EJ","SSP1_26"
"coal to liquids",2065,0.1578493137,"EJ","SSP1_26"
"gas to liquids",2065,1.277644045,"EJ","SSP1_26"
"oil refining",2065,26.6719724,"EJ","SSP1_26"
"biomass liquids",2070,7.118368048,"EJ","SSP1_26"
"coal to liquids",2070,0.1206091244,"EJ","SSP1_26"
"gas to liquids",2070,1.38848825,"EJ","SSP1_26"
"oil refining",2070,25.5583036,"EJ","SSP1_26"
"biomass liquids",2075,8.66323912,"EJ","SSP1_26"
"coal to liquids",2075,0.091981621,"EJ","SSP1_26"
"gas to liquids",2075,1.46977044,"EJ","SSP1_26"
"oil refining",2075,23.680024,"EJ","SSP1_26"
"biomass liquids",2080,10.88478416,"EJ","SSP1_26"
"coal to liquids",2080,0.06472086698,"EJ","SSP1_26"
"gas to liquids",2080,1.4814518,"EJ","SSP1_26"
"oil refining",2080,21.101846,"EJ","SSP1_26"
"biomass liquids",2085,13.99898459,"EJ","SSP1_26"
"coal to liquids",2085,0.030434674417,"EJ","SSP1_26"
"gas to liquids",2085,1.4042847,"EJ","SSP1_26"
"oil refining",2085,17.602994,"EJ","SSP1_26"
"biomass liquids",2090,20.442986953,"EJ","SSP1_26"
"coal to liquids",2090,0.01213253420787,"EJ","SSP1_26"
"gas to liquids",2090,1.03910411,"EJ","SSP1_26"
"oil refining",2090,10.9579993,"EJ","SSP1_26"
"biomass liquids",2095,20.139942488,"EJ","SSP1_26"
"coal to liquids",2095,0.003283847544756,"EJ","SSP1_26"
"gas to liquids",2095,0.85797166,"EJ","SSP1_26"
"oil refining",2095,9.7328581,"EJ","SSP1_26"
"biomass liquids",2100,16.588232348,"EJ","SSP1_26"
"coal to liquids",2100,0.002272665681527,"EJ","SSP1_26"
"gas to liquids",2100,0.88921429,"EJ","SSP1_26"
"oil refining",2100,11.1384569,"EJ","SSP1_26"
"biomass liquids",1975,0,"EJ","SSP2"
"coal to liquids",1975,0,"EJ","SSP2"
"gas to liquids",1975,0,"EJ","SSP2"
"oil refining",1975,23.7865,"EJ","SSP2"
"biomass liquids",1990,0,"EJ","SSP2"
"coal to liquids",1990,0,"EJ","SSP2"
"gas to liquids",1990,0,"EJ","SSP2"
"oil refining",1990,31.688,"EJ","SSP2"
"biomass liquids",2005,0.3378266,"EJ","SSP2"
"coal to liquids",2005,0,"EJ","SSP2"
"gas to liquids",2005,0,"EJ","SSP2"
"oil refining",2005,38.9652,"EJ","SSP2"
"biomass liquids",2010,1.0622751,"EJ","SSP2"
"coal to liquids",2010,0,"EJ","SSP2"
"gas to liquids",2010,0,"EJ","SSP2"
"oil refining",2010,34.1005,"EJ","SSP2"
"biomass liquids",2015,1.28673625,"EJ","SSP2"
"coal to liquids",2015,0,"EJ","SSP2"
"gas to liquids",2015,0,"EJ","SSP2"
"oil refining",2015,34.77662,"EJ","SSP2"
"biomass liquids",2020,1.47489119,"EJ","SSP2"
"coal to liquids",2020,0.00436859,"EJ","SSP2"
"gas to liquids",2020,0.0090944,"EJ","SSP2"
"oil refining",2020,36.11933,"EJ","SSP2"
"biomass liquids",2025,1.62656105,"EJ","SSP2"
"coal to liquids",2025,0.01226904,"EJ","SSP2"
"gas to liquids",2025,0.02515537,"EJ","SSP2"
"oil refining",2025,36.50927,"EJ","SSP2"
"biomass liquids",2030,1.88598215,"EJ","SSP2"
"coal to liquids",2030,0.03500127,"EJ","SSP2"
"gas to liquids",2030,0.07022072,"EJ","SSP2"
"oil refining",2030,36.46477,"EJ","SSP2"
"biomass liquids",2035,2.37954931,"EJ","SSP2"
"coal to liquids",2035,0.0972534,"EJ","SSP2"
"gas to liquids",2035,0.18872661,"EJ","SSP2"
"oil refining",2035,35.81154,"EJ","SSP2"
"biomass liquids",2040,3.170895237,"EJ","SSP2"
"coal to liquids",2040,0.23238373,"EJ","SSP2"
"gas to liquids",2040,0.4322766,"EJ","SSP2"
"oil refining",2040,35.00824,"EJ","SSP2"
"biomass liquids",2045,3.930596054,"EJ","SSP2"
"coal to liquids",2045,0.4083097,"EJ","SSP2"
"gas to liquids",2045,0.73114595,"EJ","SSP2"
"oil refining",2045,33.895135,"EJ","SSP2"
"biomass liquids",2050,4.406003117,"EJ","SSP2"
"coal to liquids",2050,0.55998896,"EJ","SSP2"
"gas to liquids",2050,0.9712462,"EJ","SSP2"
"oil refining",2050,32.835712,"EJ","SSP2"
"biomass liquids",2055,4.671252199,"EJ","SSP2"
"coal to liquids",2055,0.68561256,"EJ","SSP2"
"gas to liquids",2055,1.15169838,"EJ","SSP2"
"oil refining",2055,32.6052804,"EJ","SSP2"
"biomass liquids",2060,4.889853132,"EJ","SSP2"
"coal to liquids",2060,0.819512063,"EJ","SSP2"
"gas to liquids",2060,1.321579102,"EJ","SSP2"
"oil refining",2060,32.612736,"EJ","SSP2"
"biomass liquids",2065,4.94806947,"EJ","SSP2"
"coal to liquids",2065,0.943628459,"EJ","SSP2"
"gas to liquids",2065,1.448354351,"EJ","SSP2"
"oil refining",2065,32.9058359,"EJ","SSP2"
"biomass liquids",2070,5.012672552,"EJ","SSP2"
"coal to liquids",2070,1.1162882,"EJ","SSP2"
"gas to liquids",2070,1.59801817,"EJ","SSP2"
"oil refining",2070,33.115733,"EJ","SSP2"
"biomass liquids",2075,5.08159169,"EJ","SSP2"
"coal to liquids",2075,1.32310852,"EJ","SSP2"
"gas to liquids",2075,1.74939788,"EJ","SSP2"
"oil refining",2075,33.2443,"EJ","SSP2"
"biomass liquids",2080,5.14202085,"EJ","SSP2"
"coal to liquids",2080,1.52167129,"EJ","SSP2"
"gas to liquids",2080,1.8708682,"EJ","SSP2"
"oil refining",2080,33.267324,"EJ","SSP2"
"biomass liquids",2085,5.19839447,"EJ","SSP2"
"coal to liquids",2085,1.68432802,"EJ","SSP2"
"gas to liquids",2085,1.9601325,"EJ","SSP2"
"oil refining",2085,33.159725,"EJ","SSP2"
"biomass liquids",2090,5.25162453,"EJ","SSP2"
"coal to liquids",2090,1.81605582,"EJ","SSP2"
"gas to liquids",2090,2.0322901,"EJ","SSP2"
"oil refining",2090,32.884393,"EJ","SSP2"
"biomass liquids",2095,5.28976905,"EJ","SSP2"
"coal to liquids",2095,1.93559813,"EJ","SSP2"
"gas to liquids",2095,2.08758206,"EJ","SSP2"
"oil refining",2095,32.752991,"EJ","SSP2"
"biomass liquids",2100,5.33357095,"EJ","SSP2"
"coal to liquids",2100,2.05427643,"EJ","SSP2"
"gas to liquids",2100,2.1365922,"EJ","SSP2"
"oil refining",2100,32.60537,"EJ","SSP2"
"biomass liquids",1975,0,"EJ","SSP2_26"
"coal to liquids",1975,0,"EJ","SSP2_26"
"gas to liquids",1975,0,"EJ","SSP2_26"
"oil refining",1975,23.7865,"EJ","SSP2_26"
"biomass liquids",1990,0,"EJ","SSP2_26"
"coal to liquids",1990,0,"EJ","SSP2_26"
"gas to liquids",1990,0,"EJ","SSP2_26"
"oil refining",1990,31.688,"EJ","SSP2_26"
"biomass liquids",2005,0.3378266,"EJ","SSP2_26"
"coal to liquids",2005,0,"EJ","SSP2_26"
"gas to liquids",2005,0,"EJ","SSP2_26"
"oil refining",2005,38.9652,"EJ","SSP2_26"
"biomass liquids",2010,1.0622751,"EJ","SSP2_26"
"coal to liquids",2010,0,"EJ","SSP2_26"
"gas to liquids",2010,0,"EJ","SSP2_26"
"oil refining",2010,34.1005,"EJ","SSP2_26"
"biomass liquids",2015,1.28673625,"EJ","SSP2_26"
"coal to liquids",2015,0,"EJ","SSP2_26"
"gas to liquids",2015,0,"EJ","SSP2_26"
"oil refining",2015,34.77662,"EJ","SSP2_26"
"biomass liquids",2020,1.49632527,"EJ","SSP2_26"
"coal to liquids",2020,0.002379892,"EJ","SSP2_26"
"gas to liquids",2020,0.00805075,"EJ","SSP2_26"
"oil refining",2020,35.94693,"EJ","SSP2_26"
"biomass liquids",2025,1.6679752,"EJ","SSP2_26"
"coal to liquids",2025,0.007248287,"EJ","SSP2_26"
"gas to liquids",2025,0.02405542,"EJ","SSP2_26"
"oil refining",2025,36.36639,"EJ","SSP2_26"
"biomass liquids",2030,1.95781498,"EJ","SSP2_26"
"coal to liquids",2030,0.020830784,"EJ","SSP2_26"
"gas to liquids",2030,0.06759252,"EJ","SSP2_26"
"oil refining",2030,36.29738,"EJ","SSP2_26"
"biomass liquids",2035,2.5469766,"EJ","SSP2_26"
"coal to liquids",2035,0.057451781,"EJ","SSP2_26"
"gas to liquids",2035,0.18136667,"EJ","SSP2_26"
"oil refining",2035,35.5609,"EJ","SSP2_26"
"biomass liquids",2040,3.76743282,"EJ","SSP2_26"
"coal to liquids",2040,0.116895713,"EJ","SSP2_26"
"gas to liquids",2040,0.39676983,"EJ","SSP2_26"
"oil refining",2040,34.03727,"EJ","SSP2_26"
"biomass liquids",2045,5.144547823,"EJ","SSP2_26"
"coal to liquids",2045,0.184781073,"EJ","SSP2_26"
"gas to liquids",2045,0.66054087,"EJ","SSP2_26"
"oil refining",2045,32.164391,"EJ","SSP2_26"
"biomass liquids",2050,6.149926489,"EJ","SSP2_26"
"coal to liquids",2050,0.230665081,"EJ","SSP2_26"
"gas to liquids",2050,0.86079325,"EJ","SSP2_26"
"oil refining",2050,30.298572,"EJ","SSP2_26"
"biomass liquids",2055,6.88844562,"EJ","SSP2_26"
"coal to liquids",2055,0.2575895873,"EJ","SSP2_26"
"gas to liquids",2055,0.99768707,"EJ","SSP2_26"
"oil refining",2055,29.1998332,"EJ","SSP2_26"
"biomass liquids",2060,7.713482251,"EJ","SSP2_26"
"coal to liquids",2060,0.2664775202,"EJ","SSP2_26"
"gas to liquids",2060,1.109862492,"EJ","SSP2_26"
"oil refining",2060,28.06491,"EJ","SSP2_26"
"biomass liquids",2065,8.553412522,"EJ","SSP2_26"
"coal to liquids",2065,0.2587575816,"EJ","SSP2_26"
"gas to liquids",2065,1.163559319,"EJ","SSP2_26"
"oil refining",2065,26.9347027,"EJ","SSP2_26"
"biomass liquids",2070,10.301280514,"EJ","SSP2_26"
"coal to liquids",2070,0.26881855373,"EJ","SSP2_26"
"gas to liquids",2070,1.18758552,"EJ","SSP2_26"
"oil refining",2070,24.808984,"EJ","SSP2_26"
"biomass liquids",2075,13.258241893,"EJ","SSP2_26"
"coal to liquids",2075,0.27520606731,"EJ","SSP2_26"
"gas to liquids",2075,1.13518533,"EJ","SSP2_26"
"oil refining",2075,21.354236,"EJ","SSP2_26"
"biomass liquids",2080,19.6407856363,"EJ","SSP2_26"
"coal to liquids",2080,0.2470222327594,"EJ","SSP2_26"
"gas to liquids",2080,0.85859313,"EJ","SSP2_26"
"oil refining",2080,14.76279,"EJ","SSP2_26"
"biomass liquids",2085,17.766658206,"EJ","SSP2_26"
"coal to liquids",2085,0.2117106639341,"EJ","SSP2_26"
"gas to liquids",2085,0.82890276,"EJ","SSP2_26"
"oil refining",2085,14.736312,"EJ","SSP2_26"
"biomass liquids",2090,15.852467177,"EJ","SSP2_26"
"coal to liquids",2090,0.183215080559983,"EJ","SSP2_26"
"gas to liquids",2090,0.83738656,"EJ","SSP2_26"
"oil refining",2090,14.456353,"EJ","SSP2_26"
"biomass liquids",2095,14.4653847435,"EJ","SSP2_26"
"coal to liquids",2095,0.165743263688614,"EJ","SSP2_26"
"gas to liquids",2095,0.85159735,"EJ","SSP2_26"
"oil refining",2095,13.104713,"EJ","SSP2_26"
"biomass liquids",2100,12.913024696435,"EJ","SSP2_26"
"coal to liquids",2100,0.0740527587,"EJ","SSP2_26"
"gas to liquids",2100,0.63736056,"EJ","SSP2_26"
"oil refining",2100,12.991305,"EJ","SSP2_26"
"biomass liquids",1975,0,"EJ","SSP3"
"coal to liquids",1975,0,"EJ","SSP3"
"gas to liquids",1975,0,"EJ","SSP3"
"oil refining",1975,23.7865,"EJ","SSP3"
"biomass liquids",1990,0,"EJ","SSP3"
"coal to liquids",1990,0,"EJ","SSP3"
"gas to liquids",1990,0,"EJ","SSP3"
"oil refining",1990,31.688,"EJ","SSP3"
"biomass liquids",2005,0.3378266,"EJ","SSP3"
"coal to liquids",2005,0,"EJ","SSP3"
"gas to liquids",2005,0,"EJ","SSP3"
"oil refining",2005,38.9652,"EJ","SSP3"
"biomass liquids",2010,1.0622751,"EJ","SSP3"
"coal to liquids",2010,0,"EJ","SSP3"
"gas to liquids",2010,0,"EJ","SSP3"
"oil refining",2010,34.1005,"EJ","SSP3"
"biomass liquids",2015,1.25646673,"EJ","SSP3"
"coal to liquids",2015,0,"EJ","SSP3"
"gas to liquids",2015,0,"EJ","SSP3"
"oil refining",2015,34.60064,"EJ","SSP3"
"biomass liquids",2020,1.51980191,"EJ","SSP3"
"coal to liquids",2020,0.00293536,"EJ","SSP3"
"gas to liquids",2020,0.00589091,"EJ","SSP3"
"oil refining",2020,35.36646,"EJ","SSP3"
"biomass liquids",2025,1.69441338,"EJ","SSP3"
"coal to liquids",2025,0.00789257,"EJ","SSP3"
"gas to liquids",2025,0.01536764,"EJ","SSP3"
"oil refining",2025,35.16663,"EJ","SSP3"
"biomass liquids",2030,2.04822484,"EJ","SSP3"
"coal to liquids",2030,0.02432019,"EJ","SSP3"
"gas to liquids",2030,0.04527736,"EJ","SSP3"
"oil refining",2030,34.327648,"EJ","SSP3"
"biomass liquids",2035,2.82473243,"EJ","SSP3"
"coal to liquids",2035,0.07650548,"EJ","SSP3"
"gas to liquids",2035,0.13461857,"EJ","SSP3"
"oil refining",2035,32.654938,"EJ","SSP3"
"biomass liquids",2040,4.068230792,"EJ","SSP3"
"coal to liquids",2040,0.1994018,"EJ","SSP3"
"gas to liquids",2040,0.33005269,"EJ","SSP3"
"oil refining",2040,30.565033,"EJ","SSP3"
"biomass liquids",2045,5.1758979806,"EJ","SSP3"
"coal to liquids",2045,0.36353163,"EJ","SSP3"
"gas to liquids",2045,0.57186336,"EJ","SSP3"
"oil refining",2045,28.282195,"EJ","SSP3"
"biomass liquids",2050,5.7351278716,"EJ","SSP3"
"coal to liquids",2050,0.49651339,"EJ","SSP3"
"gas to liquids",2050,0.75190274,"EJ","SSP3"
"oil refining",2050,26.274655,"EJ","SSP3"
"biomass liquids",2055,5.9046113083,"EJ","SSP3"
