Technology,Region,Aeo_case,Aeo_year,Data_type,Size,Year,Unit,Value
ICEV-D,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,382
ICEV-G,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,1368959
PHEV20,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,5821
PHEV40,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,19077
BEV100,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,8615
BEV300,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,19290
CNG,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,3262
FCV,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,321
FFV,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,51795
HEV,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,86940
ICEV-D,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,424
ICEV-G,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,1666137
PHEV20,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,3696
PHEV40,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,5052
BEV100,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,32803
BEV300,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,67447
CNG,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,15995
FCV,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,1572
FFV,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,232732
HEV,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,418124
ICEV-D,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,2014
ICEV-G,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,7530805
PHEV20,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,22827
PHEV40,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,47444
BEV100,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,488
BEV300,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,851
CNG,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,1022
FCV,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,101
