"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"HEV","Car",2024,"stock","REF",2021,"vehicle",3911732
"ICEV-D","Car",2024,"stock","REF",2021,"vehicle",415227
"ICEV-G","Car",2024,"stock","REF",2021,"vehicle",113917191
"PHEV20","Car",2024,"stock","REF",2021,"vehicle",457436
"PHEV40","Car",2024,"stock","REF",2021,"vehicle",185742
"BEV100","Light truck",2024,"stock","REF",2021,"vehicle",354
"BEV300","Light truck",2024,"stock","REF",2021,"vehicle",308731
"CNG","Light truck",2024,"stock","REF",2021,"vehicle",107812
"FCV","Light truck",2024,"stock","REF",2021,"vehicle",55
"FFV","Light truck",2024,"stock","REF",2021,"vehicle",15537891
"HEV","Light truck",2024,"stock","REF",2021,"vehicle",1952386
"ICEV-D","Light truck",2024,"stock","REF",2021,"vehicle",901001
"ICEV-G","Light truck",2024,"stock","REF",2021,"vehicle",115032440
"PHEV20","Light truck",2024,"stock","REF",2021,"vehicle",71556
"PHEV40","Light truck",2024,"stock","REF",2021,"vehicle",139264
"BEV100","Car",2025,"stock","REF",2021,"vehicle",197034
"BEV300","Car",2025,"stock","REF",2021,"vehicle",1133519
"CNG","Car",2025,"stock","REF",2021,"vehicle",54493
"FCV","Car",2025,"stock","REF",2021,"vehicle",8442
"FFV","Car",2025,"stock","REF",2021,"vehicle",4289101
"HEV","Car",2025,"stock","REF",2021,"vehicle",3923164
"ICEV-D","Car",2025,"stock","REF",2021,"vehicle",383938
"ICEV-G","Car",2025,"stock","REF",2021,"vehicle",112954315
"PHEV20","Car",2025,"stock","REF",2021,"vehicle",500824
"PHEV40","Car",2025,"stock","REF",2021,"vehicle",185488
"BEV100","Light truck",2025,"stock","REF",2021,"vehicle",299
"BEV300","Light truck",2025,"stock","REF",2021,"vehicle",378272
"CNG","Light truck",2025,"stock","REF",2021,"vehicle",105373
"FCV","Light truck",2025,"stock","REF",2021,"vehicle",81
"FFV","Light truck",2025,"stock","REF",2021,"vehicle",15394093
"HEV","Light truck",2025,"stock","REF",2021,"vehicle",2226029
"ICEV-D","Light truck",2025,"stock","REF",2021,"vehicle",991237
"ICEV-G","Light truck",2025,"stock","REF",2021,"vehicle",116963425
"PHEV20","Light truck",2025,"stock","REF",2021,"vehicle",75088
"PHEV40","Light truck",2025,"stock","REF",2021,"vehicle",177445
"BEV100","Car",2026,"stock","REF",2021,"vehicle",191882
"BEV300","Car",2026,"stock","REF",2021,"vehicle",1257588
"CNG","Car",2026,"stock","REF",2021,"vehicle",53534
"FCV","Car",2026,"stock","REF",2021,"vehicle",8669
"FFV","Car",2026,"stock","REF",2021,"vehicle",4114733
"HEV","Car",2026,"stock","REF",2021,"vehicle",3933060
"ICEV-D","Car",2026,"stock","REF",2021,"vehicle",352679
"ICEV-G","Car",2026,"stock","REF",2021,"vehicle",111985901
"PHEV20","Car",2026,"stock","REF",2021,"vehicle",549908
"PHEV40","Car",2026,"stock","REF",2021,"vehicle",184302
"BEV100","Light truck",2026,"stock","REF",2021,"vehicle",254
"BEV300","Light truck",2026,"stock","REF",2021,"vehicle",453205
"CNG","Light truck",2026,"stock","REF",2021,"vehicle",103117
"FCV","Light truck",2026,"stock","REF",2021,"vehicle",112
"FFV","Light truck",2026,"stock","REF",2021,"vehicle",15219772
"HEV","Light truck",2026,"stock","REF",2021,"vehicle",2544669
