"Year","Value","Size","Technology","Fuel","Unit","Model"
2016,5.90438213162257,"Car","PHEV40","Gasoline","L/100km","Sales weighted"
2016,9.93490492222818,"Light truck","PHEV20","Gasoline","L/100km","Sales weighted"
2017,7.8691312119045,"Car","PHEV20","Gasoline","L/100km","Sales weighted"
2017,5.30641685603411,"Car","PHEV40","Gasoline","L/100km","Sales weighted"
2017,9.87540575752041,"Light truck","PHEV20","Gasoline","L/100km","Sales weighted"
2017,7.35045420399972,"Light truck","PHEV40","Gasoline","L/100km","Sales weighted"
2018,8.04793848809661,"Car","PHEV20","Gasoline","L/100km","Sales weighted"
2018,5.16513885612446,"Car","PHEV40","Gasoline","L/100km","Sales weighted"
2018,9.86436139905649,"Light truck","PHEV20","Gasoline","L/100km","Sales weighted"
2018,8.17979511514766,"Light truck","PHEV40","Gasoline","L/100km","Sales weighted"
2019,8.27854065234441,"Car","PHEV20","Gasoline","L/100km","Sales weighted"
2019,4.99071274195767,"Car","PHEV40","Gasoline","L/100km","Sales weighted"
2019,9.51826718589921,"Light truck","PHEV20","Gasoline","L/100km","Sales weighted"
2019,8.3568740635653,"Light truck","PHEV40","Gasoline","L/100km","Sales weighted"
2020,18.0117318336203,"Car","BEV100","Electricity","kWh/100km","def"
2020,18.2221041960239,"Car","BEV300","Electricity","kWh/100km","def"
2020,30.2240185686054,"Car","PHEV20","Electricity","kWh/100km","def"
2020,17.7903353897259,"Car","PHEV40","Electricity","kWh/100km","def"
2020,27.340332448,"Light truck","BEV100","Electricity","kWh/100km","def"
2020,25.1721406300079,"Light truck","BEV300","Electricity","kWh/100km","def"
2020,36.2796429460626,"Light truck","PHEV20","Electricity","kWh/100km","def"
2020,26.2947132113976,"Light truck","PHEV40","Electricity","kWh/100km","def"
2020,8.27854065234441,"Car","PHEV20","Gasoline","L/100km","def"
2020,4.99071274195767,"Car","PHEV40","Gasoline","L/100km","def"
2020,9.51826718589921,"Light truck","PHEV20","Gasoline","L/100km","def"
2020,8.3568740635653,"Light truck","PHEV40","Gasoline","L/100km","def"
2020,17.8922695555881,"Car","BEV100","Electricity","kWh/100km","low"
2020,17.5852396934344,"Car","BEV300","Electricity","kWh/100km","low"
2020,25.320876074,"Car","PHEV20","Electricity","kWh/100km","low"
2020,17.08770778,"Car","PHEV40","Electricity","kWh/100km","low"
2020,27.340332448,"Light truck","BEV100","Electricity","kWh/100km","low"
2020,17.398393376,"Light truck","BEV300","Electricity","kWh/100km","low"
2020,33.3469206373333,"Light truck","PHEV20","Electricity","kWh/100km","low"
2020,25.0619714106667,"Light truck","PHEV40","Electricity","kWh/100km","low"
2020,6.6764909894033,"Car","PHEV20","Gasoline","L/100km","low"
2020,4.57361594915538,"Car","PHEV40","Gasoline","L/100km","low"
2020,9.0467128664612,"Light truck","PHEV20","Gasoline","L/100km","low"
2020,7.51379763075527,"Light truck","PHEV40","Gasoline","L/100km","low"
2020,19.0716700506881,"Car","BEV100","Electricity","kWh/100km","high"
2020,21.679796231678,"Car","BEV300","Electricity","kWh/100km","high"
2020,34.796786752,"Car","PHEV20","Electricity","kWh/100km","high"
2020,20.7814143102222,"Car","PHEV40","Electricity","kWh/100km","high"
2020,27.340332448,"Light truck","BEV100","Electricity","kWh/100km","high"
2020,27.5112095258,"Light truck","BEV300","Electricity","kWh/100km","high"
2020,43.2888597093333,"Light truck","PHEV20","Electricity","kWh/100km","high"
2020,27.96170364,"Light truck","PHEV40","Electricity","kWh/100km","high"
2020,7.84048448426637,"Car","PHEV20","Gasoline","L/100km","high"
2020,6.02079246110545,"Car","PHEV40","Gasoline","L/100km","high"
2020,10.6915697512723,"Light truck","PHEV20","Gasoline","L/100km","high"
2020,9.40858138111965,"Light truck","PHEV40","Gasoline","L/100km","high"
