"Year","Unit","Source","Region","Aeo_year","Aeo_case","Value","Mix"
2020,"BkWh","Coal","BASN",2021,"REF",38.714302,0.334615321054647
2021,"BkWh","Coal","BASN",2021,"REF",40.041809,0.346242247613192
2022,"BkWh","Coal","BASN",2021,"REF",39.031994,0.342318490552032
2023,"BkWh","Coal","BASN",2021,"REF",37.779976,0.329764755031329
2024,"BkWh","Coal","BASN",2021,"REF",34.763775,0.283272028221782
2025,"BkWh","Coal","BASN",2021,"REF",34.209179,0.263878665477176
2026,"BkWh","Coal","BASN",2021,"REF",35.484898,0.259969524758665
2027,"BkWh","Coal","BASN",2021,"REF",34.93729,0.260053044962007
2028,"BkWh","Coal","BASN",2021,"REF",34.98587,0.261323346012809
2029,"BkWh","Coal","BASN",2021,"REF",31.489277,0.234096707339717
2030,"BkWh","Coal","BASN",2021,"REF",31.492624,0.22491653124532
2031,"BkWh","Coal","BASN",2021,"REF",27.920465,0.195600074817184
2032,"BkWh","Coal","BASN",2021,"REF",27.898628,0.193026809213713
2033,"BkWh","Coal","BASN",2021,"REF",27.954857,0.193134361986508
2034,"BkWh","Coal","BASN",2021,"REF",27.860165,0.190583102513777
2035,"BkWh","Coal","BASN",2021,"REF",27.837709,0.189864131280845
2036,"BkWh","Coal","BASN",2021,"REF",27.822329,0.188070418431792
2037,"BkWh","Coal","BASN",2021,"REF",27.80232,0.187165454100665
2038,"BkWh","Coal","BASN",2021,"REF",21.655355,0.148284105415117
2039,"BkWh","Coal","BASN",2021,"REF",21.643074,0.144278677375628
2040,"BkWh","Coal","BASN",2021,"REF",21.629419,0.142028279909971
2041,"BkWh","Coal","BASN",2021,"REF",21.616816,0.140784279772508
2042,"BkWh","Coal","BASN",2021,"REF",21.604778,0.139030395213902
2043,"BkWh","Coal","BASN",2021,"REF",21.593018,0.137021869555467
2044,"BkWh","Coal","BASN",2021,"REF",21.578512,0.13536680676759
2045,"BkWh","Coal","BASN",2021,"REF",21.565353,0.137369292375443
2046,"BkWh","Coal","BASN",2021,"REF",21.551233,0.135838492621127
2047,"BkWh","Coal","BASN",2021,"REF",21.538166,0.13285855487487
2048,"BkWh","Coal","BASN",2021,"REF",21.506521,0.133343125811294
2049,"BkWh","Coal","BASN",2021,"REF",21.512472,0.129129708510485
2050,"BkWh","Coal","BASN",2021,"REF",21.499601,0.127401330771298
2020,"BkWh","Distributed Generation","BASN",2021,"REF",0,0
2021,"BkWh","Distributed Generation","BASN",2021,"REF",0,0
2022,"BkWh","Distributed Generation","BASN",2021,"REF",0.085604,0.000750764413040649
2023,"BkWh","Distributed Generation","BASN",2021,"REF",0.096398,0.000841415644507293
2024,"BkWh","Distributed Generation","BASN",2021,"REF",0.129981,0.00105914796365744
2025,"BkWh","Distributed Generation","BASN",2021,"REF",0.163432,0.00126066217655401
2026,"BkWh","Distributed Generation","BASN",2021,"REF",0.192318,0.00140896048404977
2027,"BkWh","Distributed Generation","BASN",2021,"REF",0.220805,0.00164354512307154
2028,"BkWh","Distributed Generation","BASN",2021,"REF",0.249688,0.00186501875240622
2029,"BkWh","Distributed Generation","BASN",2021,"REF",0.278422,0.00206983708933484
2030,"BkWh","Distributed Generation","BASN",2021,"REF",0.308296,0.0022018129361595
2031,"BkWh","Distributed Generation","BASN",2021,"REF",0.33978,0.00238036842944352
2032,"BkWh","Distributed Generation","BASN",2021,"REF",0.36931,0.00255520561479641
2033,"BkWh","Distributed Generation","BASN",2021,"REF",0.398995,0.00275657445719743
2034,"BkWh","Distributed Generation","BASN",2021,"REF",0.43028,0.0029434175048722
2035,"BkWh","Distributed Generation","BASN",2021,"REF",0.461961,0.00315075583089939
2036,"BkWh","Distributed Generation","BASN",2021,"REF",0.493555,0.00333628055972967
2037,"BkWh","Distributed Generation","BASN",2021,"REF",0.527601,0.00355181440789707
2038,"BkWh","Distributed Generation","BASN",2021,"REF",0.562069,0.00384874313289111
2039,"BkWh","Distributed Generation","BASN",2021,"REF",0.597064,0.003980192657873
2040,"BkWh","Distributed Generation","BASN",2021,"REF",0.633084,0.00415710803690678
2041,"BkWh","Distributed Generation","BASN",2021,"REF",0.669359,0.00435934805219445
2042,"BkWh","Distributed Generation","BASN",2021,"REF",0.707884,0.00455535309298703
2043,"BkWh","Distributed Generation","BASN",2021,"REF",0.74886,0.00475200813685733
2044,"BkWh","Distributed Generation","BASN",2021,"REF",0.791527,0.00496542497741875
2045,"BkWh","Distributed Generation","BASN",2021,"REF",0.833635,0.00531017739655838
2046,"BkWh","Distributed Generation","BASN",2021,"REF",0.877264,0.00552943858900232
2047,"BkWh","Distributed Generation","BASN",2021,"REF",0.921137,0.00568204974656491
2048,"BkWh","Distributed Generation","BASN",2021,"REF",0.966602,0.00599305355317341
2049,"BkWh","Distributed Generation","BASN",2021,"REF",1.012351,0.00607668842243226
2050,"BkWh","Distributed Generation","BASN",2021,"REF",1.060866,0.0062864301607283
2020,"BkWh","Natural Gas","BASN",2021,"REF",47.34153,0.409182148245065
2021,"BkWh","Natural Gas","BASN",2021,"REF",39.762939,0.343830853672626
2022,"BkWh","Natural Gas","BASN",2021,"REF",37.204773,0.326293392407546
2023,"BkWh","Natural Gas","BASN",2021,"REF",35.428871,0.309242995981563
2024,"BkWh","Natural Gas","BASN",2021,"REF",32.266743,0.26292500551856
2025,"BkWh","Natural Gas","BASN",2021,"REF",35.630939,0.274845667387068
2026,"BkWh","Natural Gas","BASN",2021,"REF",40.761463,0.298626704931712
2027,"BkWh","Natural Gas","BASN",2021,"REF",38.746033,0.288403132064577
2028,"BkWh","Natural Gas","BASN",2021,"REF",37.916527,0.283213586079895
2029,"BkWh","Natural Gas","BASN",2021,"REF",41.409348,0.307844223285421
2030,"BkWh","Natural Gas","BASN",2021,"REF",46.473457,0.331907837956549
2031,"BkWh","Natural Gas","BASN",2021,"REF",52.31406,0.366492250397357
2032,"BkWh","Natural Gas","BASN",2021,"REF",53.730736,0.371755647868575
2033,"BkWh","Natural Gas","BASN",2021,"REF",53.49192,0.369564682109923
2034,"BkWh","Natural Gas","BASN",2021,"REF",54.579082,0.37335926689285
2035,"BkWh","Natural Gas","BASN",2021,"REF",54.476997,0.371554559687157
2036,"BkWh","Natural Gas","BASN",2021,"REF",55.348366,0.374137993736468
2037,"BkWh","Natural Gas","BASN",2021,"REF",55.874779,0.37614948624105
2038,"BkWh","Natural Gas","BASN",2021,"REF",58.222862,0.398678525767774
2039,"BkWh","Natural Gas","BASN",2021,"REF",61.871239,0.412450677316512
2040,"BkWh","Natural Gas","BASN",2021,"REF",64.014633,0.420348240239744
2041,"BkWh","Natural Gas","BASN",2021,"REF",64.745171,0.421667199646
2042,"BkWh","Natural Gas","BASN",2021,"REF",66.414886,0.427391008075448
2043,"BkWh","Natural Gas","BASN",2021,"REF",68.524971,0.434835910276837
2044,"BkWh","Natural Gas","BASN",2021,"REF",69.932991,0.438705211896752
2045,"BkWh","Natural Gas","BASN",2021,"REF",66.862282,0.425906516111622
2046,"BkWh","Natural Gas","BASN",2021,"REF",67.520699,0.425586321343416
2047,"BkWh","Natural Gas","BASN",2021,"REF",70.052872,0.43212237006411
2048,"BkWh","Natural Gas","BASN",2021,"REF",69.09024,0.428368147719127
2049,"BkWh","Natural Gas","BASN",2021,"REF",74.331696,0.446179789917681
2050,"BkWh","Natural Gas","BASN",2021,"REF",75.990181,0.450299062989673
2020,"BkWh","Nuclear","BASN",2021,"REF",0,0
2021,"BkWh","Nuclear","BASN",2021,"REF",0,0
2022,"BkWh","Nuclear","BASN",2021,"REF",0,0
2023,"BkWh","Nuclear","BASN",2021,"REF",0,0
2024,"BkWh","Nuclear","BASN",2021,"REF",0,0
2025,"BkWh","Nuclear","BASN",2021,"REF",0,0
2026,"BkWh","Nuclear","BASN",2021,"REF",0,0
2027,"BkWh","Nuclear","BASN",2021,"REF",0,0
2028,"BkWh","Nuclear","BASN",2021,"REF",0,0
2029,"BkWh","Nuclear","BASN",2021,"REF",0,0
2030,"BkWh","Nuclear","BASN",2021,"REF",0,0
2031,"BkWh","Nuclear","BASN",2021,"REF",0,0
2032,"BkWh","Nuclear","BASN",2021,"REF",0,0
2033,"BkWh","Nuclear","BASN",2021,"REF",0,0
2034,"BkWh","Nuclear","BASN",2021,"REF",0,0
2035,"BkWh","Nuclear","BASN",2021,"REF",0,0
2036,"BkWh","Nuclear","BASN",2021,"REF",0,0
2037,"BkWh","Nuclear","BASN",2021,"REF",0,0
2038,"BkWh","Nuclear","BASN",2021,"REF",0,0
2039,"BkWh","Nuclear","BASN",2021,"REF",0,0
2040,"BkWh","Nuclear","BASN",2021,"REF",0,0
2041,"BkWh","Nuclear","BASN",2021,"REF",0,0
2042,"BkWh","Nuclear","BASN",2021,"REF",0,0
2043,"BkWh","Nuclear","BASN",2021,"REF",0,0
2044,"BkWh","Nuclear","BASN",2021,"REF",0,0
2045,"BkWh","Nuclear","BASN",2021,"REF",0,0
2046,"BkWh","Nuclear","BASN",2021,"REF",0,0
2047,"BkWh","Nuclear","BASN",2021,"REF",0,0
2048,"BkWh","Nuclear","BASN",2021,"REF",0,0
2049,"BkWh","Nuclear","BASN",2021,"REF",0,0
2050,"BkWh","Nuclear","BASN",2021,"REF",0,0
2020,"BkWh","Petroleum","BASN",2021,"REF",0.155578,0.0013446912311383
2021,"BkWh","Petroleum","BASN",2021,"REF",0.16114,0.00139338049837833
2022,"BkWh","Petroleum","BASN",2021,"REF",0.156825,0.00137538700382108
2023,"BkWh","Petroleum","BASN",2021,"REF",0.152756,0.00133333978082902
2024,"BkWh","Petroleum","BASN",2021,"REF",0.139685,0.00113822084230379
2025,"BkWh","Petroleum","BASN",2021,"REF",0.137458,0.00106030704797568
2026,"BkWh","Petroleum","BASN",2021,"REF",0.142782,0.00104604975006809
2027,"BkWh","Petroleum","BASN",2021,"REF",0.140522,0.00104596475525581
2028,"BkWh","Petroleum","BASN",2021,"REF",0.140778,0.00105152674508283
2029,"BkWh","Petroleum","BASN",2021,"REF",0.126742,0.000942221851636999
2030,"BkWh","Petroleum","BASN",2021,"REF",0.126748,0.000905218964995798
2031,"BkWh","Petroleum","BASN",2021,"REF",0.112509,0.000788194925034612
2032,"BkWh","Petroleum","BASN",2021,"REF",0.112446,0.000777998566411407
2033,"BkWh","Petroleum","BASN",2021,"REF",0.112712,0.000778704044460801
2034,"BkWh","Petroleum","BASN",2021,"REF",0.112195,0.000767492625637113
2035,"BkWh","Petroleum","BASN",2021,"REF",0.112361,0.000766346241166866
2036,"BkWh","Petroleum","BASN",2021,"REF",0.112321,0.000759255541427796
2037,"BkWh","Petroleum","BASN",2021,"REF",0.112198,0.000755317887830453
2038,"BkWh","Petroleum","BASN",2021,"REF",0.087362,0.000598207511134102
2039,"BkWh","Petroleum","BASN",2021,"REF",0.087313,0.000582052445863199
2040,"BkWh","Petroleum","BASN",2021,"REF",0.087258,0.000572974412691541
2041,"BkWh","Petroleum","BASN",2021,"REF",0.087208,0.000567961325590264
2042,"BkWh","Petroleum","BASN",2021,"REF",0.087159,0.000560882885093682
2043,"BkWh","Petroleum","BASN",2021,"REF",0.087112,0.000552782806957129
2044,"BkWh","Petroleum","BASN",2021,"REF",0.087054,0.000546109110597885
2045,"BkWh","Petroleum","BASN",2021,"REF",0.087001,0.000554188276257565
2046,"BkWh","Petroleum","BASN",2021,"REF",0.086944,0.000548012352817644
2047,"BkWh","Petroleum","BASN",2021,"REF",0.086892,0.000535994826587705
2048,"BkWh","Petroleum","BASN",2021,"REF",0.086765,0.000537953875060357
2049,"BkWh","Petroleum","BASN",2021,"REF",0.086789,0.000520955391454617
2050,"BkWh","Petroleum","BASN",2021,"REF",0.086737,0.000513982060741969
2020,"BkWh","Pumped Storage/Other","BASN",2021,"REF",0.000133,1.14954513968166e-06
2021,"BkWh","Pumped Storage/Other","BASN",2021,"REF",0.000133,1.15005340873971e-06
2022,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.005163,-4.52805554007858e-05
2023,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.044032,-0.000384335916294375
2024,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.068402,-0.000557372531447644
2025,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.034626,-0.000267093889356792
2026,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.04138,-0.000303158231834668
2027,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.028414,-0.000211497434962771
2028,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.036993,-0.000276315396445817
2029,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.0517,-0.000384346702195269
2030,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.04249,-0.000303458467373619
2031,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.09347,-0.000654814989405161
2032,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.065132,-0.000450639441398607
2033,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.091233,-0.0006303100476284
2034,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.089232,-0.000610409572359293
2035,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.037352,-0.000254755340376686
2036,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.035344,-0.000238914609522921
2037,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.04084,-0.000274935226465674
2038,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.061411,-0.000420509162636573
2039,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.0604,-0.000402642993942909
2040,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.056606,-0.000371699896912803
2041,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.045773,-0.000298106753465773
2042,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.065847,-0.000423736565756419
2043,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.073763,-0.000468074641720758
2044,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.057139,-0.00035844565982554
2045,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.075088,-0.000478303574529351
2046,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.072189,-0.000455010854544913
2047,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.070218,-0.00043314096502941
2048,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.07205,-0.000446719030693237
2049,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.058408,-0.000350596993905694
2050,"BkWh","Pumped Storage/Other","BASN",2021,"REF",-0.062003,-0.000367414479543728
2020,"BkWh","Renewable Sources","BASN",2021,"REF",29.486393,0.25485668992401
2021,"BkWh","Renewable Sources","BASN",2021,"REF",35.680782,0.308532368162395
2022,"BkWh","Renewable Sources","BASN",2021,"REF",37.54842,0.329307246178961
2023,"BkWh","Renewable Sources","BASN",2021,"REF",41.152477,0.359201829478066
2024,"BkWh","Renewable Sources","BASN",2021,"REF",55.490448,0.452162969985145
2025,"BkWh","Renewable Sources","BASN",2021,"REF",59.533424,0.459221791800583
2026,"BkWh","Renewable Sources","BASN",2021,"REF",59.956295,0.43925191830734
2027,"BkWh","Renewable Sources","BASN",2021,"REF",60.330547,0.449065810530052
2028,"BkWh","Renewable Sources","BASN",2021,"REF",60.623749,0.452822837806253
2029,"BkWh","Renewable Sources","BASN",2021,"REF",61.261879,0.455431357136086
2030,"BkWh","Renewable Sources","BASN",2021,"REF",61.660526,0.440372057364349
2031,"BkWh","Renewable Sources","BASN",2021,"REF",62.149265,0.435393926420387
2032,"BkWh","Renewable Sources","BASN",2021,"REF",62.486412,0.432334978177903
2033,"BkWh","Renewable Sources","BASN",2021,"REF",62.875801,0.434395987449539
2034,"BkWh","Renewable Sources","BASN",2021,"REF",63.291325,0.432957130035223
2035,"BkWh","Renewable Sources","BASN",2021,"REF",63.767429,0.434918962300309
2036,"BkWh","Renewable Sources","BASN",2021,"REF",64.194473,0.433934966340106
2037,"BkWh","Renewable Sources","BASN",2021,"REF",64.268021,0.432652862589023
2038,"BkWh","Renewable Sources","BASN",2021,"REF",65.573387,0.449010927335721
2039,"BkWh","Renewable Sources","BASN",2021,"REF",65.870529,0.439111043198067
2040,"BkWh","Renewable Sources","BASN",2021,"REF",65.981735,0.433265097297599
2041,"BkWh","Renewable Sources","BASN",2021,"REF",66.472885,0.432919317957174
2042,"BkWh","Renewable Sources","BASN",2021,"REF",66.647217,0.428886097298325
2043,"BkWh","Renewable Sources","BASN",2021,"REF",66.707916,0.423305503865602
2044,"BkWh","Renewable Sources","BASN",2021,"REF",67.07476,0.420774892907466
2045,"BkWh","Renewable Sources","BASN",2021,"REF",67.714981,0.431338129414648
2046,"BkWh","Renewable Sources","BASN",2021,"REF",68.689407,0.432952745948182
2047,"BkWh","Renewable Sources","BASN",2021,"REF",69.584656,0.429234171452896
2048,"BkWh","Renewable Sources","BASN",2021,"REF",69.708984,0.432204438072038
2049,"BkWh","Renewable Sources","BASN",2021,"REF",69.710938,0.418443454751853
2050,"BkWh","Renewable Sources","BASN",2021,"REF",70.179535,0.415866608497102
2020,"BkWh","Coal","CANO",2021,"REF",0,0
2021,"BkWh","Coal","CANO",2021,"REF",0,0
2022,"BkWh","Coal","CANO",2021,"REF",0,0
2023,"BkWh","Coal","CANO",2021,"REF",0,0
2024,"BkWh","Coal","CANO",2021,"REF",0,0
2025,"BkWh","Coal","CANO",2021,"REF",0,0
2026,"BkWh","Coal","CANO",2021,"REF",0,0
2027,"BkWh","Coal","CANO",2021,"REF",0,0
2028,"BkWh","Coal","CANO",2021,"REF",0,0
2029,"BkWh","Coal","CANO",2021,"REF",0,0
2030,"BkWh","Coal","CANO",2021,"REF",0,0
2031,"BkWh","Coal","CANO",2021,"REF",0,0
2032,"BkWh","Coal","CANO",2021,"REF",0,0
2033,"BkWh","Coal","CANO",2021,"REF",0,0
2034,"BkWh","Coal","CANO",2021,"REF",0,0
2035,"BkWh","Coal","CANO",2021,"REF",0,0
2036,"BkWh","Coal","CANO",2021,"REF",0,0
2037,"BkWh","Coal","CANO",2021,"REF",0,0
2038,"BkWh","Coal","CANO",2021,"REF",0,0
2039,"BkWh","Coal","CANO",2021,"REF",0,0
2040,"BkWh","Coal","CANO",2021,"REF",0,0
2041,"BkWh","Coal","CANO",2021,"REF",0,0
2042,"BkWh","Coal","CANO",2021,"REF",0,0
2043,"BkWh","Coal","CANO",2021,"REF",0,0
2044,"BkWh","Coal","CANO",2021,"REF",0,0
2045,"BkWh","Coal","CANO",2021,"REF",0,0
2046,"BkWh","Coal","CANO",2021,"REF",0,0
2047,"BkWh","Coal","CANO",2021,"REF",0,0
2048,"BkWh","Coal","CANO",2021,"REF",0,0
2049,"BkWh","Coal","CANO",2021,"REF",0,0
2050,"BkWh","Coal","CANO",2021,"REF",0,0
2020,"BkWh","Distributed Generation","CANO",2021,"REF",0,0
2021,"BkWh","Distributed Generation","CANO",2021,"REF",0,0
2022,"BkWh","Distributed Generation","CANO",2021,"REF",0.011591,0.00011036776986129
2023,"BkWh","Distributed Generation","CANO",2021,"REF",0.015943,0.000153572658930604
2024,"BkWh","Distributed Generation","CANO",2021,"REF",0.020369,0.000200640637507873
2025,"BkWh","Distributed Generation","CANO",2021,"REF",0.024509,0.000266328907409591
2026,"BkWh","Distributed Generation","CANO",2021,"REF",0.026511,0.000308086777624623
2027,"BkWh","Distributed Generation","CANO",2021,"REF",0.028471,0.000330404810125857
2028,"BkWh","Distributed Generation","CANO",2021,"REF",0.035123,0.00040379190292329
2029,"BkWh","Distributed Generation","CANO",2021,"REF",0.037741,0.000410361847032139
2030,"BkWh","Distributed Generation","CANO",2021,"REF",0.042546,0.000503293457466593
2031,"BkWh","Distributed Generation","CANO",2021,"REF",0.044785,0.000540136221908921
2032,"BkWh","Distributed Generation","CANO",2021,"REF",0.047182,0.000567855733207218
2033,"BkWh","Distributed Generation","CANO",2021,"REF",0.049878,0.000587996212577265
2034,"BkWh","Distributed Generation","CANO",2021,"REF",0.053042,0.000606643576346532
2035,"BkWh","Distributed Generation","CANO",2021,"REF",0.056214,0.000628550376259755
2036,"BkWh","Distributed Generation","CANO",2021,"REF",0.059695,0.000659024819683931
2037,"BkWh","Distributed Generation","CANO",2021,"REF",0.063081,0.000694260616020842
2038,"BkWh","Distributed Generation","CANO",2021,"REF",0.066711,0.000723164286197142
2039,"BkWh","Distributed Generation","CANO",2021,"REF",0.070255,0.000753332933943387
2040,"BkWh","Distributed Generation","CANO",2021,"REF",0.073931,0.000771121845178559
2041,"BkWh","Distributed Generation","CANO",2021,"REF",0.077709,0.000795415522544824
2042,"BkWh","Distributed Generation","CANO",2021,"REF",0.077709,0.000784879957120823
2043,"BkWh","Distributed Generation","CANO",2021,"REF",0.077709,0.000776541699436862
2044,"BkWh","Distributed Generation","CANO",2021,"REF",0.077709,0.000760234030262302
2045,"BkWh","Distributed Generation","CANO",2021,"REF",0.077709,0.000748668716265578
2046,"BkWh","Distributed Generation","CANO",2021,"REF",0.077709,0.000727637261368823
2047,"BkWh","Distributed Generation","CANO",2021,"REF",0.082209,0.000759024547878172
2048,"BkWh","Distributed Generation","CANO",2021,"REF",0.087043,0.00079956212989433
2049,"BkWh","Distributed Generation","CANO",2021,"REF",0.087043,0.000787741898746582
2050,"BkWh","Distributed Generation","CANO",2021,"REF",0.092249,0.000818077993909479
2020,"BkWh","Natural Gas","CANO",2021,"REF",46.82486,0.436623554270517
2021,"BkWh","Natural Gas","CANO",2021,"REF",41.061722,0.394604971053009
2022,"BkWh","Natural Gas","CANO",2021,"REF",40.584206,0.386436744699438
2023,"BkWh","Natural Gas","CANO",2021,"REF",38.623478,0.372044797943153
2024,"BkWh","Natural Gas","CANO",2021,"REF",36.137398,0.35596399295968
2025,"BkWh","Natural Gas","CANO",2021,"REF",35.495495,0.38571448860878
2026,"BkWh","Natural Gas","CANO",2021,"REF",38.123161,0.443032772258863
2027,"BkWh","Natural Gas","CANO",2021,"REF",37.743797,0.4380152464337
2028,"BkWh","Natural Gas","CANO",2021,"REF",35.932701,0.413100638156296
2029,"BkWh","Natural Gas","CANO",2021,"REF",34.361847,0.373619962437555
2030,"BkWh","Natural Gas","CANO",2021,"REF",22.530226,0.266518952217452
2031,"BkWh","Natural Gas","CANO",2021,"REF",19.815022,0.238982050242763
2032,"BkWh","Natural Gas","CANO",2021,"REF",19.084545,0.229690735744588
2033,"BkWh","Natural Gas","CANO",2021,"REF",19.078478,0.224910237093281
2034,"BkWh","Natural Gas","CANO",2021,"REF",19.325233,0.221023499506995
2035,"BkWh","Natural Gas","CANO",2021,"REF",19.63673,0.219565838225553
2036,"BkWh","Natural Gas","CANO",2021,"REF",19.657711,0.2170185015022
2037,"BkWh","Natural Gas","CANO",2021,"REF",18.645601,0.205210862800825
2038,"BkWh","Natural Gas","CANO",2021,"REF",19.361153,0.209879845740562
2039,"BkWh","Natural Gas","CANO",2021,"REF",19.178642,0.20564945764586
2040,"BkWh","Natural Gas","CANO",2021,"REF",19.129887,0.199530288532515
2041,"BkWh","Natural Gas","CANO",2021,"REF",18.748829,0.191909683770716
2042,"BkWh","Natural Gas","CANO",2021,"REF",18.937489,0.191273283072695
2043,"BkWh","Natural Gas","CANO",2021,"REF",18.99448,0.189810778405583
2044,"BkWh","Natural Gas","CANO",2021,"REF",19.104797,0.186903921304522
2045,"BkWh","Natural Gas","CANO",2021,"REF",18.854469,0.181648857945658
2046,"BkWh","Natural Gas","CANO",2021,"REF",19.290741,0.180631097440647
2047,"BkWh","Natural Gas","CANO",2021,"REF",19.284821,0.178054136900297
2048,"BkWh","Natural Gas","CANO",2021,"REF",19.30221,0.177306803985015
2049,"BkWh","Natural Gas","CANO",2021,"REF",19.526939,0.176719414594725
2050,"BkWh","Natural Gas","CANO",2021,"REF",19.962505,0.177030494030374
2020,"BkWh","Nuclear","CANO",2021,"REF",17.697229,0.16501975717
2021,"BkWh","Nuclear","CANO",2021,"REF",17.390833,0.167126677068066
2022,"BkWh","Nuclear","CANO",2021,"REF",17.654545,0.16810393922576
2023,"BkWh","Nuclear","CANO",2021,"REF",17.918262,0.17259958218373
2024,"BkWh","Nuclear","CANO",2021,"REF",17.918262,0.176500147808586
2025,"BkWh","Nuclear","CANO",2021,"REF",8.824581,0.0958929787456622
2026,"BkWh","Nuclear","CANO",2021,"REF",0,0
2027,"BkWh","Nuclear","CANO",2021,"REF",0,0
2028,"BkWh","Nuclear","CANO",2021,"REF",0,0
2029,"BkWh","Nuclear","CANO",2021,"REF",0,0
2030,"BkWh","Nuclear","CANO",2021,"REF",0,0
2031,"BkWh","Nuclear","CANO",2021,"REF",0,0
2032,"BkWh","Nuclear","CANO",2021,"REF",0,0
2033,"BkWh","Nuclear","CANO",2021,"REF",0,0
2034,"BkWh","Nuclear","CANO",2021,"REF",0,0
2035,"BkWh","Nuclear","CANO",2021,"REF",0,0
2036,"BkWh","Nuclear","CANO",2021,"REF",0,0
2037,"BkWh","Nuclear","CANO",2021,"REF",0,0
2038,"BkWh","Nuclear","CANO",2021,"REF",0,0
2039,"BkWh","Nuclear","CANO",2021,"REF",0,0
2040,"BkWh","Nuclear","CANO",2021,"REF",0,0
2041,"BkWh","Nuclear","CANO",2021,"REF",0,0
2042,"BkWh","Nuclear","CANO",2021,"REF",0,0
2043,"BkWh","Nuclear","CANO",2021,"REF",0,0
2044,"BkWh","Nuclear","CANO",2021,"REF",0,0
2045,"BkWh","Nuclear","CANO",2021,"REF",0,0
2046,"BkWh","Nuclear","CANO",2021,"REF",0,0
2047,"BkWh","Nuclear","CANO",2021,"REF",0,0
2048,"BkWh","Nuclear","CANO",2021,"REF",0,0
2049,"BkWh","Nuclear","CANO",2021,"REF",0,0
2050,"BkWh","Nuclear","CANO",2021,"REF",0,0
2020,"BkWh","Petroleum","CANO",2021,"REF",0.000109,1.01638248177328e-06
2021,"BkWh","Petroleum","CANO",2021,"REF",9.6e-05,9.22564261213615e-07
2022,"BkWh","Petroleum","CANO",2021,"REF",0.000237,2.25667858313569e-06
2023,"BkWh","Petroleum","CANO",2021,"REF",0.001055,1.01624007509118e-05
2024,"BkWh","Petroleum","CANO",2021,"REF",0.00027,2.65957936703449e-06
2025,"BkWh","Petroleum","CANO",2021,"REF",0.000209,2.2711143518138e-06
2026,"BkWh","Petroleum","CANO",2021,"REF",0.000986,1.14583969951295e-05
2027,"BkWh","Petroleum","CANO",2021,"REF",0.000505,5.86050469297031e-06
2028,"BkWh","Petroleum","CANO",2021,"REF",0.001098,1.26231674233343e-05
2029,"BkWh","Petroleum","CANO",2021,"REF",0.001136,1.23518470159378e-05
2030,"BkWh","Petroleum","CANO",2021,"REF",0.000828,9.79473940634463e-06
2031,"BkWh","Petroleum","CANO",2021,"REF",0.001767,2.13111690100048e-05
2032,"BkWh","Petroleum","CANO",2021,"REF",0.001837,2.21090878280204e-05
2033,"BkWh","Petroleum","CANO",2021,"REF",0.001736,2.04651634996217e-05
2034,"BkWh","Petroleum","CANO",2021,"REF",0.001739,1.98890158603865e-05
2035,"BkWh","Petroleum","CANO",2021,"REF",0.001741,1.94667912809662e-05
2036,"BkWh","Petroleum","CANO",2021,"REF",0.001744,1.92535268536523e-05
2037,"BkWh","Petroleum","CANO",2021,"REF",0.001746,1.92162304905184e-05
2038,"BkWh","Petroleum","CANO",2021,"REF",0.001513,1.64013066063509e-05
2039,"BkWh","Petroleum","CANO",2021,"REF",0.0011,1.17951210211049e-05
2040,"BkWh","Petroleum","CANO",2021,"REF",0.001103,1.15046109917619e-05
2041,"BkWh","Petroleum","CANO",2021,"REF",0.001104,1.13003479248155e-05
2042,"BkWh","Petroleum","CANO",2021,"REF",0.001756,1.77360306361447e-05
2043,"BkWh","Petroleum","CANO",2021,"REF",0.001107,1.1062189209443e-05
