"Technology","Year","Value","Scenario","Unit"
"elec_biomass (IGCC)",2025,0.00622329,"SSP1","EJ"
"elec_coal (conv pul)",2025,7.84861,"SSP1","EJ"
"elec_coal (IGCC)",2025,0.0745374,"SSP1","EJ"
"elec_CSP",2025,0.00462767,"SSP1","EJ"
"elec_CSP_storage",2025,0.00257615,"SSP1","EJ"
"elec_gas (CC)",2025,2.93839,"SSP1","EJ"
"elec_gas (steam/CT)",2025,1.11839,"SSP1","EJ"
"elec_Gen_II_LWR",2025,2.46916,"SSP1","EJ"
"elec_Gen_III",2025,0.565608,"SSP1","EJ"
"elec_geothermal",2025,0.196462,"SSP1","EJ"
"elec_refined liquids (CC)",2025,0.0358488,"SSP1","EJ"
"elec_refined liquids (steam/CT)",2025,0.0690183,"SSP1","EJ"
"global solar resource",2025,0.0283751125,"SSP1","EJ"
"onshore wind resource",2025,1.52025001,"SSP1","EJ"
"water_td_elec_C",2025,4.59965757395,"SSP1","EJ"
"water_td_elec_W",2025,0.00015757395,"SSP1","EJ"
"backup_electricity",2030,2.0576e-09,"SSP1","EJ"
"elec_biomass (conv)",2030,0.0998996,"SSP1","EJ"
"elec_biomass (IGCC)",2030,0.0154109,"SSP1","EJ"
"elec_coal (conv pul)",2030,7.7722,"SSP1","EJ"
"elec_coal (IGCC)",2030,0.179404,"SSP1","EJ"
"elec_CSP",2030,0.00800586,"SSP1","EJ"
"elec_CSP_storage",2030,0.0145098,"SSP1","EJ"
"elec_gas (CC)",2030,3.27358,"SSP1","EJ"
"elec_gas (steam/CT)",2030,0.999052,"SSP1","EJ"
"elec_Gen_II_LWR",2030,2.20787,"SSP1","EJ"
"elec_Gen_III",2030,0.785971,"SSP1","EJ"
"elec_geothermal",2030,0.286227,"SSP1","EJ"
"elec_refined liquids (CC)",2030,0.0483837,"SSP1","EJ"
"elec_refined liquids (steam/CT)",2030,0.0591366,"SSP1","EJ"
"global solar resource",2030,0.0431624635,"SSP1","EJ"
"onshore wind resource",2030,2.15229812,"SSP1","EJ"
"water_td_elec_C",2030,4.64672966817,"SSP1","EJ"
"water_td_elec_W",2030,0.00023966817,"SSP1","EJ"
"backup_electricity",2035,2.72106561e-07,"SSP1","EJ"
"elec_biomass (conv)",2035,0.118769,"SSP1","EJ"
"elec_biomass (IGCC)",2035,0.0278733,"SSP1","EJ"
"elec_coal (conv pul)",2035,7.55187,"SSP1","EJ"
"elec_coal (IGCC)",2035,0.309193,"SSP1","EJ"
"elec_CSP",2035,0.0153095,"SSP1","EJ"
"elec_CSP_storage",2035,0.045459,"SSP1","EJ"
"elec_gas (CC)",2035,3.59449,"SSP1","EJ"
"elec_gas (steam/CT)",2035,0.851124,"SSP1","EJ"
"elec_Gen_II_LWR",2035,1.87989,"SSP1","EJ"
"elec_Gen_III",2035,1.0414,"SSP1","EJ"
"elec_geothermal",2035,0.389938,"SSP1","EJ"
"elec_refined liquids (CC)",2035,0.0595749,"SSP1","EJ"
"elec_refined liquids (steam/CT)",2035,0.0493935,"SSP1","EJ"
"global solar resource",2035,0.0628693015,"SSP1","EJ"
"onshore wind resource",2035,2.85936879,"SSP1","EJ"
"water_td_elec_C",2035,4.69383907388,"SSP1","EJ"
"water_td_elec_W",2035,0.00034907388,"SSP1","EJ"
"backup_electricity",2040,7.71434691e-06,"SSP1","EJ"
"elec_biomass (conv)",2040,0.138505,"SSP1","EJ"
"elec_biomass (IGCC)",2040,0.0466242,"SSP1","EJ"
"elec_coal (conv pul)",2040,7.3351,"SSP1","EJ"
