"Units","scenario","region","sector","mode","technology","input","year","value"
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2060,0.9369659
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2065,0.9096895
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2070,0.886393
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2075,0.8635395
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2080,0.8357225
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2085,0.8020008
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2090,0.7640428
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2095,0.7205417
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2100,0.6797133
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",1975,2.62916
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",1990,3.06767
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2005,4.11754
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2010,3.89493
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2015,3.700294
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2020,3.221271
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2025,2.598298
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2030,2.099246
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2035,1.661609
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2040,1.5286713
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2045,1.422984
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2050,1.3218483
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2055,1.2490976
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2060,1.1956604
