"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"ICEV-D","Car",2024,"sales","REF",2021,"vehicle",90
"ICEV-G","Car",2024,"sales","REF",2021,"vehicle",5373395
"PHEV20","Car",2024,"sales","REF",2021,"vehicle",43214
"PHEV40","Car",2024,"sales","REF",2021,"vehicle",4533
"BEV100","Light truck",2024,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2024,"sales","REF",2021,"vehicle",64402
"CNG","Light truck",2024,"sales","REF",2021,"vehicle",11558
"FCV","Light truck",2024,"sales","REF",2021,"vehicle",18
"FFV","Light truck",2024,"sales","REF",2021,"vehicle",707401
"HEV","Light truck",2024,"sales","REF",2021,"vehicle",293692
"ICEV-D","Light truck",2024,"sales","REF",2021,"vehicle",109911
"ICEV-G","Light truck",2024,"sales","REF",2021,"vehicle",7633510
"PHEV20","Light truck",2024,"sales","REF",2021,"vehicle",4656
"PHEV40","Light truck",2024,"sales","REF",2021,"vehicle",21191
"BEV100","Car",2025,"sales","REF",2021,"vehicle",2255
"BEV300","Car",2025,"sales","REF",2021,"vehicle",129412
"CNG","Car",2025,"sales","REF",2021,"vehicle",4619
"FCV","Car",2025,"sales","REF",2021,"vehicle",339
"FFV","Car",2025,"sales","REF",2021,"vehicle",102758
"HEV","Car",2025,"sales","REF",2021,"vehicle",203891
"ICEV-D","Car",2025,"sales","REF",2021,"vehicle",91
"ICEV-G","Car",2025,"sales","REF",2021,"vehicle",5477523
"PHEV20","Car",2025,"sales","REF",2021,"vehicle",51153
"PHEV40","Car",2025,"sales","REF",2021,"vehicle",4536
"BEV100","Light truck",2025,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2025,"sales","REF",2021,"vehicle",71123
"CNG","Light truck",2025,"sales","REF",2021,"vehicle",11828
"FCV","Light truck",2025,"sales","REF",2021,"vehicle",25
"FFV","Light truck",2025,"sales","REF",2021,"vehicle",719830
"HEV","Light truck",2025,"sales","REF",2021,"vehicle",307147
"ICEV-D","Light truck",2025,"sales","REF",2021,"vehicle",113089
"ICEV-G","Light truck",2025,"sales","REF",2021,"vehicle",7761221
"PHEV20","Light truck",2025,"sales","REF",2021,"vehicle",4779
"PHEV40","Light truck",2025,"sales","REF",2021,"vehicle",38792
"BEV100","Car",2026,"sales","REF",2021,"vehicle",2338
"BEV300","Car",2026,"sales","REF",2021,"vehicle",137575
"CNG","Car",2026,"sales","REF",2021,"vehicle",4628
"FCV","Car",2026,"sales","REF",2021,"vehicle",388
"FFV","Car",2026,"sales","REF",2021,"vehicle",102447
"HEV","Car",2026,"sales","REF",2021,"vehicle",217139
"ICEV-D","Car",2026,"sales","REF",2021,"vehicle",92
"ICEV-G","Car",2026,"sales","REF",2021,"vehicle",5448625
"PHEV20","Car",2026,"sales","REF",2021,"vehicle",58624
"PHEV40","Car",2026,"sales","REF",2021,"vehicle",4639
"BEV100","Light truck",2026,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2026,"sales","REF",2021,"vehicle",77445
"CNG","Light truck",2026,"sales","REF",2021,"vehicle",11840
"FCV","Light truck",2026,"sales","REF",2021,"vehicle",31
"FFV","Light truck",2026,"sales","REF",2021,"vehicle",711645
"HEV","Light truck",2026,"sales","REF",2021,"vehicle",357388
"ICEV-D","Light truck",2026,"sales","REF",2021,"vehicle",110804
"ICEV-G","Light truck",2026,"sales","REF",2021,"vehicle",7639660
"PHEV20","Light truck",2026,"sales","REF",2021,"vehicle",4822
"PHEV40","Light truck",2026,"sales","REF",2021,"vehicle",113801
"BEV100","Car",2027,"sales","REF",2021,"vehicle",2415
"BEV300","Car",2027,"sales","REF",2021,"vehicle",145954
"CNG","Car",2027,"sales","REF",2021,"vehicle",4573
"FCV","Car",2027,"sales","REF",2021,"vehicle",438
"FFV","Car",2027,"sales","REF",2021,"vehicle",100887
"HEV","Car",2027,"sales","REF",2021,"vehicle",228585
"ICEV-D","Car",2027,"sales","REF",2021,"vehicle",90
"ICEV-G","Car",2027,"sales","REF",2021,"vehicle",5351944
"PHEV20","Car",2027,"sales","REF",2021,"vehicle",67048
"PHEV40","Car",2027,"sales","REF",2021,"vehicle",4798
"BEV100","Light truck",2027,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2027,"sales","REF",2021,"vehicle",84964
"CNG","Light truck",2027,"sales","REF",2021,"vehicle",11727
"FCV","Light truck",2027,"sales","REF",2021,"vehicle",39
"FFV","Light truck",2027,"sales","REF",2021,"vehicle",700598
"HEV","Light truck",2027,"sales","REF",2021,"vehicle",379949
"ICEV-D","Light truck",2027,"sales","REF",2021,"vehicle",109545
"ICEV-G","Light truck",2027,"sales","REF",2021,"vehicle",7503271
