"Technology","Size","Year","Data_type","Value","Unit"
"BEV100","Car",1970,"sales",0,"vehicle"
"BEV300","Car",1970,"sales",0,"vehicle"
"CNG","Car",1970,"sales",0,"vehicle"
"FCV","Car",1970,"sales",0,"vehicle"
"FFV","Car",1970,"sales",0,"vehicle"
"HEV","Car",1970,"sales",0,"vehicle"
"ICEV-D","Car",1970,"sales",2521.1999995182,"vehicle"
"ICEV-G","Car",1970,"sales",8401478.79839448,"vehicle"
"PHEV20","Car",1970,"sales",0,"vehicle"
"PHEV40","Car",1970,"sales",0,"vehicle"
"BEV100","Light truck",1970,"sales",0,"vehicle"
"BEV300","Light truck",1970,"sales",0,"vehicle"
"CNG","Light truck",1970,"sales",0,"vehicle"
"FCV","Light truck",1970,"sales",0,"vehicle"
"FFV","Light truck",1970,"sales",0,"vehicle"
"HEV","Light truck",1970,"sales",0,"vehicle"
"ICEV-D","Light truck",1970,"sales",2926.000003212,"vehicle"
"ICEV-G","Light truck",1970,"sales",1460074.00160279,"vehicle"
"PHEV20","Light truck",1970,"sales",0,"vehicle"
"PHEV40","Light truck",1970,"sales",0,"vehicle"
"BEV100","Car",1971,"sales",0,"vehicle"
"BEV300","Car",1971,"sales",0,"vehicle"
"CNG","Car",1971,"sales",0,"vehicle"
"FCV","Car",1971,"sales",0,"vehicle"
"FFV","Car",1971,"sales",0,"vehicle"
"HEV","Car",1971,"sales",0,"vehicle"
"ICEV-D","Car",1971,"sales",6149.399999418,"vehicle"
"ICEV-G","Car",1971,"sales",10242850.5990306,"vehicle"
"PHEV20","Car",1971,"sales",0,"vehicle"
"PHEV40","Car",1971,"sales",0,"vehicle"
"BEV100","Light truck",1971,"sales",0,"vehicle"
"BEV300","Light truck",1971,"sales",0,"vehicle"
"CNG","Light truck",1971,"sales",0,"vehicle"
"FCV","Light truck",1971,"sales",0,"vehicle"
"FFV","Light truck",1971,"sales",0,"vehicle"
"HEV","Light truck",1971,"sales",0,"vehicle"
"ICEV-D","Light truck",1971,"sales",3514.00000194,"vehicle"
"ICEV-G","Light truck",1971,"sales",1753486.00096806,"vehicle"
"PHEV20","Light truck",1971,"sales",0,"vehicle"
"PHEV40","Light truck",1971,"sales",0,"vehicle"
"BEV100","Car",1972,"sales",0,"vehicle"
"BEV300","Car",1972,"sales",0,"vehicle"
"CNG","Car",1972,"sales",0,"vehicle"
"FCV","Car",1972,"sales",0,"vehicle"
"FFV","Car",1972,"sales",0,"vehicle"
"HEV","Car",1972,"sales",0,"vehicle"
"ICEV-D","Car",1972,"sales",5475.0000001455,"vehicle"
"ICEV-G","Car",1972,"sales",10944525.0002909,"vehicle"
"PHEV20","Car",1972,"sales",0,"vehicle"
"PHEV40","Car",1972,"sales",0,"vehicle"
"BEV100","Light truck",1972,"sales",0,"vehicle"
"BEV300","Light truck",1972,"sales",0,"vehicle"
"CNG","Light truck",1972,"sales",0,"vehicle"
"FCV","Light truck",1972,"sales",0,"vehicle"
"FFV","Light truck",1972,"sales",0,"vehicle"
"HEV","Light truck",1972,"sales",0,"vehicle"
"ICEV-D","Light truck",1972,"sales",4477.999999418,"vehicle"
"ICEV-G","Light truck",1972,"sales",2234521.99970958,"vehicle"
"PHEV20","Light truck",1972,"sales",0,"vehicle"
"PHEV40","Light truck",1972,"sales",0,"vehicle"
"BEV100","Car",1973,"sales",0,"vehicle"
"BEV300","Car",1973,"sales",0,"vehicle"
"CNG","Car",1973,"sales",0,"vehicle"
"FCV","Car",1973,"sales",0,"vehicle"
"FFV","Car",1973,"sales",0,"vehicle"
"HEV","Car",1973,"sales",0,"vehicle"
"ICEV-D","Car",1973,"sales",6863.3999981424,"vehicle"
"ICEV-G","Car",1973,"sales",11432136.5969059,"vehicle"
"PHEV20","Car",1973,"sales",0,"vehicle"
"PHEV40","Car",1973,"sales",0,"vehicle"
"BEV100","Light truck",1973,"sales",0,"vehicle"
"BEV300","Light truck",1973,"sales",0,"vehicle"
"CNG","Light truck",1973,"sales",0,"vehicle"
"FCV","Light truck",1973,"sales",0,"vehicle"
"FFV","Light truck",1973,"sales",0,"vehicle"
"HEV","Light truck",1973,"sales",0,"vehicle"
"ICEV-D","Light truck",1973,"sales",6862.50000774,"vehicle"
"ICEV-G","Light truck",1973,"sales",2738137.50308826,"vehicle"
"PHEV20","Light truck",1973,"sales",0,"vehicle"
"PHEV40","Light truck",1973,"sales",0,"vehicle"
