"Input","Year","Value","Unit","Scenario"
"H2 enduse",1990,0,"kg CO2","SSP1_26"
"refined liquids enduse",1990,840796099606.855,"kg CO2","SSP1_26"
"delivered gas",2005,0,"kg CO2","SSP1_26"
"elect_td_trn",2005,0,"kg CO2","SSP1_26"
"H2 enduse",2005,0,"kg CO2","SSP1_26"
"refined liquids enduse",2005,1087884780631.24,"kg CO2","SSP1_26"
"delivered gas",2010,0,"kg CO2","SSP1_26"
"elect_td_trn",2010,0,"kg CO2","SSP1_26"
"H2 enduse",2010,0,"kg CO2","SSP1_26"
"refined liquids enduse",2010,1020721986948.77,"kg CO2","SSP1_26"
"delivered gas",2015,6039530990,"kg CO2","SSP1_26"
"elect_td_trn",2015,479606654.922235,"kg CO2","SSP1_26"
"H2 enduse",2015,0,"kg CO2","SSP1_26"
"refined liquids enduse",2015,1023118076869.08,"kg CO2","SSP1_26"
"delivered gas",2020,15171631494,"kg CO2","SSP1_26"
"elect_td_trn",2020,4848046817.99856,"kg CO2","SSP1_26"
"H2 enduse",2020,0,"kg CO2","SSP1_26"
"refined liquids enduse",2020,982278419492.905,"kg CO2","SSP1_26"
"delivered gas",2025,29485124409,"kg CO2","SSP1_26"
"elect_td_trn",2025,11701761333.281,"kg CO2","SSP1_26"
"H2 enduse",2025,0,"kg CO2","SSP1_26"
"refined liquids enduse",2025,907491933454.371,"kg CO2","SSP1_26"
"delivered gas",2030,43131336675,"kg CO2","SSP1_26"
"elect_td_trn",2030,18412427245.8944,"kg CO2","SSP1_26"
"H2 enduse",2030,0,"kg CO2","SSP1_26"
"refined liquids enduse",2030,828554402896.517,"kg CO2","SSP1_26"
"delivered gas",2035,56180059889,"kg CO2","SSP1_26"
"elect_td_trn",2035,24724383762.2282,"kg CO2","SSP1_26"
"H2 enduse",2035,0,"kg CO2","SSP1_26"
"refined liquids enduse",2035,736370553469.796,"kg CO2","SSP1_26"
"delivered gas",2040,64324301150,"kg CO2","SSP1_26"
"elect_td_trn",2040,28484430192.5189,"kg CO2","SSP1_26"
"H2 enduse",2040,0,"kg CO2","SSP1_26"
"refined liquids enduse",2040,667362724492.85,"kg CO2","SSP1_26"
"delivered gas",2045,71677053278,"kg CO2","SSP1_26"
"elect_td_trn",2045,31464800795.7208,"kg CO2","SSP1_26"
"H2 enduse",2045,0,"kg CO2","SSP1_26"
"refined liquids enduse",2045,595874735796.778,"kg CO2","SSP1_26"
"delivered gas",2050,77542019571,"kg CO2","SSP1_26"
"elect_td_trn",2050,33372283716.1965,"kg CO2","SSP1_26"
"H2 enduse",2050,0,"kg CO2","SSP1_26"
"refined liquids enduse",2050,533372766687.444,"kg CO2","SSP1_26"
"delivered gas",2055,83396308490,"kg CO2","SSP1_26"
"elect_td_trn",2055,32966549279.8134,"kg CO2","SSP1_26"
"H2 enduse",2055,0,"kg CO2","SSP1_26"
"refined liquids enduse",2055,490329351194.116,"kg CO2","SSP1_26"
"delivered gas",2060,89287552981,"kg CO2","SSP1_26"
"elect_td_trn",2060,29286902482.2191,"kg CO2","SSP1_26"
"H2 enduse",2060,0,"kg CO2","SSP1_26"
"refined liquids enduse",2060,454970202736.796,"kg CO2","SSP1_26"
"delivered gas",2065,94699585319,"kg CO2","SSP1_26"
"elect_td_trn",2065,23355329879.8086,"kg CO2","SSP1_26"
"H2 enduse",2065,0,"kg CO2","SSP1_26"
"refined liquids enduse",2065,424382609624.983,"kg CO2","SSP1_26"
"delivered gas",2070,99418303680,"kg CO2","SSP1_26"
"elect_td_trn",2070,14304924488.3007,"kg CO2","SSP1_26"
"H2 enduse",2070,0,"kg CO2","SSP1_26"
"refined liquids enduse",2070,381957697467.101,"kg CO2","SSP1_26"
"delivered gas",2075,102874216510,"kg CO2","SSP1_26"
"elect_td_trn",2075,5390622533.92141,"kg CO2","SSP1_26"
"H2 enduse",2075,0,"kg CO2","SSP1_26"
"refined liquids enduse",2075,322527562169.118,"kg CO2","SSP1_26"
"delivered gas",2080,104066832400,"kg CO2","SSP1_26"
"elect_td_trn",2080,-1466670653.40088,"kg CO2","SSP1_26"
"H2 enduse",2080,0,"kg CO2","SSP1_26"
"refined liquids enduse",2080,246439063350.213,"kg CO2","SSP1_26"
"delivered gas",2085,102561105930,"kg CO2","SSP1_26"
"elect_td_trn",2085,-8343947407.17284,"kg CO2","SSP1_26"
"H2 enduse",2085,0,"kg CO2","SSP1_26"
"refined liquids enduse",2085,150980828848.668,"kg CO2","SSP1_26"
"delivered gas",2090,98105388890,"kg CO2","SSP1_26"
"elect_td_trn",2090,-17141428262.6762,"kg CO2","SSP1_26"
"H2 enduse",2090,0,"kg CO2","SSP1_26"
"refined liquids enduse",2090,-13905674724.0708,"kg CO2","SSP1_26"
"delivered gas",2095,92698872900,"kg CO2","SSP1_26"
"elect_td_trn",2095,-25945933688.0663,"kg CO2","SSP1_26"
"H2 enduse",2095,0,"kg CO2","SSP1_26"
"refined liquids enduse",2095,-42021785569.5806,"kg CO2","SSP1_26"
"delivered gas",2100,87596574020,"kg CO2","SSP1_26"
"elect_td_trn",2100,-35388372737.0688,"kg CO2","SSP1_26"
"H2 enduse",2100,0,"kg CO2","SSP1_26"
"refined liquids enduse",2100,-22172837925.7488,"kg CO2","SSP1_26"
"delivered gas",1975,0,"kg CO2","SSP2"
"elect_td_trn",1975,0,"kg CO2","SSP2"
"H2 enduse",1975,0,"kg CO2","SSP2"
"refined liquids enduse",1975,724838450162.182,"kg CO2","SSP2"
"delivered gas",1990,0,"kg CO2","SSP2"
"elect_td_trn",1990,0,"kg CO2","SSP2"
"H2 enduse",1990,0,"kg CO2","SSP2"
"refined liquids enduse",1990,840796099606.855,"kg CO2","SSP2"
"delivered gas",2005,0,"kg CO2","SSP2"
"elect_td_trn",2005,0,"kg CO2","SSP2"
"H2 enduse",2005,0,"kg CO2","SSP2"
"refined liquids enduse",2005,1087884780631.24,"kg CO2","SSP2"
"delivered gas",2010,0,"kg CO2","SSP2"
"elect_td_trn",2010,0,"kg CO2","SSP2"
"H2 enduse",2010,0,"kg CO2","SSP2"
"refined liquids enduse",2010,1020721986948.77,"kg CO2","SSP2"
"delivered gas",2015,6863138210,"kg CO2","SSP2"
"elect_td_trn",2015,494769863.468284,"kg CO2","SSP2"
"H2 enduse",2015,0,"kg CO2","SSP2"
"refined liquids enduse",2015,1041648247464.51,"kg CO2","SSP2"
"delivered gas",2020,18189313510,"kg CO2","SSP2"
"elect_td_trn",2020,5061877244.77479,"kg CO2","SSP2"
"H2 enduse",2020,0,"kg CO2","SSP2"
"refined liquids enduse",2020,1036402006766.4,"kg CO2","SSP2"
"delivered gas",2025,35816891072,"kg CO2","SSP2"
"elect_td_trn",2025,12767058712.6194,"kg CO2","SSP2"
"H2 enduse",2025,0,"kg CO2","SSP2"
"refined liquids enduse",2025,992102175519.168,"kg CO2","SSP2"
"delivered gas",2030,53372416939,"kg CO2","SSP2"
"elect_td_trn",2030,21579969958.0848,"kg CO2","SSP2"
"H2 enduse",2030,0,"kg CO2","SSP2"
"refined liquids enduse",2030,942488294925.756,"kg CO2","SSP2"
"delivered gas",2035,70744113687,"kg CO2","SSP2"
"elect_td_trn",2035,31635870961.9453,"kg CO2","SSP2"
"H2 enduse",2035,0,"kg CO2","SSP2"
"refined liquids enduse",2035,882031114699.382,"kg CO2","SSP2"
"delivered gas",2040,82576184676,"kg CO2","SSP2"
"elect_td_trn",2040,41097903008.7834,"kg CO2","SSP2"
"H2 enduse",2040,0,"kg CO2","SSP2"
"refined liquids enduse",2040,843841535896.437,"kg CO2","SSP2"
"delivered gas",2045,93582699384,"kg CO2","SSP2"
"elect_td_trn",2045,51531789701.1699,"kg CO2","SSP2"
"H2 enduse",2045,0,"kg CO2","SSP2"
"refined liquids enduse",2045,802657962699.448,"kg CO2","SSP2"
"delivered gas",2050,102782734120,"kg CO2","SSP2"
"elect_td_trn",2050,63146911249.3497,"kg CO2","SSP2"
"H2 enduse",2050,0,"kg CO2","SSP2"
"refined liquids enduse",2050,762859673445.112,"kg CO2","SSP2"
"delivered gas",2055,111620712410,"kg CO2","SSP2"
