"Input","Year","Value","Unit","Scenario"
"delivered gas",2010,0,"kg CO2","SSP4"
"elect_td_trn",2010,0,"kg CO2","SSP4"
"H2 enduse",2010,0,"kg CO2","SSP4"
"refined liquids enduse",2010,1020720492794.64,"kg CO2","SSP4"
"delivered gas",2015,7013509230,"kg CO2","SSP4"
"elect_td_trn",2015,502715814.907872,"kg CO2","SSP4"
"H2 enduse",2015,0,"kg CO2","SSP4"
"refined liquids enduse",2015,1042242100636.97,"kg CO2","SSP4"
"delivered gas",2020,18854990000,"kg CO2","SSP4"
"elect_td_trn",2020,5186505785.20903,"kg CO2","SSP4"
"H2 enduse",2020,0,"kg CO2","SSP4"
"refined liquids enduse",2020,1040787108896.08,"kg CO2","SSP4"
"delivered gas",2025,37853595213,"kg CO2","SSP4"
"elect_td_trn",2025,13236238933.8884,"kg CO2","SSP4"
"H2 enduse",2025,0,"kg CO2","SSP4"
"refined liquids enduse",2025,1005840424848.96,"kg CO2","SSP4"
"delivered gas",2030,57267602062,"kg CO2","SSP4"
"elect_td_trn",2030,22451174906.0216,"kg CO2","SSP4"
"H2 enduse",2030,0,"kg CO2","SSP4"
"refined liquids enduse",2030,965096297068.513,"kg CO2","SSP4"
"delivered gas",2035,77159002774,"kg CO2","SSP4"
"elect_td_trn",2035,32933134635.5229,"kg CO2","SSP4"
"H2 enduse",2035,0,"kg CO2","SSP4"
"refined liquids enduse",2035,913013722696.438,"kg CO2","SSP4"
"delivered gas",2040,91163068058,"kg CO2","SSP4"
"elect_td_trn",2040,42446544974.073,"kg CO2","SSP4"
"H2 enduse",2040,0,"kg CO2","SSP4"
"refined liquids enduse",2040,876631881360.555,"kg CO2","SSP4"
"delivered gas",2045,104527857485,"kg CO2","SSP4"
"elect_td_trn",2045,52671565033.2845,"kg CO2","SSP4"
"H2 enduse",2045,0,"kg CO2","SSP4"
"refined liquids enduse",2045,834420125594.348,"kg CO2","SSP4"
"delivered gas",2050,116073496220,"kg CO2","SSP4"
"elect_td_trn",2050,63773600007.8152,"kg CO2","SSP4"
"H2 enduse",2050,0,"kg CO2","SSP4"
"refined liquids enduse",2050,791178357845.716,"kg CO2","SSP4"
"delivered gas",2055,126764213030,"kg CO2","SSP4"
"elect_td_trn",2055,72851778354.2852,"kg CO2","SSP4"
"H2 enduse",2055,0,"kg CO2","SSP4"
"refined liquids enduse",2055,758149866649.496,"kg CO2","SSP4"
"delivered gas",2060,136755398770,"kg CO2","SSP4"
"elect_td_trn",2060,80655082947.6804,"kg CO2","SSP4"
"H2 enduse",2060,0,"kg CO2","SSP4"
"refined liquids enduse",2060,730637248411.589,"kg CO2","SSP4"
"delivered gas",2065,145691101030,"kg CO2","SSP4"
"elect_td_trn",2065,87919938509.4698,"kg CO2","SSP4"
"H2 enduse",2065,0,"kg CO2","SSP4"
"refined liquids enduse",2065,708298100564.578,"kg CO2","SSP4"
"delivered gas",2070,153536506590,"kg CO2","SSP4"
"elect_td_trn",2070,93478678214.9896,"kg CO2","SSP4"
"H2 enduse",2070,0,"kg CO2","SSP4"
"refined liquids enduse",2070,685546848365.072,"kg CO2","SSP4"
"delivered gas",2075,160029641020,"kg CO2","SSP4"
"elect_td_trn",2075,92519094531.9864,"kg CO2","SSP4"
"H2 enduse",2075,0,"kg CO2","SSP4"
"refined liquids enduse",2075,660972502773.538,"kg CO2","SSP4"
"delivered gas",2080,164983251710,"kg CO2","SSP4"
"elect_td_trn",2080,95139685005.7675,"kg CO2","SSP4"
"H2 enduse",2080,0,"kg CO2","SSP4"
"refined liquids enduse",2080,633513177369.029,"kg CO2","SSP4"
"delivered gas",2085,168708432970,"kg CO2","SSP4"
"elect_td_trn",2085,98095457528.2064,"kg CO2","SSP4"
"H2 enduse",2085,0,"kg CO2","SSP4"
"refined liquids enduse",2085,601832259283.919,"kg CO2","SSP4"
"delivered gas",2090,172017444640,"kg CO2","SSP4"
"elect_td_trn",2090,101244321923.59,"kg CO2","SSP4"
"H2 enduse",2090,0,"kg CO2","SSP4"
"refined liquids enduse",2090,564117089578.727,"kg CO2","SSP4"
"delivered gas",2095,173524640330,"kg CO2","SSP4"
"elect_td_trn",2095,103241831268.111,"kg CO2","SSP4"
"H2 enduse",2095,0,"kg CO2","SSP4"
"refined liquids enduse",2095,529672398764.279,"kg CO2","SSP4"
"delivered gas",2100,175725802810,"kg CO2","SSP4"
"elect_td_trn",2100,101169123856.089,"kg CO2","SSP4"
"H2 enduse",2100,0,"kg CO2","SSP4"
"refined liquids enduse",2100,498042530032.711,"kg CO2","SSP4"
"delivered gas",1975,0,"kg CO2","SSP4_26"
"elect_td_trn",1975,0,"kg CO2","SSP4_26"
"H2 enduse",1975,0,"kg CO2","SSP4_26"
"refined liquids enduse",1975,724838450162.182,"kg CO2","SSP4_26"
"delivered gas",1990,0,"kg CO2","SSP4_26"
"elect_td_trn",1990,0,"kg CO2","SSP4_26"
"H2 enduse",1990,0,"kg CO2","SSP4_26"
"refined liquids enduse",1990,840796099606.855,"kg CO2","SSP4_26"
"delivered gas",2005,0,"kg CO2","SSP4_26"
"elect_td_trn",2005,0,"kg CO2","SSP4_26"
"H2 enduse",2005,0,"kg CO2","SSP4_26"
"refined liquids enduse",2005,1087884780631.24,"kg CO2","SSP4_26"
"delivered gas",2010,0,"kg CO2","SSP4_26"
"elect_td_trn",2010,0,"kg CO2","SSP4_26"
"H2 enduse",2010,0,"kg CO2","SSP4_26"
"refined liquids enduse",2010,1020720492794.64,"kg CO2","SSP4_26"
"delivered gas",2015,7013509230,"kg CO2","SSP4_26"
"elect_td_trn",2015,502715814.907872,"kg CO2","SSP4_26"
"H2 enduse",2015,0,"kg CO2","SSP4_26"
"refined liquids enduse",2015,1042242100636.97,"kg CO2","SSP4_26"
"delivered gas",2020,18841600300,"kg CO2","SSP4_26"
"elect_td_trn",2020,5172478740.26667,"kg CO2","SSP4_26"
"H2 enduse",2020,0,"kg CO2","SSP4_26"
"refined liquids enduse",2020,1032602001750.75,"kg CO2","SSP4_26"
"delivered gas",2025,38172963003,"kg CO2","SSP4_26"
"elect_td_trn",2025,12980939588.3892,"kg CO2","SSP4_26"
"H2 enduse",2025,0,"kg CO2","SSP4_26"
"refined liquids enduse",2025,990460054138.431,"kg CO2","SSP4_26"
"delivered gas",2030,58003342632,"kg CO2","SSP4_26"
"elect_td_trn",2030,20799384407.5705,"kg CO2","SSP4_26"
"H2 enduse",2030,0,"kg CO2","SSP4_26"
"refined liquids enduse",2030,937941424612.983,"kg CO2","SSP4_26"
"delivered gas",2035,78283223868,"kg CO2","SSP4_26"
"elect_td_trn",2035,27482065364.1978,"kg CO2","SSP4_26"
"H2 enduse",2035,0,"kg CO2","SSP4_26"
"refined liquids enduse",2035,859959435051.591,"kg CO2","SSP4_26"
"delivered gas",2040,92364730592,"kg CO2","SSP4_26"
"elect_td_trn",2040,28901000447.3307,"kg CO2","SSP4_26"
"H2 enduse",2040,0,"kg CO2","SSP4_26"
"refined liquids enduse",2040,774076343126.222,"kg CO2","SSP4_26"
"delivered gas",2045,105413702323,"kg CO2","SSP4_26"
"elect_td_trn",2045,25505100144.1237,"kg CO2","SSP4_26"
"H2 enduse",2045,0,"kg CO2","SSP4_26"
"refined liquids enduse",2045,668691288141.206,"kg CO2","SSP4_26"
"delivered gas",2050,115758286010,"kg CO2","SSP4_26"
"elect_td_trn",2050,17401212853.0656,"kg CO2","SSP4_26"
"H2 enduse",2050,0,"kg CO2","SSP4_26"
"refined liquids enduse",2050,566258101290.703,"kg CO2","SSP4_26"
"delivered gas",2055,123645522660,"kg CO2","SSP4_26"
"elect_td_trn",2055,7744283462.34545,"kg CO2","SSP4_26"
"H2 enduse",2055,0,"kg CO2","SSP4_26"
"refined liquids enduse",2055,478537648924.287,"kg CO2","SSP4_26"
"delivered gas",2060,128570223060,"kg CO2","SSP4_26"
"elect_td_trn",2060,-2266455305.99315,"kg CO2","SSP4_26"
"H2 enduse",2060,0,"kg CO2","SSP4_26"
"refined liquids enduse",2060,382978920293.087,"kg CO2","SSP4_26"
"delivered gas",2065,128581096330,"kg CO2","SSP4_26"
"elect_td_trn",2065,-11266467334.9594,"kg CO2","SSP4_26"
"H2 enduse",2065,0,"kg CO2","SSP4_26"
"refined liquids enduse",2065,244685147627.874,"kg CO2","SSP4_26"
"delivered gas",2070,123587946950,"kg CO2","SSP4_26"
"elect_td_trn",2070,-22288615455.1604,"kg CO2","SSP4_26"
"H2 enduse",2070,0,"kg CO2","SSP4_26"
"refined liquids enduse",2070,-37905884606.5896,"kg CO2","SSP4_26"
"delivered gas",2075,118003525090,"kg CO2","SSP4_26"
"elect_td_trn",2075,-32932562764.6495,"kg CO2","SSP4_26"
"H2 enduse",2075,0,"kg CO2","SSP4_26"
"refined liquids enduse",2075,-22672565484.3344,"kg CO2","SSP4_26"
"delivered gas",2080,109640808210,"kg CO2","SSP4_26"
"elect_td_trn",2080,-43843232417.797,"kg CO2","SSP4_26"
"H2 enduse",2080,0,"kg CO2","SSP4_26"
"refined liquids enduse",2080,-30007219666.5885,"kg CO2","SSP4_26"
"delivered gas",2085,96934321560,"kg CO2","SSP4_26"
"elect_td_trn",2085,-56896283738.2025,"kg CO2","SSP4_26"
"H2 enduse",2085,0,"kg CO2","SSP4_26"
"refined liquids enduse",2085,-38856804315.7266,"kg CO2","SSP4_26"
"delivered gas",2090,79746000140,"kg CO2","SSP4_26"
"elect_td_trn",2090,-72487704316.6949,"kg CO2","SSP4_26"
"H2 enduse",2090,0,"kg CO2","SSP4_26"
"refined liquids enduse",2090,-34726039081.7063,"kg CO2","SSP4_26"
"delivered gas",2095,59675647390,"kg CO2","SSP4_26"
"elect_td_trn",2095,-88425723738.6664,"kg CO2","SSP4_26"
"H2 enduse",2095,0,"kg CO2","SSP4_26"
"refined liquids enduse",2095,-19096462940.1039,"kg CO2","SSP4_26"
"delivered gas",2100,40117932590,"kg CO2","SSP4_26"
"elect_td_trn",2100,-103159617460.669,"kg CO2","SSP4_26"
"H2 enduse",2100,0,"kg CO2","SSP4_26"
"refined liquids enduse",2100,-3660405348.56797,"kg CO2","SSP4_26"
"delivered gas",1975,0,"kg CO2","SSP5"
"elect_td_trn",1975,0,"kg CO2","SSP5"
"H2 enduse",1975,0,"kg CO2","SSP5"
"refined liquids enduse",1975,724838450162.182,"kg CO2","SSP5"
"delivered gas",1990,0,"kg CO2","SSP5"
"elect_td_trn",1990,0,"kg CO2","SSP5"
"H2 enduse",1990,0,"kg CO2","SSP5"
"refined liquids enduse",1990,840796099606.855,"kg CO2","SSP5"
"delivered gas",2005,0,"kg CO2","SSP5"
"elect_td_trn",2005,0,"kg CO2","SSP5"
"H2 enduse",2005,0,"kg CO2","SSP5"
"refined liquids enduse",2005,1087884780631.24,"kg CO2","SSP5"
"delivered gas",2010,0,"kg CO2","SSP5"
"elect_td_trn",2010,0,"kg CO2","SSP5"
"H2 enduse",2010,0,"kg CO2","SSP5"
"refined liquids enduse",2010,1020721986948.77,"kg CO2","SSP5"
"delivered gas",2015,6722072250,"kg CO2","SSP5"
"elect_td_trn",2015,485743967.793726,"kg CO2","SSP5"
"H2 enduse",2015,0,"kg CO2","SSP5"
"refined liquids enduse",2015,1043932791072.4,"kg CO2","SSP5"
"delivered gas",2020,17602089200,"kg CO2","SSP5"
"elect_td_trn",2020,4972966837.41253,"kg CO2","SSP5"
"H2 enduse",2020,0,"kg CO2","SSP5"
"refined liquids enduse",2020,1039846269528.08,"kg CO2","SSP5"
"delivered gas",2025,34509458244,"kg CO2","SSP5"
"elect_td_trn",2025,12573219730.2991,"kg CO2","SSP5"
"H2 enduse",2025,0,"kg CO2","SSP5"
"refined liquids enduse",2025,1000209521437.82,"kg CO2","SSP5"
"delivered gas",2030,51490179399,"kg CO2","SSP5"
"elect_td_trn",2030,21455685445.9749,"kg CO2","SSP5"
"H2 enduse",2030,0,"kg CO2","SSP5"
"refined liquids enduse",2030,960850513768.563,"kg CO2","SSP5"
"delivered gas",2035,68039318742,"kg CO2","SSP5"
"elect_td_trn",2035,31726763159.9466,"kg CO2","SSP5"
"H2 enduse",2035,0,"kg CO2","SSP5"
"refined liquids enduse",2035,911991343583.666,"kg CO2","SSP5"
"delivered gas",2040,80108168601,"kg CO2","SSP5"
"elect_td_trn",2040,42085047128.7343,"kg CO2","SSP5"
"H2 enduse",2040,0,"kg CO2","SSP5"
"refined liquids enduse",2040,891823500344.227,"kg CO2","SSP5"
"delivered gas",2045,91766972704,"kg CO2","SSP5"
"elect_td_trn",2045,54158639431.3233,"kg CO2","SSP5"
"H2 enduse",2045,0,"kg CO2","SSP5"
"refined liquids enduse",2045,868760634822.226,"kg CO2","SSP5"
"delivered gas",2050,102242989582,"kg CO2","SSP5"
"elect_td_trn",2050,68424146178.9827,"kg CO2","SSP5"
"H2 enduse",2050,0,"kg CO2","SSP5"
"refined liquids enduse",2050,845486099477.637,"kg CO2","SSP5"
"delivered gas",2055,113815044580,"kg CO2","SSP5"
"elect_td_trn",2055,81932145747.9603,"kg CO2","SSP5"
"H2 enduse",2055,0,"kg CO2","SSP5"
"refined liquids enduse",2055,838412172076.655,"kg CO2","SSP5"
"delivered gas",2060,126601447420,"kg CO2","SSP5"
"elect_td_trn",2060,95946260374.9024,"kg CO2","SSP5"
"H2 enduse",2060,0,"kg CO2","SSP5"
"refined liquids enduse",2060,842211562023.802,"kg CO2","SSP5"
"delivered gas",2065,140106611440,"kg CO2","SSP5"
"elect_td_trn",2065,110047824698.15,"kg CO2","SSP5"
"H2 enduse",2065,0,"kg CO2","SSP5"
"refined liquids enduse",2065,852878025379.278,"kg CO2","SSP5"
"delivered gas",2070,154156777930,"kg CO2","SSP5"
"elect_td_trn",2070,124399332746.85,"kg CO2","SSP5"
"H2 enduse",2070,0,"kg CO2","SSP5"
"refined liquids enduse",2070,864092841750.294,"kg CO2","SSP5"
"delivered gas",2075,168255006670,"kg CO2","SSP5"
"elect_td_trn",2075,135902261378.657,"kg CO2","SSP5"
"H2 enduse",2075,0,"kg CO2","SSP5"
"refined liquids enduse",2075,874016642361.55,"kg CO2","SSP5"
"delivered gas",2080,180643594750,"kg CO2","SSP5"
"elect_td_trn",2080,149250116093.56,"kg CO2","SSP5"
"H2 enduse",2080,0,"kg CO2","SSP5"
"refined liquids enduse",2080,883419241193.078,"kg CO2","SSP5"
"delivered gas",2085,191693046110,"kg CO2","SSP5"
"elect_td_trn",2085,163945733392.009,"kg CO2","SSP5"
"H2 enduse",2085,0,"kg CO2","SSP5"
"refined liquids enduse",2085,883556990962.484,"kg CO2","SSP5"
"delivered gas",2090,201487116710,"kg CO2","SSP5"
"elect_td_trn",2090,179738466748.612,"kg CO2","SSP5"
"H2 enduse",2090,0,"kg CO2","SSP5"
"refined liquids enduse",2090,877653360898.333,"kg CO2","SSP5"
"delivered gas",2095,210105925930,"kg CO2","SSP5"
"elect_td_trn",2095,196193365479.588,"kg CO2","SSP5"
"H2 enduse",2095,0,"kg CO2","SSP5"
"refined liquids enduse",2095,864958038712.997,"kg CO2","SSP5"
"delivered gas",2100,219902184730,"kg CO2","SSP5"
"elect_td_trn",2100,205908586684.174,"kg CO2","SSP5"
"H2 enduse",2100,0,"kg CO2","SSP5"
"refined liquids enduse",2100,854234322264.924,"kg CO2","SSP5"
"delivered gas",1975,0,"kg CO2","SSP5_26"
"elect_td_trn",1975,0,"kg CO2","SSP5_26"
"H2 enduse",1975,0,"kg CO2","SSP5_26"
"refined liquids enduse",1975,724838450162.182,"kg CO2","SSP5_26"
"delivered gas",1990,0,"kg CO2","SSP5_26"
"elect_td_trn",1990,0,"kg CO2","SSP5_26"
"H2 enduse",1990,0,"kg CO2","SSP5_26"
"refined liquids enduse",1990,840796099606.855,"kg CO2","SSP5_26"
"delivered gas",2005,0,"kg CO2","SSP5_26"
"elect_td_trn",2005,0,"kg CO2","SSP5_26"
"H2 enduse",2005,0,"kg CO2","SSP5_26"
"refined liquids enduse",2005,1087884780631.24,"kg CO2","SSP5_26"
"delivered gas",2010,0,"kg CO2","SSP5_26"
"elect_td_trn",2010,0,"kg CO2","SSP5_26"
"H2 enduse",2010,0,"kg CO2","SSP5_26"
"refined liquids enduse",2010,1020721986948.77,"kg CO2","SSP5_26"
"delivered gas",2015,6722087880,"kg CO2","SSP5_26"
"elect_td_trn",2015,485746576.982561,"kg CO2","SSP5_26"
"H2 enduse",2015,0,"kg CO2","SSP5_26"
"refined liquids enduse",2015,1043932811894.19,"kg CO2","SSP5_26"
"delivered gas",2020,17626732500,"kg CO2","SSP5_26"
"elect_td_trn",2020,4868100813.54439,"kg CO2","SSP5_26"
"H2 enduse",2020,0,"kg CO2","SSP5_26"
"refined liquids enduse",2020,1032290900159.52,"kg CO2","SSP5_26"
"delivered gas",2025,34817182726,"kg CO2","SSP5_26"
"elect_td_trn",2025,11946428777.9844,"kg CO2","SSP5_26"
"H2 enduse",2025,0,"kg CO2","SSP5_26"
"refined liquids enduse",2025,989048721218.294,"kg CO2","SSP5_26"
"delivered gas",2030,52070605180,"kg CO2","SSP5_26"
"elect_td_trn",2030,19584082294.7469,"kg CO2","SSP5_26"
"H2 enduse",2030,0,"kg CO2","SSP5_26"
"refined liquids enduse",2030,943943475131.39,"kg CO2","SSP5_26"
"delivered gas",2035,68866132196,"kg CO2","SSP5_26"
"elect_td_trn",2035,27767326997.3023,"kg CO2","SSP5_26"
"H2 enduse",2035,0,"kg CO2","SSP5_26"
"refined liquids enduse",2035,885162440219.345,"kg CO2","SSP5_26"
"delivered gas",2040,81391297821,"kg CO2","SSP5_26"
"elect_td_trn",2040,25924471035.521,"kg CO2","SSP5_26"
"H2 enduse",2040,0,"kg CO2","SSP5_26"
"refined liquids enduse",2040,801849982767.95,"kg CO2","SSP5_26"
"delivered gas",2045,94250381203,"kg CO2","SSP5_26"
"elect_td_trn",2045,21171657446.7295,"kg CO2","SSP5_26"
"H2 enduse",2045,0,"kg CO2","SSP5_26"
"refined liquids enduse",2045,709625102803.824,"kg CO2","SSP5_26"
"delivered gas",2050,105747087097,"kg CO2","SSP5_26"
"elect_td_trn",2050,12523270184.0503,"kg CO2","SSP5_26"
"H2 enduse",2050,0,"kg CO2","SSP5_26"
"refined liquids enduse",2050,624078078084.924,"kg CO2","SSP5_26"
"delivered gas",2055,117892567720,"kg CO2","SSP5_26"
"elect_td_trn",2055,4096602545.97487,"kg CO2","SSP5_26"
"H2 enduse",2055,0,"kg CO2","SSP5_26"
"refined liquids enduse",2055,559311931424.307,"kg CO2","SSP5_26"
"delivered gas",2060,130517674170,"kg CO2","SSP5_26"
"elect_td_trn",2060,-5049054180.91183,"kg CO2","SSP5_26"
"H2 enduse",2060,0,"kg CO2","SSP5_26"
"refined liquids enduse",2060,497261462713.219,"kg CO2","SSP5_26"
"delivered gas",2065,142436486970,"kg CO2","SSP5_26"
"elect_td_trn",2065,-13397479487.3152,"kg CO2","SSP5_26"
"H2 enduse",2065,0,"kg CO2","SSP5_26"
"refined liquids enduse",2065,443590538615.863,"kg CO2","SSP5_26"
"delivered gas",2070,151849701360,"kg CO2","SSP5_26"
"elect_td_trn",2070,-24025286931.916,"kg CO2","SSP5_26"
"H2 enduse",2070,0,"kg CO2","SSP5_26"
"refined liquids enduse",2070,345680299525.022,"kg CO2","SSP5_26"
"delivered gas",2075,158563734580,"kg CO2","SSP5_26"
"elect_td_trn",2075,-37954673584.9501,"kg CO2","SSP5_26"
"H2 enduse",2075,0,"kg CO2","SSP5_26"
"refined liquids enduse",2075,131020521570.458,"kg CO2","SSP5_26"
"delivered gas",2080,161286376380,"kg CO2","SSP5_26"
"elect_td_trn",2080,-52595197675.7335,"kg CO2","SSP5_26"
"H2 enduse",2080,0,"kg CO2","SSP5_26"
"refined liquids enduse",2080,78193490994.7375,"kg CO2","SSP5_26"
"delivered gas",2085,158794574050,"kg CO2","SSP5_26"
"elect_td_trn",2085,-70431168626.3036,"kg CO2","SSP5_26"
"H2 enduse",2085,0,"kg CO2","SSP5_26"
"refined liquids enduse",2085,48244554549.335,"kg CO2","SSP5_26"
"delivered gas",2090,146779350200,"kg CO2","SSP5_26"
"elect_td_trn",2090,-88853718106.54,"kg CO2","SSP5_26"
"H2 enduse",2090,0,"kg CO2","SSP5_26"
"refined liquids enduse",2090,26831525295.2832,"kg CO2","SSP5_26"
"delivered gas",2095,123967828890,"kg CO2","SSP5_26"
"elect_td_trn",2095,-102245375515.828,"kg CO2","SSP5_26"
"H2 enduse",2095,0,"kg CO2","SSP5_26"
"refined liquids enduse",2095,11462112182.7265,"kg CO2","SSP5_26"
"delivered gas",2100,95105215600,"kg CO2","SSP5_26"
"elect_td_trn",2100,-110111160063.984,"kg CO2","SSP5_26"
"H2 enduse",2100,0,"kg CO2","SSP5_26"
"refined liquids enduse",2100,1064578226.37507,"kg CO2","SSP5_26"
