Unit,Year,Value,Scenario
kg CO2/kWh,2035,0.500373087,SSP4
kg CO2/kWh,2040,0.484128099,SSP4
kg CO2/kWh,2045,0.463157827,SSP4
kg CO2/kWh,2050,0.443968999,SSP4
kg CO2/kWh,2055,0.429040539,SSP4
kg CO2/kWh,2060,0.417625076,SSP4
kg CO2/kWh,2065,0.411393267,SSP4
kg CO2/kWh,2070,0.401405791,SSP4
kg CO2/kWh,2075,0.3684064,SSP4
kg CO2/kWh,2080,0.353565565,SSP4
kg CO2/kWh,2085,0.34180645,SSP4
kg CO2/kWh,2090,0.331002691,SSP4
kg CO2/kWh,2095,0.319592216,SSP4
kg CO2/kWh,2100,0.307006305,SSP4
kg CO2/kWh,1990,0.62245748,SSP4_26
kg CO2/kWh,2005,0.602653645,SSP4_26
kg CO2/kWh,2010,0.555163019,SSP4_26
kg CO2/kWh,2015,0.554500459,SSP4_26
kg CO2/kWh,2020,0.545115384,SSP4_26
kg CO2/kWh,2025,0.515946225,SSP4_26
kg CO2/kWh,2030,0.464183512,SSP4_26
kg CO2/kWh,2035,0.392301275,SSP4_26
kg CO2/kWh,2040,0.301161499,SSP4_26
kg CO2/kWh,2045,0.197362196,SSP4_26
kg CO2/kWh,2050,0.101981169,SSP4_26
kg CO2/kWh,2055,0.036627551,SSP4_26
kg CO2/kWh,2060,-0.008963637,SSP4_26
kg CO2/kWh,2065,-0.038351722,SSP4_26
kg CO2/kWh,2070,-0.066033214,SSP4_26
kg CO2/kWh,2075,-0.083146317,SSP4_26
kg CO2/kWh,2080,-0.092710319,SSP4_26
kg CO2/kWh,2085,-0.100094423,SSP4_26
kg CO2/kWh,2090,-0.107294185,SSP4_26
kg CO2/kWh,2095,-0.113755272,SSP4_26
kg CO2/kWh,2100,-0.121840329,SSP4_26
kg CO2/kWh,1990,0.62245748,SSP5
kg CO2/kWh,2005,0.602653645,SSP5
kg CO2/kWh,2010,0.555163019,SSP5
kg CO2/kWh,2015,0.555067241,SSP5
kg CO2/kWh,2020,0.550159255,SSP5
kg CO2/kWh,2025,0.540168478,SSP5
kg CO2/kWh,2030,0.526905412,SSP5
kg CO2/kWh,2035,0.512392492,SSP5
kg CO2/kWh,2040,0.504218307,SSP5
kg CO2/kWh,2045,0.492943173,SSP5
kg CO2/kWh,2050,0.483116798,SSP5
kg CO2/kWh,2055,0.475877473,SSP5
kg CO2/kWh,2060,0.47384584,SSP5
kg CO2/kWh,2065,0.472886362,SSP5
kg CO2/kWh,2070,0.470616035,SSP5
kg CO2/kWh,2075,0.455652665,SSP5
kg CO2/kWh,2080,0.447661018,SSP5
kg CO2/kWh,2085,0.441638996,SSP5
kg CO2/kWh,2090,0.436364931,SSP5
kg CO2/kWh,2095,0.431128527,SSP5
kg CO2/kWh,2100,0.425603807,SSP5
kg CO2/kWh,1990,0.62245748,SSP5_26
kg CO2/kWh,2005,0.602653645,SSP5_26
